sequence_number,time_to_detect_ms
331650,99.999744
735194,100.003328
198562,100.001024
686015,100.004096
141051,100.000512
583974,100.005632
270035,100.0
794046,100.00256
409015,99.999488
376116,99.999488
494852,99.999488
94934,100.003328
190551,100.00128
337311,99.999744
792018,100.00256
306208,99.999744
254598,100.000256
831183,100.002048
437109,99.999488
39524,100.0
851264,100.002048
107839,100.002048
152304,100.000256
751558,100.003072
711638,100.003584
766619,100.002816
1325,100.0
804122,100.002304
341778,99.999744
671022,100.004352
