sequence_number,time_taken_to_correct_ms
2,0.059361
4,0.065888
8,0.012082
9,0.024303
13,0.128331
15,0.073805
18,0.04416
20,0.021218
23,0.019642
25,0.043651
28,0.058126
29,0.019
30,0.006809
31,0.051708
33,0.04317
34,0.004344
37,0.024257
39,0.004808
40,0.001674
42,0.068248
44,0.005628
45,0.03112
46,0.055395
48,0.041709
51,0.037551
53,0.000106
54,0.039389
56,0.007054
57,0.121866
60,0.027988
61,0.099278
63,0.033915
67,0.001753
68,0.023118
69,0.012072
70,0.022815
73,0.001753
74,0.096796
76,0.023267
78,0.043704
79,0.012508
80,0.093258
81,0.79377
83,0.141165
85,0.035727
89,0.803914
91,0.010345
94,0.000749
96,0.038179
98,0.015184
99,0.001082
100,0.03102
102,0.009007
104,0.004914
105,0.020176
109,0.020442
110,0.017381
113,0.036419
115,0.057151
116,1.096468
118,0.009743
120,0.003047
121,1.204683
123,0.014041
124,0.020895
125,0.038327
126,0.03478
128,0.001922
130,0.018928
131,0.017077
133,0.047633
136,0.001925
138,0.008149
140,0.067148
142,0.005265
144,0.055584
147,0.003744
149,0.015777
151,0.017278
153,0.014212
155,0.161245
158,0.08424
160,0.007759
162,0.01062
166,0.009851
167,0.004183
171,0.019477
172,0.002263
173,0.058516
175,0.126511
177,0.011015
178,0.024384
180,0.008949
182,0.007254
183,0.047059
187,0.009649
188,0.009197
189,0.220955
192,0.002952
193,0.091722
195,0.142594
196,0.022793
199,0.00248
201,0.031014
203,0.019307
204,0.024153
207,0.013136
209,0.037364
211,0.009472
212,0.015301
214,0.00649
215,0.008751
216,0.01542
217,0.005396
219,0.033037
221,0.078934
225,0.045505
230,0.001396
231,0.018992
233,0.038587
236,0.00899
237,0.000391
239,0.012711
240,0.006069
243,0.045198
245,0.022157
250,0.026772
251,0.028198
253,0.013314
256,0.013078
257,0.006067
260,0.022051
261,0.007401
263,0.164522
267,0.048133
269,0.011852
271,0.031944
274,0.027022
277,0.020341
281,0.029502
283,0.087003
286,0.038861
289,0.032248
293,0.024934
294,0.043269
296,0.01607
297,0.003793
298,0.019975
300,0.084224
302,0.015936
303,0.015304
304,0.006229
306,0.009414
308,0.038489
311,0.027559
312,0.021237
314,0.071431
316,0.022116
318,0.014222
321,0.049895
323,0.02459
326,0.038249
328,0.002343
329,0.015062
331,0.037445
333,0.047524
334,0.006141
336,0.037489
338,0.027797
339,0.014902
341,0.03642
344,0.004652
345,0.028877
346,0.027639
349,0.029254
351,0.007786
352,0.022879
354,0.092759
356,0.020834
357,0.604338
359,0.06229
360,0.831213
364,0.009793
369,0.002071
370,0.00823
371,0.007219
372,0.040474
375,0.008875
376,0.522519
378,0.015327
379,0.008091
380,0.002218
381,0.007583
383,0.00074
384,0.015138
385,0.018114
387,0.004578
388,0.030182
389,0.000561
391,0.017277
393,0.01024
395,0.008296
397,0.06657
399,0.035428
400,0.089125
403,0.01932
406,0.00904
410,0.003184
411,0.005176
412,0.010635
413,0.016656
415,0.008835
417,0.016492
418,0.010398
419,0.000529
420,0.003462
421,0.065351
423,0.034372
426,0.021582
428,0.019776
430,0.009363
431,0.007256
434,0.013342
435,0.004333
437,0.065112
438,0.059489
441,0.004825
442,7.4e-05
444,0.061336
446,0.053451
448,0.006383
450,0.006001
451,0.033076
454,0.030408
457,0.044161
459,0.024339
462,0.038738
464,0.079794
466,0.006126
468,0.031329
469,0.003291
471,0.015153
472,0.093672
474,0.026198
476,0.046658
479,0.020985
480,0.010419
482,0.004304
484,0.019471
485,0.006052
487,0.00699
488,0.005579
489,0.022543
490,0.882693
494,0.006307
495,0.010611
496,0.013718
498,0.346488
501,0.024133
502,0.081321
503,0.04594
505,0.011825
507,0.03223
508,0.002065
509,0.000893
510,0.020255
513,0.017089
515,0.043677
517,0.010538
519,0.040085
521,0.069852
523,0.00723
525,0.016962
527,0.033674
529,0.014048
531,0.018027
533,0.008717
534,0.029303
535,0.035575
536,0.052331
538,0.021806
540,0.018163
541,0.008281
542,0.004507
543,0.017581
545,0.08189
547,0.011721
548,0.003199
549,0.018594
551,0.012359
552,0.021004
557,0.012749
559,0.0086
561,0.004792
562,0.014405
564,0.042627
566,0.065683
567,0.348847
569,0.002301
570,0.006556
572,0.00085
574,0.002716
575,0.00427
576,0.074642
577,0.02108
581,0.012654
583,0.026776
585,0.019034
587,0.024096
588,0.025034
590,0.006085
592,0.048109
593,0.056118
596,0.066466
598,0.029959
601,0.029948
602,0.012675
603,0.183986
607,0.005966
609,0.000246
611,0.048607
614,0.092178
616,0.00947
617,0.013548
618,0.010284
621,0.000572
622,0.021783
623,0.084387
626,0.020296
627,0.01086
631,0.028514
632,0.039101
635,0.003389
636,0.008848
637,0.019329
639,0.008509
641,0.030529
643,0.037015
644,0.468775
649,0.021004
651,0.029263
653,0.067201
655,0.175469
659,0.100737
661,0.006167
663,0.016469
664,0.006097
665,0.00064
667,0.017874
668,0.003161
669,5.5e-05
671,0.083391
673,0.057593
675,0.006356
678,0.069815
681,0.069116
684,0.082556
685,0.011039
687,0.006362
691,0.014227
692,0.035896
694,0.021876
695,0.022961
697,0.007663
698,0.028448
701,0.012652
703,0.021264
705,0.040572
707,0.01082
709,0.011766
711,0.037323
713,0.02794
715,1.3e-05
716,0.002487
718,0.012329
721,0.011546
722,0.016379
724,0.130216
726,0.007641
728,0.011714
730,0.059091
732,0.138974
734,0.022606
736,0.078728
739,0.032884
741,0.005915
743,0.010198
744,0.462999
748,0.119554
752,0.064265
755,0.015811
757,0.016306
759,0.012461
763,0.030567
764,3e-05
765,0.015021
769,0.057939
771,0.009391
773,0.021998
775,0.000491
