sequence_number,time_taken_to_correct_ms
2,0.059361
13,0.091211
81,0.616362
89,0.27809
116,0.9229
121,0.453835
155,0.031453
175,0.015407
189,0.114459
263,0.099498
357,0.458418
360,0.260077
376,0.216855
490,0.787205
567,0.240815
603,0.04549
644,0.364071
724,0.06212
744,0.316311
784,0.01969
791,0.004562
811,0.089649
859,1.472166
939,0.189836
963,0.019302
989,0.044302
993,2.384417
1059,0.112415
1122,0.002131
1148,0.012388
1172,0.100125
1196,0.108155
1211,0.380249
1239,0.00615
1266,0.03633
1361,0.053585
1380,0.055445
1434,0.028327
1490,0.022642
1498,1.023243
1535,0.077834
1557,1.266632
1623,0.003119
1633,0.382245
1713,0.015692
1754,0.088861
1780,0.156085
1812,0.056929
1840,0.077546
1885,0.027306
1915,0.048107
1955,0.120603
1994,0.045755
2002,0.013875
2022,0.020663
2056,0.041956
2078,0.01578
2085,0.05504
2112,0.050468
2144,5.682435
2253,0.03675
2274,0.494645
2304,0.736706
2374,0.139456
2376,0.105784
2392,0.638786
2420,0.05119
2437,0.036719
2454,0.077837
2490,0.08979
2517,0.017632
2571,4.817499
2624,0.149769
2657,0.029102
2658,1.437249
2703,0.021711
2744,0.02532
2751,0.07487
2762,0.085464
2809,0.012418
2858,0.084307
2870,0.017816
2891,0.098963
2917,0.052704
2940,0.037092
2943,1.097728
2969,0.477779
2988,0.24659
3011,0.641523
3141,0.238365
3172,0.117108
3210,0.07856
3216,0.147474
3265,0.115017
3299,1.230876
3325,0.193901
3344,0.248213
3360,0.403538
3365,1.502654
3388,1.204079
3425,0.186274
3428,0.206717
3462,0.025851
3523,0.020029
3532,0.37662
3621,0.133479
3663,0.03272
3711,1.05689
3765,0.056439
3801,0.060001
3806,0.598891
3834,0.545876
3841,1.22214
3875,0.482762
3923,0.131203
3930,0.004428
3938,0.234267
3946,0.173336
3977,0.060209
4035,0.011907
4042,0.606447
4065,1.797779
4118,0.048485
4195,0.704593
4242,1.260363
4261,0.237895
4295,1.675617
4369,0.447554
4458,0.043385
4491,0.510527
4506,0.0737
4548,0.002387
4582,0.037843
4590,0.019312
4612,0.073143
4647,0.067468
4781,0.037111
4787,0.905032
4856,0.025132
4895,0.088632
4918,0.02315
4930,0.176523
4965,0.004218
5087,0.008069
5091,1.30567
5133,0.133077
5145,0.748143
5170,0.794333
5227,0.301221
5244,0.641702
5294,0.056677
5300,0.396006
5306,3.612302
5341,0.284685
5407,0.136402
5449,0.012458
5463,0.022645
5510,0.017285
5527,0.032549
5543,0.410266
5557,0.041045
5590,0.193303
5605,0.112055
5622,0.136195
5648,0.005654
5695,0.202029
5723,0.019468
5733,0.05519
5791,0.213298
5883,0.029984
5904,0.136841
5922,0.142924
6002,0.125096
6068,0.008093
6080,0.221257
6083,0.271849
6189,0.035256
6196,0.024258
6225,0.048668
6235,0.04101
6261,0.600397
6297,0.541729
6344,0.018234
6345,0.113276
6416,0.251339
6464,0.514178
6490,0.12002
6558,0.23372
6634,0.059161
6654,0.001017
6689,0.030505
6746,0.099853
6768,1.097197
6796,0.392364
6854,0.08705
6902,0.000434
6907,0.003215
7109,0.068566
7179,0.101389
7201,0.058159
7209,0.117363
7262,0.032163
7288,0.009164
7297,0.755536
7331,0.003264
7338,1.175917
7372,0.357691
7403,0.239597
7467,0.13867
7513,0.014101
7517,0.05377
7561,0.038861
7563,0.01419
7591,0.086917
7654,0.005226
7672,0.065972
7710,0.011391
7729,0.012218
7744,0.680338
7749,1.762183
7764,0.529081
7785,0.041219
7806,0.069986
7824,0.069279
7889,0.033339
7910,0.315467
7959,0.020819
7966,0.194426
8002,0.14438
8008,0.021711
8032,0.343489
8046,1.079523
8099,0.031562
8101,0.537302
8134,0.445402
8165,0.119636
8210,0.000625
8230,0.004238
8260,0.019404
8284,0.047665
8308,0.03289
8329,0.020081
8371,0.100398
8412,0.149714
8433,0.102132
8435,0.184691
8487,0.077449
8628,0.068739
8655,0.099537
8678,0.048616
8692,0.992112
8724,0.561111
8747,0.065524
8759,0.135986
8765,0.700401
8826,0.051636
8885,0.036621
8905,0.01851
8943,0.106368
8995,0.195042
9055,0.002543
9065,0.013113
9081,1.740106
9095,0.426392
9128,0.069556
9145,2.115049
9223,0.032877
9304,0.143561
9355,0.976469
9436,0.155652
9458,0.074315
9514,0.39842
9550,0.154839
9610,0.002951
9870,0.066024
9945,0.048953
9971,0.987406
10013,0.004345
10025,0.157078
10026,0.078192
10050,1.714098
10123,1.576758
10168,0.036925
10203,0.081808
10254,0.007642
10274,0.281136
10291,1.203371
