sequence_number,time_taken_to_correct_ms
2,0.059361
13,0.031819
81,0.559786
89,0.171082
116,0.809492
121,0.270795
357,0.266674
360,0.060909
376,0.031511
490,0.617221
567,0.026031
644,0.168231
744,0.123287
859,1.286054
993,2.088225
1498,0.547851
1557,0.784072
2144,5.169667
2571,3.839067
2658,0.172865
3299,0.075548
3365,0.455358
3388,0.215919
3711,0.146042
3841,0.387836
4065,1.008019
4242,0.448843
4295,0.900193
4787,0.11732
5091,0.58503
5145,0.041071
5170,0.153821
5244,0.04983
5306,3.074702
6768,0.305901
7297,0.012624
7338,0.506221
7744,0.02677
7749,1.171335
8046,0.430563
8692,0.365168
8765,0.099569
9081,1.18945
9145,1.500393
9355,0.273237
9971,0.327182
10050,1.087154
10123,0.90399
10291,0.507307
10386,1.756209
10933,0.001603
11071,0.048593
11505,0.018276
11889,1.563929
11943,0.126108
12224,0.361768
12282,1.369963
12557,0.193136
12743,0.562028
12916,0.122953
13046,0.44002
13057,2.010417
13378,0.031936
13608,0.430835
13626,0.827196
14051,0.252969
14234,0.399196
14444,0.128488
14756,3.410521
14793,0.629779
15409,0.291703
15464,0.144862
16119,0.523415
16711,0.059351
16810,0.35247
16937,1.260836
17672,0.298654
17755,0.001837
17774,6.534481
19133,0.215163
19162,0.352036
19620,0.693139
20598,1.689456
20797,0.152754
21208,0.555546
21790,0.433251
22254,0.682459
22345,0.396989
22444,0.263601
23145,0.968627
23677,0.877388
23756,0.41217
23794,2.211293
23875,0.510049
24472,0.169992
25149,1.810236
25262,0.117813
25317,0.160438
25380,0.802195
25808,0.380322
26313,0.034922
26477,0.016733
26988,0.334903
27134,1.845521
27252,0.571939
27424,1.464427
27786,0.895464
28176,0.325527
28339,0.119504
28561,0.028364
28979,0.023034
29293,0.201153
29327,0.070931
29437,3.223292
29531,0.036748
29761,3.487287
30119,0.082504
30315,0.767341
30517,1.517561
30727,0.588231
32164,0.095084
33421,0.982813
33569,0.272757
34675,1.20525
34708,0.122015
34946,0.889104
35183,0.162568
35607,0.116092
35918,1.828012
35943,0.243283
36088,0.18303
36434,1.421803
36743,0.101994
37221,1.331717
37673,1.012913
38042,0.05921
38288,0.135611
38312,1.498263
38398,0.960281
38702,1.048923
39179,0.516783
39363,1.157453
39755,0.119578
40207,0.338834
40260,0.48376
40346,0.651788
41221,0.58639
41350,1.306608
41600,2.341288
41813,0.270742
42305,0.392708
42405,0.889765
42573,0.051197
42619,0.408481
42934,0.60366
43498,0.363718
43596,0.026922
43603,0.822608
43689,0.943702
43772,0.521021
43806,99.217217
70071,89.005876
133544,0.608182
156181,83.122127
512024,976.803832
