sequence_number,time_taken_to_correct_ms
2,0.059309
4,0.006496
9,0.007151
13,0.110667
15,0.016717
18,0.007296
28,0.028686
42,0.012184
57,0.059658
61,0.007886
74,0.037404
80,0.054346
81,0.744874
89,0.543818
116,1.051668
121,0.832971
155,0.096733
173,0.037524
175,0.098351
189,0.194075
195,0.02125
221,0.023638
243,0.014734
245,0.001933
263,0.132266
283,0.040667
300,0.03072
314,0.014855
354,0.042071
357,0.566194
360,0.687853
376,0.371223
400,0.046373
421,0.047687
437,0.048728
438,0.032353
444,0.013464
464,0.023474
472,0.035816
490,0.858117
498,0.1294
535,0.005111
536,0.018283
545,0.02045
564,0.007299
566,0.044435
567,0.317103
593,0.022582
603,0.148146
614,0.020498
623,0.023203
632,0.009917
641,0.009281
644,0.440871
655,0.043117
671,0.014527
678,0.000183
684,0.005244
713,0.00362
724,0.096424
730,0.000467
732,0.06883
744,0.390039
769,0.006995
784,0.066538
791,0.049362
795,0.020845
811,0.127025
821,0.024117
825,0.022869
833,0.007437
840,0.010751
846,0.010564
853,0.041555
859,1.59223
888,0.020039
894,0.026523
898,0.056605
911,0.040418
926,0.020314
939,0.239756
961,0.002029
963,0.091494
989,0.080654
993,2.479905
1033,0.044817
1058,0.033156
1059,0.169759
1094,0.005538
1096,0.02362
1122,0.056403
1131,0.005021
1148,0.050532
1157,0.007383
1159,0.005494
1172,0.151581
1192,0.026912
1196,0.154491
1197,0.04561
1211,0.466009
1239,0.061958
1260,0.008379
1266,0.079338
1274,0.002637
1310,0.023989
1321,0.013432
1324,0.0514
1350,0.00786
1361,0.084049
1380,0.094869
1396,0.028944
1414,0.005837
1432,0.00907
1434,0.073895
1455,0.021205
1463,0.013744
1490,0.047986
1498,1.073163
1516,0.013251
1533,0.014735
1535,0.15617
1553,0.017733
1557,1.328584
1618,0.023857
1623,0.049967
1633,0.446245
1647,0.01123
1664,0.036439
1667,0.01109
1674,0.010952
1678,0.020719
1687,0.037373
1701,0.008279
1705,0.025798
1713,0.066636
1716,0.004691
1739,0.020305
1751,0.000705
1754,0.149277
1756,0.131285
1778,0.004071
1780,0.240821
1806,0.001536
1812,0.114017
1828,0.0501
1835,0.011564
1837,0.058649
1840,0.18481
1872,0.007784
1882,0.006584
1885,0.067498
1888,0.023493
1910,0.025717
1915,0.100331
1937,0.011368
1951,0.005617
1953,0.005289
1955,0.186395
1978,0.000871
1985,0.004857
1994,0.087995
2002,0.060467
2019,0.052829
2022,0.111543
2056,0.07754
2074,0.019232
2078,0.054692
2083,0.011492
2085,0.125696
2112,0.096036
2122,0.024547
2135,0.059796
2144,5.790467
2199,0.000334
2203,0.022927
2213,0.029157
2227,0.003706
2232,0.012045
2235,3e-06
2246,0.043817
2253,0.104334
2255,0.095528
2274,0.549173
