sequence_number,time_to_detect_ms
331650,100.047872
735194,100.388096
198562,100.026368
686015,100.063744
141051,100.030208
583974,100.036096
270035,100.018176
794046,100.038144
409015,100.035584
376116,100.033792
494852,100.014848
94934,100.050432
190551,100.039936
337311,100.045824
792018,100.08064
306208,100.036352
254598,100.069888
831183,100.045824
437109,100.036864
39524,100.13312
851264,100.065024
107839,100.054528
152304,100.040448
751558,100.039424
711638,100.04352
766619,100.024576
1325,100.086272
804122,100.036096
341778,100.403456
671022,100.052992
