sequence_number,time_taken_to_correct_ms
2,0.059392
4,0.065792
8,0.012032
9,0.02432
13,0.128256
15,0.073728
18,0.044288
20,0.021248
23,0.019712
25,0.043776
28,0.058112
29,0.018944
30,0.006912
31,0.051712
33,0.043264
34,0.004352
37,0.02432
39,0.004864
40,0.001792
42,0.068352
44,0.005632
45,0.031232
46,0.055296
48,0.041728
51,0.037632
53,0.0
54,0.039424
56,0.007168
57,0.121856
60,0.027904
61,0.099328
63,0.033792
67,0.001792
68,0.02304
69,0.012032
70,0.022784
73,0.001792
74,0.096768
76,0.023296
78,0.043776
79,0.012544
80,0.093184
81,0.793856
83,0.141056
85,0.03584
89,0.80384
91,0.01024
94,0.000768
96,0.038144
98,0.015104
99,0.001024
100,0.030976
102,0.00896
104,0.004864
105,0.020224
109,0.02048
110,0.017408
113,0.036352
115,0.057088
116,1.096448
118,0.009728
120,0.003072
121,1.204736
123,0.01408
124,0.020992
125,0.0384
126,0.034816
128,0.002048
130,0.018944
131,0.017152
133,0.047616
136,0.002048
138,0.008192
140,0.067072
142,0.005376
144,0.055552
147,0.00384
149,0.015872
151,0.017152
153,0.014336
155,0.16128
158,0.084224
160,0.00768
162,0.010496
166,0.009728
167,0.004096
171,0.019456
172,0.002304
173,0.058624
175,0.126464
177,0.011008
178,0.02432
180,0.00896
182,0.007168
183,0.047104
187,0.009728
188,0.009216
189,0.220928
192,0.003072
193,0.091648
195,0.142592
196,0.022784
199,0.00256
201,0.030976
203,0.0192
204,0.024064
207,0.013056
209,0.037376
211,0.009472
212,0.01536
214,0.0064
215,0.008704
216,0.01536
217,0.005376
219,0.033024
221,0.078848
225,0.045568
230,0.00128
231,0.018944
233,0.038656
236,0.00896
237,0.000512
239,0.0128
240,0.006144
243,0.045312
245,0.022272
250,0.02688
251,0.02816
253,0.013312
256,0.013056
257,0.006144
260,0.022016
261,0.007424
263,0.164608
267,0.048128
269,0.011776
271,0.032
274,0.027136
277,0.020224
281,0.02944
283,0.08704
286,0.038912
289,0.032256
293,0.024832
294,0.043264
296,0.016128
297,0.00384
298,0.019968
300,0.084224
302,0.015872
303,0.01536
304,0.006144
306,0.009472
308,0.0384
311,0.027648
312,0.021248
314,0.071424
316,0.022016
318,0.014336
321,0.04992
323,0.024576
326,0.038144
328,0.002304
329,0.015104
331,0.037376
333,0.047616
334,0.006144
336,0.037376
338,0.027904
339,0.014848
341,0.036352
344,0.004608
345,0.028928
346,0.027648
349,0.029184
351,0.00768
352,0.022784
354,0.092672
356,0.020736
357,0.604416
359,0.062208
360,0.831232
364,0.009728
369,0.002048
370,0.008192
371,0.007168
372,0.040448
375,0.00896
376,0.522496
378,0.01536
379,0.008192
380,0.002304
381,0.00768
383,0.000768
384,0.015104
