sequence_number,time_taken_to_correct_ms
2,0.059392
13,0.091136
81,0.616448
89,0.278016
116,0.92288
121,0.453888
155,0.031488
175,0.01536
189,0.114432
263,0.099584
357,0.458496
360,0.260096
376,0.216832
490,0.7872
567,0.240896
603,0.045568
644,0.364032
724,0.062208
744,0.316416
784,0.019712
791,0.004608
811,0.0896
859,1.472256
939,0.189952
963,0.0192
989,0.044288
993,2.384384
1059,0.112384
1122,0.002048
1148,0.012288
1172,0.100096
1196,0.108032
1211,0.38016
1239,0.006144
1266,0.036352
1361,0.053504
1380,0.055552
1434,0.028416
1490,0.022528
1498,1.023232
1535,0.077824
1557,1.266688
1623,0.003072
1633,0.382208
1713,0.015616
1754,0.088832
1780,0.15616
1812,0.056832
1840,0.077568
1885,0.027392
1915,0.048128
1955,0.120576
1994,0.045824
2002,0.013824
2022,0.020736
2056,0.041984
2078,0.015872
2085,0.05504
2112,0.050432
2144,5.682432
2253,0.036864
2274,0.494592
2304,0.736768
2374,0.13952
2376,0.105728
2392,0.63872
2420,0.0512
2437,0.036608
2454,0.077824
2490,0.089856
2517,0.017664
2571,4.817408
2624,0.14976
2657,0.029184
2658,1.437184
2703,0.02176
2744,0.025344
2751,0.074752
2762,0.085504
2809,0.012544
2858,0.084224
2870,0.01792
2891,0.099072
2917,0.052736
2940,0.03712
2943,1.097728
2969,0.477696
2988,0.246528
3011,0.641536
3141,0.238336
3172,0.116992
3210,0.078592
3216,0.147456
3265,0.114944
3299,1.230848
3325,0.193792
3344,0.24832
3360,0.403456
3365,1.50272
3388,1.203968
3425,0.186368
3428,0.206592
3462,0.025856
3523,0.019968
3532,0.376576
3621,0.133376
3663,0.032768
3711,1.056768
3765,0.05632
3801,0.059904
3806,0.598784
3834,0.545792
3841,1.222144
3875,0.482816
3923,0.131328
3930,0.004352
3938,0.23424
3946,0.173312
3977,0.06016
4035,0.012032
4042,0.606464
4065,1.797888
4118,0.048384
4195,0.704512
4242,1.260288
4261,0.237824
4295,1.67552
4369,0.447488
4458,0.043264
4491,0.510464
4506,0.073728
4548,0.002304
4582,0.037888
4590,0.0192
4612,0.073216
4647,0.067584
4781,0.03712
4787,0.90496
4856,0.025088
4895,0.088576
4918,0.02304
4930,0.17664
4965,0.004096
5087,0.008192
5091,1.3056
5133,0.13312
5145,0.748032
5170,0.794368
5227,0.301312
5244,0.641792
5294,0.056576
5300,0.396032
5306,3.612416
5341,0.284672
5407,0.136448
5449,0.012544
5463,0.022528
5510,0.017408
5527,0.032512
5543,0.410368
5557,0.04096
5590,0.19328
5605,0.112128
5622,0.136192
5648,0.005632
5695,0.201984
5723,0.019456
5733,0.055296
5791,0.213248
5883,0.029952
5904,0.13696
5922,0.142848
6002,0.125184
6068,0.008192
6080,0.221184
6083,0.271872
6189,0.035328
6196,0.02432
6225,0.04864
6235,0.04096
6261,0.60032
6297,0.541696
6344,0.018176
6345,0.113152
6416,0.251392
6464,0.514304
6490,0.120064
6558,0.233728
6634,0.059136
6654,0.001024
6689,0.030464
6746,0.09984
6768,1.097216
6796,0.392448
6854,0.08704
6902,0.000512
6907,0.003328
7109,0.068608
7179,0.101376
7201,0.058112
7209,0.117248
7262,0.032256
7288,0.009216
7297,0.755456
7331,0.003328
7338,1.175808
7372,0.357632
7403,0.239616
7467,0.138752
