CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
3.8.48.89;38843;1760826425793811013;1760826425897167301;250003;10
3.8.48.89;38843;1760826425893815227;1760826425997146289;250004;10
3.8.48.89;38843;1760826425993814087;1760826426097134168;250005;10
3.8.48.89;38843;1760826426093825452;1760826426197209305;250006;10
3.8.48.89;38843;1760826426193821719;1760826426297178355;250007;10
3.8.48.89;38843;1760826426293813584;1760826426397159225;250008;10
3.8.48.89;38843;1760826426393816981;1760826426497170215;250009;10
3.8.48.89;38843;1760826426493814173;1760826426597171437;250010;10
3.8.48.89;38843;1760826426593820983;1760826426697220624;250011;10
3.8.48.89;38843;1760826426693823855;1760826426797150541;250012;10
3.8.48.89;38843;1760826426793810404;1760826426897138429;250013;10
3.8.48.89;38843;1760826426893811823;1760826426997147939;250014;10
3.8.48.89;38843;1760826426993811126;1760826427097188709;250015;10
3.8.48.89;38843;1760826427093817626;1760826427197154125;250016;10
3.8.48.89;38843;1760826427193815631;1760826427297139007;250017;10
3.8.48.89;38843;1760826427293819454;1760826427397137823;250018;10
3.8.48.89;38843;1760826427393814855;1760826427497143733;250019;10
3.8.48.89;38843;1760826427493815699;1760826427597146737;250020;10
3.8.48.89;38843;1760826427593811889;1760826427697140945;250021;10
3.8.48.89;38843;1760826427693819128;1760826427797143953;250022;10
3.8.48.89;38843;1760826427793815847;1760826427897137860;250023;10
3.8.48.89;38843;1760826427893810981;1760826427997135266;250024;10
3.8.48.89;38843;1760826427993820163;1760826428097187310;250025;10
3.8.48.89;38843;1760826428093815524;1760826428197146435;250026;10
3.8.48.89;38843;1760826428193808947;1760826428297148329;250027;10
3.8.48.89;38843;1760826428293817470;1760826428399429100;250028;10
3.8.48.89;38843;1760826428393810450;1760826428497166661;250029;10
3.8.48.89;38843;1760826428493818353;1760826428597164983;250030;10
3.8.48.89;38843;1760826428593818366;1760826428697143094;250031;10
3.8.48.89;38843;1760826428693810138;1760826428797131857;250032;10
3.8.48.89;38843;1760826428793814430;1760826428897149078;250033;10
3.8.48.89;38843;1760826428893815618;1760826428997161192;250034;10
3.8.48.89;38843;1760826428993817945;1760826429097162115;250035;10
3.8.48.89;38843;1760826429093817337;1760826429197134761;250036;10
3.8.48.89;38843;1760826429193808483;1760826429297136881;250037;10
3.8.48.89;38843;1760826429293812616;1760826429397129095;250038;10
3.8.48.89;38843;1760826429393816812;1760826429497144210;250039;10
3.8.48.89;38843;1760826429493808099;1760826429597150022;250040;10
3.8.48.89;38843;1760826429593813468;1760826429697131080;250041;10
3.8.48.89;38843;1760826429693803961;1760826429797136194;250042;10
3.8.48.89;38843;1760826429793870215;1760826429897236118;250043;10
3.8.48.89;38843;1760826429893807328;1760826429997143128;250044;10
3.8.48.89;38843;1760826429993820605;1760826430097143907;250045;10
3.8.48.89;38843;1760826430093818599;1760826430197155765;250046;10
3.8.48.89;38843;1760826430193815914;1760826430297161465;250047;10
3.8.48.89;38843;1760826430293815046;1760826430397138409;250048;10
3.8.48.89;38843;1760826430393825201;1760826430497185052;250049;10
3.8.48.89;38843;1760826430493815080;1760826430597161642;250050;10
3.8.48.89;38843;1760826430593820143;1760826430697159407;250051;10
3.8.48.89;38843;1760826430693829633;1760826430797163735;250052;10
3.8.48.89;38843;1760826430793818794;1760826430897136914;250053;10
3.8.48.89;38843;1760826430893831624;1760826430997158254;250054;10
3.8.48.89;38843;1760826430993815219;1760826431097137898;250055;10
3.8.48.89;38843;1760826431093811047;1760826431197161911;250056;10
3.8.48.89;38843;1760826431193812159;1760826431297148094;250057;10
3.8.48.89;38843;1760826431293812564;1760826431397169357;250058;10
3.8.48.89;38843;1760826431393818290;1760826431497150760;250059;10
3.8.48.89;38843;1760826431493816272;1760826431597169270;250060;10
3.8.48.89;38843;1760826431593822807;1760826431697160501;250061;10
3.8.48.89;38843;1760826431693811600;1760826431797152946;250062;10
3.8.48.89;38843;1760826431793819018;1760826431897130123;250063;10
3.8.48.89;38843;1760826431893807704;1760826431997146197;250064;10
3.8.48.89;38843;1760826431993811513;1760826432097150679;250065;10
3.8.48.89;38843;1760826432093820907;1760826432197150366;250066;10
3.8.48.89;38843;1760826432193800657;1760826432297137641;250067;10
3.8.48.89;38843;1760826432293809440;1760826432397165562;250068;10
3.8.48.89;38843;1760826432393811242;1760826432497159474;250069;10
3.8.48.89;38843;1760826432493802393;1760826432597133536;250070;10
3.8.48.89;38843;1760826432593807979;1760826432697135032;250071;10
3.8.48.89;38843;1760826432693827774;1760826432797163116;250072;10
3.8.48.89;38843;1760826432793815336;1760826432897190949;250073;10
3.8.48.89;38843;1760826432893815334;1760826432997157298;250074;10
3.8.48.89;38843;1760826432993821860;1760826433097171022;250075;10
3.8.48.89;38843;1760826433093816845;1760826433197139439;250076;10
3.8.48.89;38843;1760826433193810267;1760826433297139185;250077;10
3.8.48.89;38843;1760826433293811285;1760826433397151476;250078;10
3.8.48.89;38843;1760826433393814863;1760826433497136652;250079;10
3.8.48.89;38843;1760826433493812182;1760826433597148913;250080;10
3.8.48.89;38843;1760826433593830978;1760826433697148990;250081;10
3.8.48.89;38843;1760826433693817432;1760826433797172194;250082;10
3.8.48.89;38843;1760826433793811972;1760826433897138605;250083;10
3.8.48.89;38843;1760826433893815475;1760826433997166772;250084;10
3.8.48.89;38843;1760826433993815116;1760826434097148757;250085;10
3.8.48.89;38843;1760826434093818096;1760826434197153096;250086;10
