sequence_number,time_to_detect_ms
575553,100.049152
846408,100.411648
733042,100.099328
274192,100.05632
245527,100.135168
365022,100.03968
421444,100.125696
481292,100.094464
455692,100.054784
437280,100.038144
238783,100.047616
91053,100.153344
410727,100.04352
150671,100.056832
643291,100.196608
304986,100.633856
561470,100.0576
69827,100.27776
144646,100.058624
549914,100.110848
367964,100.041728
81428,100.045568
559166,100.045568
95656,100.151808
494850,100.041472
654269,100.082688
749472,100.04992
614847,100.056832
116134,100.177152
446490,100.157696
