sequence_number,time_taken_to_correct_ms
2,0.076473
4,0.026858
7,0.038271
8,5.4e-05
11,0.019228
15,0.000221
16,0.000319
18,0.005877
19,0.000183
23,0.001081
24,4e-06
28,0.018415
29,0.001926
32,0.008793
33,0.065668
35,0.00534
37,0.006701
38,0.002422
42,0.034723
45,0.012122
46,0.061103
49,0.035719
51,0.042294
53,0.001416
55,0.032774
56,0.000357
58,0.0029
59,5.2e-05
60,0.001285
63,0.034436
65,0.051198
67,0.01306
68,0.029125
69,0.001916
70,0.0255
71,0.028318
73,0.017313
74,0.012823
76,0.016473
80,0.080978
82,0.012967
83,0.037395
85,0.053527
87,0.01964
88,0.005579
90,0.016836
92,0.002199
94,0.003625
95,0.002627
96,0.000613
97,0.000279
100,0.006182
102,0.005811
103,0.004724
105,0.008339
107,0.013752
108,0.019655
111,0.154503
113,0.035483
115,0.02766
117,0.032218
118,0.002246
121,0.006465
122,0.002516
123,0.002609
124,0.010739
127,0.002148
130,0.038085
133,0.014205
135,0.017005
136,0.003516
137,0.009713
139,0.023984
142,0.002954
147,0.012441
148,0.024098
152,0.003584
153,0.014627
154,0.006193
156,0.036125
159,0.017702
163,0.027076
165,0.017454
168,0.001098
170,0.045892
172,0.017743
174,0.017013
177,0.026074
178,0.015803
181,0.024437
182,0.00684
185,0.015064
187,0.027424
188,0.010196
189,0.007424
190,0.005259
193,0.005245
195,0.023621
198,0.010285
199,0.009707
201,0.149367
204,0.012861
205,0.006543
207,0.047848
209,0.009715
210,0.021932
212,0.001062
215,0.038657
219,0.023378
222,0.048504
225,0.024199
227,0.029448
228,0.017367
233,0.045565
239,0.00864
241,0.026613
243,0.016171
245,0.002509
247,0.030081
249,0.011576
251,0.021815
254,0.01059
256,0.02133
258,0.001202
259,0.00052
260,0.004882
262,0.008975
264,0.019932
267,0.024267
269,0.010268
271,0.120993
273,0.004525
274,0.013806
275,0.004843
277,0.00104
279,0.042508
283,0.032989
286,0.037306
288,0.006147
289,0.005523
291,0.001624
293,0.040186
297,0.003395
299,0.036102
301,0.048619
303,0.001682
305,0.011874
307,0.01298
308,0.021302
309,0.001267
310,0.004298
311,0.009517
314,0.012103
316,0.014652
319,0.02685
320,0.03952
321,0.097119
323,0.010471
324,0.001085
325,0.002183
327,0.006439
328,0.011795
329,0.013698
331,0.026206
336,0.006552
339,0.004421
340,0.011703
341,0.00208
344,0.010487
345,0.024187
346,0.153924
350,0.007757
351,0.017217
353,0.020582
356,0.006999
357,0.005935
360,0.020905
361,0.088213
363,0.040935
365,0.019502
366,0.033676
369,0.014614
370,0.087852
373,0.008512
375,0.009522
376,0.019945
377,0.031271
380,0.104062
383,0.054702
385,0.005234
387,0.01774
389,0.002801
392,0.057237
394,0.003182
397,0.023329
400,0.031933
404,0.060924
407,0.225331
409,0.008292
410,0.000513
411,0.006074
414,0.011055
415,0.004155
418,0.026834
422,0.031464
423,0.036001
425,0.012086
426,0.091768
428,0.082674
429,0.01056
430,0.009509
433,0.053914
434,0.00051
435,0.010773
437,0.023293
439,0.008886
445,0.004704
447,0.04521
450,0.007696
451,0.030467
453,0.009848
455,0.037513
457,0.004429
458,0.003799
459,0.107927
461,0.020048
464,0.048825
468,0.05683
469,0.012634
473,0.002241
475,0.064937
477,0.107325
479,0.064793
483,0.03161
485,0.011457
487,0.033651
489,0.019743
490,0.003952
494,0.042562
497,0.008909
500,0.150121
504,0.016105
505,0.00586
508,0.150766
511,0.049122
513,0.003643
514,0.018843
516,0.055193
519,0.014108
520,0.018988
523,0.020169
524,0.04599
527,0.045715
528,0.007904
530,0.01532
533,0.015826
535,0.030829
536,0.014229
538,0.011834
540,0.005198
541,0.004982
543,0.016713
544,0.000312
545,0.007724
547,0.024595
549,0.037897
553,0.087153
555,0.002552
556,0.007762
557,0.01162
559,0.012643
560,0.047521
562,0.029314
563,0.003466
565,0.003306
566,0.011618
569,0.010898
570,0.14058
574,0.017159
576,0.005672
579,0.023251
583,0.011404
584,0.049442
587,0.036617
588,0.001662
590,0.018268
591,0.006502
592,0.007283
595,0.002076
598,0.023272
601,0.014703
603,0.005018
605,0.019961
606,0.001532
608,0.003966
610,0.028684
613,0.013314
614,0.060232
616,0.006065
618,0.012579
622,0.043852
623,0.023006
625,0.027722
627,0.014087
629,0.002378
631,0.025773
633,0.012654
635,0.017238
638,0.021657
640,0.003618
642,0.016199
645,0.041633
646,0.183343
649,0.005095
652,0.026461
654,0.012674
656,0.008555
658,0.009071
660,0.014181
662,0.001036
663,0.006053
664,0.097486
667,0.012673
669,0.005581
670,0.020701
673,0.041991
676,0.032244
678,0.001771
679,0.006487
681,0.011211
683,0.02172
685,0.044392
688,0.012609
690,0.002913
692,0.019656
695,0.045642
697,0.005305
698,0.009943
700,0.003674
701,0.014787
703,0.021195
705,0.047312
707,0.00179
708,0.032931
710,0.002202
711,0.021769
713,0.011435
715,0.099866
717,0.00171
718,0.003393
721,0.017142
724,0.028814
725,0.023109
727,0.009663
728,0.012623
730,0.007737
732,0.013976
735,0.030709
737,0.008152
739,0.008279
740,0.003722
741,0.019462
744,0.063226
745,0.01467
746,0.011993
749,0.024491
751,0.031569
753,0.024942
754,0.002331
757,0.004527
758,0.018918
760,0.006562
761,0.005636
763,0.004222
764,0.016066
766,0.040213
768,0.027567
769,0.10094
772,0.009137
773,0.00744
775,0.047343
778,0.002718
780,0.002141
781,0.006039
783,0.017024
785,0.011363
787,0.041268
791,0.027538
793,0.023293
795,0.01776
798,0.004567
800,0.008765
801,0.000297
802,0.00927
805,0.032536
807,0.044726
809,0.021781
810,0.007285
812,0.00941
813,0.031421
815,0.006304
817,0.004471
819,0.014926
820,0.026378
822,0.003515
823,0.037051
825,0.091995
827,0.02807
828,0.002939
829,0.020632
832,0.024755
834,0.021688
837,0.00342
839,0.034666
840,0.059901
843,0.028301
845,0.051253
848,0.013847
851,0.053472
853,0.071651
855,0.040365
858,0.019567
861,0.015615
863,0.074988
865,0.042132
867,0.022355
868,0.005498
871,0.020033
875,0.017716
876,0.016548
878,0.030949
880,0.006286
881,0.020467
883,0.005441
884,0.00457
885,0.002233
887,0.019271
889,0.033291
891,0.028351
893,0.014955
894,0.182284
897,0.002946
898,0.001796
899,0.003146
903,0.025557
907,0.025653
909,0.025679
913,0.042028
915,0.022853
917,0.06952
919,0.020826
922,0.003596
924,0.013901
926,0.005766
928,0.014174
930,0.010191
932,0.00099
935,0.041408
937,0.034131
938,0.00453
941,0.017994
943,0.038954
945,0.037777
947,0.007769
949,0.005963
951,0.012671
955,0.014989
957,0.02351
960,0.145644
963,0.169405
968,0.020928
970,0.012729
973,0.048013
975,0.013233
978,0.009559
979,0.004796
980,0.073099
983,0.020436
985,0.008
987,0.024882
988,0.013049
990,0.024477
992,9.3e-05
993,0.000968
994,0.050704
996,0.006441
1000,0.006295
1001,0.006582
1003,0.035359
1004,0.00083
1007,0.014411
1008,0.016185
1010,0.00474
1013,0.002132
1014,0.006842
1017,0.016504
1020,0.01521
1021,0.001031
1023,0.037827
1025,0.016016
1027,0.041761
1030,0.00887
1031,0.007116
1032,0.026992
1033,0.094318
1035,0.011812
1037,0.015475
1039,0.000647
1040,0.018462
1043,0.027244
1044,0.023687
1047,0.026846
1048,0.006264
1050,0.014325
1051,0.021435
1053,0.047513
1055,0.002908
1057,0.045213
1060,0.110754
1063,0.033631
1064,0.017631
1065,0.012985
1067,0.008043
1068,0.020708
1070,0.027215
1073,0.020855
1074,0.002076
1075,0.013724
1077,0.025321
1079,0.00585
1081,0.006408
1083,0.024154
1084,0.002271
1085,0.002666
1086,0.013508
1088,0.001664
1090,0.015734
1093,0.02454
1095,0.031144
1096,0.058526
1099,0.003258
1100,0.008449
1101,0.004456
1103,0.002345
1105,0.004014
1107,0.033815
1109,0.024812
1113,0.000868
1114,0.042669
1116,0.0113
1117,0.003685
1118,0.002061
1120,0.012681
1121,0.006252
1122,0.183642
1125,0.006854
1127,0.034657
1129,0.014064
1131,0.029262
1133,0.00532
1134,0.011207
1135,0.007143
1136,0.131567
1138,0.006105
1140,0.000588
1143,0.037988
1147,0.025201
1149,0.00204
1151,0.034358
1153,0.033587
1155,0.015641
1157,0.002334
1159,0.019981
1161,0.00744
1163,0.026816
1164,0.017348
1166,0.00899
1167,0.008941
1169,0.012811
1170,0.004017
1172,0.080308
1174,0.000654
1175,0.006287
1176,0.005672
1178,0.041628
1180,0.004872
1181,0.011189
1183,0.040052
1185,0.053491
1187,0.014678
1189,0.042459
1192,0.049745
1194,0.012506
1196,0.008816
1197,0.003668
1198,0.064151
1200,0.007553
1203,0.020138
1204,0.020623
1205,0.000658
1207,0.036243
1209,0.028496
1213,0.022016
1216,0.005028
1218,0.008624
1220,0.006284
1221,0.002598
1223,0.011959
1226,0.010492
1227,0.013235
1230,0.009202
1231,0.003606
1233,0.069013
1235,0.032509
1239,0.044807
1243,0.013243
1244,0.000683
1246,0.017628
1249,0.000277
1251,0.028488
1255,0.016708
1256,0.003551
1257,0.002763
1258,0.003436
1259,0.004019
1262,0.005732
1264,0.008015
1267,0.027747
1269,0.014216
1270,0.02621
1273,0.007895
1275,0.002405
1277,0.00251
1278,0.021665
1279,0.006366
1283,0.067
1285,0.01605
1286,0.065812
1288,0.01609
1289,0.01737
1292,0.010707
1293,0.018333
1295,0.003388
1296,0.003067
1297,0.016119
1299,0.011705
1303,0.014189
1305,0.014013
1307,0.042311
1310,0.013137
1311,0.012092
1315,0.020893
1317,0.005017
1318,0.001477
1320,0.00829
1322,0.015023
1324,0.014379
1326,0.038763
1329,0.011821
1331,0.009225
1333,0.006886
1335,0.018291
1336,0.005516
1337,0.005112
1339,0.013385
1340,0.008495
1341,0.001494
1344,0.006236
1345,0.005257
1347,0.025564
1348,0.002211
1349,0.001807
1350,0.004007
1351,0.000379
1352,0.00139
1354,0.000875
1355,0.018621
1359,0.030214
1361,0.053687
1363,0.001128
1364,8.6e-05
1365,0.00408
1367,0.007525
1369,0.001926
1371,0.009552
1373,0.003893
1374,0.002796
1377,0.012733
1378,0.023462
1379,0.092278
1381,0.038358
1385,0.017836
1387,0.019986
1388,0.010277
1390,0.076597
1393,0.004805
1396,0.026868
1398,0.011507
1400,0.00333
1402,0.008419
1403,0.000523
1404,0.004539
1405,0.0024
1406,0.003674
1409,0.00058
1410,0.073331
1412,7.6e-05
1413,0.011331
1414,0.000983
1416,0.011211
1417,0.000919
1419,0.007751
1420,0.012114
1423,0.029598
1427,0.003661
1428,0.004307
1429,0.017867
1431,0.002906
1433,0.018591
1435,0.003433
1436,0.000925
1437,0.002349
1441,0.010691
1442,0.002069
1444,0.014379
1447,0.016356
1448,0.00053
1451,0.002715
1453,0.020644
1455,0.009068
1456,0.003659
1458,0.006175
1460,0.000759
1461,0.005157
1463,0.022813
1465,0.025568
1467,0.038727
1470,0.021838
1471,0.011361
1473,0.002074
1474,0.001247
1477,0.017896
1478,0.004614
1479,0.002943
1480,0.002416
1483,0.001011
1484,0.003743
1486,0.029145
1488,0.007995
1489,0.0032
1490,0.012262
1492,0.000327
1495,0.017854
1496,0.001713
1497,0.000639
1498,0.001297
1499,0.070587
1502,0.039193
1505,0.014883
1507,0.006556
1509,0.048597
1511,0.006088
1512,0.002653
1515,0.032262
1517,0.007825
1521,0.012611
1523,0.011578
1525,0.005685
1527,0.017731
1529,0.002771
1531,0.012348
1532,0.010751
1535,0.025335
1537,0.022649
1539,0.012248
1542,0.033051
1543,0.007822
1545,0.017848
1548,0.017185
1549,0.00536
1551,0.00502
1553,0.019981
1554,0.036814
1556,0.016865
1557,0.005427
1558,0.208152
1560,0.087419
1564,0.032079
1566,0.027208
1568,0.004302
1569,0.445953
1573,0.034465
1575,0.03704
1577,0.014203
1581,0.005381
1583,0.030307
1585,0.065257
1587,0.01894
1588,0.019616
1591,0.007058
1593,0.005426
1594,0.000333
1596,0.007286
1598,0.012597
1601,0.001254
1602,0.011296
1604,0.013863
1607,0.039761
1611,0.018592
1613,0.021987
1614,0.005854
1617,0.00202
1619,0.017486
1620,0.011458
1622,0.011809
1624,0.005073
1625,0.130519
1627,0.032637
1631,0.021342
1633,0.009458
1634,0.005013
1635,0.001173
1637,0.009356
1639,0.004345
1640,0.001434
1641,0.005052
1644,0.001291
