sequence_number,time_taken_to_correct_ms
2,0.076473
4,0.031466
33,0.024708
80,0.000338
111,0.101767
201,0.094327
271,0.066209
321,0.010335
346,0.098884
361,0.007573
407,0.119091
459,0.029079
500,0.074857
508,0.037614
553,0.011121
570,0.058148
614,0.001608
646,0.111407
664,0.022222
715,0.020762
769,0.006732
825,0.006747
894,0.091916
960,0.085484
963,0.026301
1033,0.01803
1060,0.013218
1122,0.123738
1136,0.024047
1172,0.015796
1233,0.026517
1283,0.022968
1361,0.003511
1379,0.046454
1410,0.028531
1499,0.033467
1558,0.131096
1569,0.285697
1625,0.076503
1645,0.005688
1735,0.019054
1749,0.05604
1754,0.049721
1821,0.026109
1865,0.333153
1885,0.00891
1960,0.014276
1994,0.064078
2083,0.030559
2085,0.080008
2128,0.002814
2235,0.020045
2255,0.106545
2371,0.056407
2399,0.032853
2438,0.013573
2498,0.002877
2523,0.086034
2573,0.014987
2587,0.035281
2606,0.001347
2612,0.000154
2635,0.007093
2653,0.006957
2657,0.01966
2660,0.414958
2696,0.000493
2724,0.043732
2756,0.080164
2762,0.140087
2815,0.034444
2893,0.000304
2895,0.004301
2926,0.064402
2979,0.119061
3033,0.121904
3054,0.037301
3133,0.042444
3332,0.021138
3357,0.025514
3455,0.036076
3502,0.016279
3523,0.044018
3563,0.045896
3638,0.070734
3646,0.048233
3714,0.033401
3783,0.015157
3841,0.056437
3855,0.479988
3893,0.029809
3928,0.065545
3938,0.327292
3961,0.004912
3989,0.185435
3993,0.159678
4039,0.062517
4060,0.010887
4067,0.309668
4140,0.001072
4142,0.034821
4216,0.026936
4256,0.026882
4348,0.0069
4436,0.002753
4458,0.048559
4545,1.539442
4648,0.012054
4737,0.020986
4747,0.011295
4823,0.133029
4856,0.015468
4888,0.027065
4961,0.026061
4994,0.00573
5123,0.007017
5133,0.01634
5158,0.590565
5182,0.033018
5224,0.04324
5227,0.099932
5243,0.015531
5315,0.006281
5321,0.028042
5357,0.003371
5429,0.021187
5477,0.002749
5605,0.128263
5655,0.020461
5685,0.001736
5714,0.048952
5733,0.063574
5746,2.699778
5967,0.047162
5987,0.044784
6042,0.009775
6068,0.088181
6104,0.043268
6114,0.391698
6180,0.109288
6204,0.041005
6276,0.012408
6315,0.149251
6345,0.070622
6361,0.031294
6419,0.012122
