sequence_number,time_taken_to_correct_ms
2,0.076473
111,0.025223
201,0.022903
346,0.032324
407,0.055859
500,0.012393
570,0.000804
646,0.059695
894,0.039436
960,0.034284
1122,0.07433
1558,0.079128
1569,0.230913
1625,0.004055
1865,0.267617
2255,0.020785
2523,0.00693
2660,0.343022
2762,0.041015
2979,0.025877
3033,0.035376
3855,0.39858
3938,0.21414
3989,0.062299
3993,0.042686
4067,0.2001
4545,1.420658
5158,0.341733
5746,2.441474
6742,0.24514
8765,0.622192
9055,0.337609
9713,0.016715
9957,0.933994
10568,5.788818
15345,0.328081
18395,0.373109
20765,0.154619
22558,0.564804
32164,0.155028
33369,3.252483
35321,1.419617
35764,0.096408
35838,0.109916
35918,0.13381
36135,0.437924
36434,0.437914
36938,0.390323
37002,0.230299
37146,0.023917
37172,1.062156
37557,0.078428
37659,0.232134
37673,1.702076
37940,1.515264
37964,0.242512
38133,0.77125
38223,0.479013
38731,1.710365
38761,3.673362
38923,1.462138
39139,3.146928
39363,0.839737
40530,0.46463
40725,0.219824
40909,0.020378
40935,1.249015
41161,0.121514
41252,0.157162
41651,0.575495
41800,1.080239
42478,1.692433
42886,0.081717
42958,0.035985
42995,0.683697
44165,0.16727
44612,0.537079
44769,0.430966
45125,0.217973
45497,0.060103
45815,1.241793
45963,0.469126
46745,0.284454
47316,0.927611
47578,0.743281
47826,1.173721
48351,0.424384
49085,0.776116
49334,0.448603
49559,0.410838
49616,1.153035
49750,0.504063
49980,1.93393
50050,0.034058
50063,0.16069
50158,0.347836
50167,0.159377
50939,1.823759
51197,0.020801
51219,0.146964
51347,0.068846
51417,0.647644
51504,0.351608
51731,0.167694
51964,0.306844
52060,0.16547
52203,0.260879
52453,0.100521
52498,0.674279
52822,0.612818
52896,0.629007
53145,1.852833
53177,0.054078
53365,0.854225
53672,0.370898
53759,0.967418
53888,1.186115
54000,0.073103
54167,0.013004
54392,0.320532
54922,0.34401
54991,0.434928
55035,0.430587
55631,0.695197
55701,0.73768
55741,0.304808
55791,0.195222
56587,0.140348
56684,3.49989
56745,0.432895
56758,0.177757
56829,0.627974
56977,1.078908
56982,0.179495
57355,0.518005
57357,0.058427
58548,0.039616
58631,0.20909
58965,0.166794
58991,0.147758
59194,1.24663
59758,0.120333
59769,0.023019
60108,0.10491
60869,0.023014
60926,0.0917
60964,0.123448
61008,0.002606
61066,0.607908
61179,0.317981
61291,0.065735
61664,0.532304
61682,0.337212
61695,0.026161
61779,0.004724
61822,2.960139
62137,0.03394
62430,1.301522
62505,2.260827
63073,2.111467
63365,7.215145
66379,1.997408
66631,0.29246
67238,0.630093
68156,0.22976
69252,0.04773
86156,3.50148
90359,3.708396
93359,0.602627
93365,7.521192
93946,0.040345
95759,4.796323
104763,0.093492
108400,0.101237
110761,3.725159
122159,0.051152
129962,0.337703
131156,1.456088
134765,1.709142
137160,1.04516
138346,1.455058
141363,0.395649
149746,8.948723
155675,0.289801
162364,2.195894
163564,0.856162
165960,1.402503
167764,0.987931
169557,0.420565
183318,0.121766
183361,0.128647
183963,6.615571
187568,0.19424
191162,0.098657
203521,0.710773
211565,0.513101
212760,0.149064
215897,1.975052
224763,0.116983
236500,0.308773
237345,0.040023
241685,0.885717
244953,0.371888
245946,1.288248
246401,0.396481
246564,3.538313
246921,0.617341
247577,0.772861
247989,0.15603
248112,0.943903
248361,11.480911
249570,0.418611
249890,0.335815
253373,0.09188
254716,0.666704
254813,0.550875
255959,0.239539
256545,0.391579
261364,3.058204
261425,1.678376
265002,0.548015
265473,1.516894
271827,0.248746
273379,0.24918
273461,1.1735
275036,1.991333
275763,4.441968
275932,1.506876
277071,1.074284
281122,0.438816
282731,0.758997
285331,0.195988
287255,0.421599
293946,0.126828
294362,0.043145
294735,0.116491
295333,0.530599
296145,0.352459
296198,0.740263
296758,0.65441
297161,0.082185
298559,3.840709
299764,0.044387
299942,2.205771
300364,0.280805
302040,0.336645
302195,0.490252
303192,1.354228
303346,0.298041
304398,0.773719
304564,1.232031
304863,1.215693
305709,1.412802
306346,2.527623
307122,0.939438
307564,1.082731
308600,0.001825
309663,0.076662
311761,9.227123
313693,0.615875
313767,1.048504
314165,4.363506
315962,1.476083
324361,0.500968
327960,0.848802
336345,0.149406
341759,0.667243
356160,2.869896
365761,1.870658
371165,0.549685
374161,2.552343
376445,0.771102
392760,1.169378
394557,0.929133
402968,8.389921
411367,7.748971
428765,0.758873
433564,1.52645
438964,1.936567
464757,0.607449
471362,0.90264
500170,3.069849
502570,2.689793
518166,17.797313
521766,17.439205
531996,3.268565
536160,7.663084
551757,0.508669
551764,10.262769
585960,0.023023
618364,0.450471
635746,6.624678
674771,0.784925
693946,9.553925
725862,1.017496
728764,1.209427
734167,5.298795
734298,0.649139
755761,0.24872
759357,0.935294
831366,0.985491
833765,8.862904
839758,4.994457
842160,0.870642
854758,0.416667
