sequence_number,time_taken_to_correct_ms
2,0.076355
4,0.031466
7,0.021119
28,0.002287
33,0.04698
42,0.007331
46,0.031407
63,0.001924
65,0.008958
70,0.002204
71,0.003998
80,0.041298
111,0.128647
130,0.005573
148,0.001058
156,0.012317
163,0.000708
170,0.019012
201,0.121975
222,0.010616
233,0.008445
271,0.094113
293,0.003578
299,0.004102
301,0.011243
320,0.002912
321,0.073823
345,0.000379
346,0.138564
361,0.067733
370,0.02334
380,0.043646
392,0.008341
404,0.023804
407,0.174131
426,0.063864
447,0.01193
459,0.088215
475,0.020649
477,0.047677
500,0.112745
508,0.095214
524,0.01527
549,0.001033
553,0.050033
560,0.023457
570,0.099876
584,0.029986
610,0.005132
614,0.031048
622,0.012108
623,0.00099
645,0.013985
646,0.163119
664,0.06011
685,0.003944
695,0.010058
705,0.011216
711,9e-06
715,0.060442
741,0.00359
744,0.027386
766,0.006165
769,0.077132
787,0.004916
805,0.0054
807,0.008886
809,0.000533
813,0.011197
820,0.008458
825,0.069979
840,0.034557
845,0.022581
851,0.002784
853,0.005603
863,0.021228
894,0.159756
913,0.002604
917,0.023696
935,0.01504
943,0.000298
957,0.00943
960,0.115948
963,0.098237
980,0.021899
994,0.008464
1003,0.001055
1023,0.012995
1027,0.007969
1032,0.008816
1033,0.072814
1060,0.062114
1077,0.001257
1096,0.038558
1107,0.003863
1114,0.012973
1122,0.167514
1136,0.104175
1172,0.048052
1185,0.002547
1198,0.013719
1233,0.047765
1239,0.004103
1251,0.00212
1267,0.008803
1278,0.000673
1283,0.045752
1286,0.043796
1307,0.008519
1324,0.002347
1326,0.026219
1347,0.002524
1355,0.010173
1359,0.011526
1361,0.028599
1378,0.013734
1379,0.07871
1390,0.031285
1410,0.051571
1423,0.003998
1444,0.006699
1453,0.00554
1463,0.005661
1465,0.004832
1467,0.007751
1486,0.011225
1499,0.052155
1509,0.010709
1535,0.002295
1542,0.002587
1554,0.020686
1558,0.187928
1569,0.366081
1607,0.009809
1625,0.103639
1645,0.029752
1660,0.025105
1664,0.041155
1685,0.03089
1707,0.003538
1720,0.000973
1723,0.009762
1735,0.041582
1739,0.010904
1749,0.097512
1754,0.116025
1772,0.006139
1789,0.003294
1802,0.019829
1815,0.020938
1821,0.082941
1847,0.005618
1862,0.006983
1865,0.376417
1885,0.06779
1888,0.050722
1911,0.006126
1931,0.011561
1937,0.007605
1943,0.006619
1960,0.056004
1975,0.001234
1988,0.006414
1991,0.002527
1994,0.097614
2011,0.014128
2018,0.013327
2027,0.002832
2055,0.021738
2062,0.000662
2067,0.00405
2072,0.015015
2083,0.052319
2085,0.137864
2107,0.008217
2119,0.022134
2122,0.024564
2128,0.033278
2136,0.044557
2151,0.004198
2160,0.014516
2163,0.032708
2185,0.002461
2197,0.012833
2209,0.012219
2215,0.012309
2227,0.022161
2235,0.049741
2255,0.146225
2286,0.007776
2295,0.004815
2300,0.006225
2305,0.004117
2309,0.005332
2323,0.003158
