sequence_number,time_to_detect_ms
575553,100.02432
846408,100.203008
733042,100.028928
274192,100.014336
245527,100.034304
365022,100.019712
421444,100.061184
481292,100.024576
455692,100.013824
437280,100.018944
238783,100.012544
91053,100.076032
410727,100.021504
150671,100.014848
643291,100.049664
304986,100.311808
561470,100.014848
69827,100.069376
144646,100.028928
549914,100.055296
367964,100.020736
81428,100.012032
559166,100.011264
95656,100.075008
494850,100.010496
654269,100.040704
749472,100.012544
614847,100.027904
116134,100.086528
446490,100.077568
