CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
3.8.48.89;38843;1760831425493822037;1760831425532104725;300000;10
3.8.48.89;38843;1760831425593810988;1760831425632107588;300001;10
3.8.48.89;38843;1760831425693812390;1760831425732104848;300002;10
3.8.48.89;38843;1760831425793816707;1760831425832116499;300003;10
3.8.48.89;38843;1760831425893811908;1760831425932110717;300004;10
3.8.48.89;38843;1760831425993815980;1760831426032115505;300005;10
3.8.48.89;38843;1760831426093811345;1760831426132088699;300006;10
3.8.48.89;38843;1760831426193812658;1760831426232106995;300007;10
3.8.48.89;38843;1760831426293816144;1760831426332111992;300008;10
3.8.48.89;38843;1760831426393810628;1760831426432107808;300009;10
3.8.48.89;38843;1760831426493816921;1760831426532099429;300010;10
3.8.48.89;38843;1760831426593821648;1760831426632122099;300011;10
3.8.48.89;38843;1760831426693818398;1760831426732111214;300012;10
3.8.48.89;38843;1760831426793820110;1760831426832107095;300013;10
3.8.48.89;38843;1760831426893815476;1760831426932100747;300014;10
3.8.48.89;38843;1760831426993811960;1760831427032103461;300015;10
3.8.48.89;38843;1760831427093839681;1760831427132138224;300016;10
3.8.48.89;38843;1760831427193819153;1760831427232116997;300017;10
3.8.48.89;38843;1760831427293823665;1760831427332104306;300018;10
3.8.48.89;38843;1760831427393812960;1760831427432112848;300019;10
3.8.48.89;38843;1760831427493818379;1760831427532138488;300020;10
3.8.48.89;38843;1760831427593813033;1760831427632117398;300021;10
3.8.48.89;38843;1760831427693815591;1760831427732107157;300022;10
3.8.48.89;38843;1760831427793812301;1760831427832105970;300023;10
3.8.48.89;38843;1760831427893821055;1760831427932106475;300024;10
3.8.48.89;38843;1760831427993816536;1760831428032104725;300025;10
3.8.48.89;38843;1760831428093825453;1760831428132122376;300026;10
3.8.48.89;38843;1760831428193807763;1760831428232103529;300027;10
3.8.48.89;38843;1760831428293821775;1760831428332113094;300028;10
