sequence_number,time_taken_to_correct_ms
2,0.076544
4,0.02688
7,0.038144
8,0.0
11,0.0192
15,0.000256
16,0.000256
18,0.005888
19,0.000256
23,0.001024
24,0.0
28,0.018432
29,0.002048
32,0.008704
33,0.065792
35,0.005376
37,0.006656
38,0.002304
42,0.034816
45,0.012032
46,0.061184
49,0.03584
51,0.04224
53,0.001536
55,0.032768
56,0.000256
58,0.002816
59,0.0
60,0.00128
63,0.03456
65,0.0512
67,0.013056
68,0.029184
69,0.001792
70,0.0256
71,0.028416
73,0.017408
74,0.0128
76,0.016384
80,0.080896
82,0.013056
83,0.037376
85,0.053504
87,0.019712
88,0.005632
90,0.016896
92,0.002304
94,0.003584
95,0.00256
96,0.000512
97,0.000256
100,0.006144
102,0.005888
103,0.004608
105,0.008448
107,0.013824
108,0.019712
111,0.154624
113,0.035584
115,0.027648
117,0.032256
118,0.002304
121,0.0064
122,0.00256
123,0.00256
124,0.010752
127,0.002048
130,0.038144
133,0.01408
135,0.016896
136,0.003584
137,0.009728
139,0.024064
142,0.003072
147,0.012544
148,0.024064
152,0.003584
153,0.014592
154,0.006144
156,0.036096
159,0.017664
163,0.027136
165,0.017408
168,0.001024
170,0.045824
172,0.017664
174,0.016896
177,0.026112
178,0.015872
181,0.02432
182,0.006912
185,0.015104
187,0.027392
188,0.01024
189,0.007424
190,0.005376
193,0.00512
195,0.023552
198,0.01024
199,0.009728
201,0.149248
204,0.0128
205,0.006656
207,0.047872
209,0.009728
210,0.022016
212,0.001024
215,0.038656
219,0.023296
222,0.048384
225,0.02432
227,0.02944
228,0.017408
233,0.045568
239,0.008704
241,0.026624
243,0.016128
245,0.00256
247,0.030208
249,0.01152
251,0.02176
254,0.010496
256,0.021248
258,0.00128
259,0.000512
260,0.004864
262,0.00896
264,0.019968
267,0.02432
269,0.01024
271,0.121088
273,0.004608
274,0.013824
275,0.004864
277,0.001024
279,0.042496
283,0.033024
286,0.037376
288,0.006144
289,0.005632
291,0.001536
293,0.040192
297,0.003328
299,0.036096
301,0.04864
303,0.001792
305,0.011776
307,0.013056
308,0.021248
309,0.00128
310,0.004352
311,0.009472
314,0.012032
316,0.014592
319,0.02688
320,0.039424
321,0.097024
323,0.010496
324,0.001024
325,0.002304
327,0.0064
328,0.011776
329,0.013824
331,0.026112
336,0.006656
339,0.004352
340,0.011776
341,0.002048
344,0.010496
345,0.024064
346,0.153856
350,0.00768
351,0.017152
353,0.02048
356,0.006912
357,0.005888
360,0.020992
361,0.08832
363,0.04096
365,0.019456
366,0.033792
369,0.014592
370,0.087808
373,0.008448
375,0.009472
376,0.019968
377,0.031232
380,0.103936
383,0.054784
385,0.00512
387,0.017664
389,0.002816
392,0.057344
394,0.003072
397,0.023296
400,0.032
404,0.060928
407,0.22528
409,0.008192
410,0.000512
411,0.006144
414,0.011008
415,0.004096
418,0.02688
422,0.031488
423,0.036096
425,0.012032
426,0.091648
428,0.082688
429,0.010496
430,0.009472
433,0.054016
434,0.000512
435,0.010752
437,0.023296
439,0.00896
445,0.004608
447,0.045312
450,0.00768
451,0.030464
453,0.009728
455,0.037632
457,0.004352
458,0.00384
459,0.108032
461,0.019968
464,0.048896
468,0.056832
469,0.012544
473,0.002304
475,0.065024
477,0.107264
479,0.064768
483,0.031488
485,0.01152
487,0.033536
489,0.019712
490,0.00384
494,0.042496
497,0.00896
500,0.150016
504,0.016128
505,0.005888
508,0.150784
511,0.049152
513,0.003584
514,0.018944
516,0.055296
519,0.01408
520,0.018944
523,0.020224
524,0.04608
527,0.045824
528,0.007936
530,0.01536
533,0.015872
535,0.03072
536,0.014336
538,0.011776
540,0.00512
541,0.004864
543,0.01664
544,0.000256
545,0.00768
547,0.024576
549,0.037888
553,0.08704
555,0.00256
556,0.00768
557,0.01152
559,0.012544
560,0.047616
562,0.02944
563,0.003584
565,0.003328
566,0.01152
569,0.011008
570,0.140544
574,0.017152
576,0.005632
579,0.023296
583,0.01152
584,0.049408
587,0.036608
588,0.001536
590,0.018176
591,0.0064
592,0.007168
595,0.002048
598,0.023296
601,0.014592
603,0.00512
605,0.019968
606,0.001536
608,0.00384
610,0.028672
613,0.013312
614,0.06016
616,0.006144
618,0.012544
622,0.043776
623,0.02304
625,0.027648
627,0.01408
629,0.002304
631,0.025856
633,0.012544
635,0.017152
638,0.02176
640,0.003584
642,0.016128
645,0.041728
646,0.183296
649,0.00512
652,0.026368
654,0.0128
656,0.008448
658,0.00896
660,0.01408
662,0.001024
663,0.006144
664,0.097536
667,0.0128
669,0.005632
670,0.020736
673,0.041984
676,0.032256
678,0.001792
679,0.0064
681,0.011264
683,0.02176
685,0.044288
688,0.012544
690,0.002816
692,0.019712
695,0.045568
697,0.005376
698,0.009984
700,0.003584
701,0.014848
703,0.021248
705,0.04736
707,0.001792
708,0.033024
710,0.002304
711,0.02176
713,0.01152
715,0.09984
717,0.001792
718,0.003328
721,0.017152
724,0.028928
725,0.02304
727,0.009728
728,0.012544
730,0.00768
732,0.01408
735,0.03072
737,0.008192
739,0.008192
740,0.00384
741,0.019456
744,0.063232
745,0.014592
746,0.012032
749,0.024576
751,0.031488
753,0.024832
754,0.002304
757,0.004608
758,0.018944
760,0.006656
761,0.005632
763,0.004096
764,0.016128
766,0.040192
768,0.027648
769,0.100864
772,0.009216
773,0.007424
775,0.04736
778,0.002816
780,0.002048
781,0.006144
783,0.016896
785,0.011264
787,0.041216
791,0.027648
793,0.023296
795,0.017664
798,0.004608
800,0.008704
801,0.000256
802,0.009216
805,0.032512
807,0.0448
809,0.02176
810,0.007168
812,0.009472
813,0.031488
815,0.0064
817,0.004352
819,0.014848
820,0.026368
822,0.003584
823,0.03712
825,0.091904
827,0.02816
828,0.002816
829,0.020736
832,0.024832
834,0.02176
837,0.003328
839,0.03456
840,0.059904
843,0.028416
845,0.0512
848,0.013824
851,0.053504
853,0.07168
855,0.040448
858,0.019456
861,0.015616
863,0.075008
865,0.04224
867,0.022272
868,0.005376
871,0.019968
875,0.017664
876,0.01664
878,0.030976
880,0.0064
881,0.02048
883,0.005376
