sequence_number,time_taken_to_correct_ms
2,0.076544
4,0.031488
33,0.024832
80,0.000256
111,0.101888
201,0.094208
271,0.066304
321,0.01024
346,0.098816
361,0.00768
407,0.11904
459,0.029184
500,0.074752
508,0.037632
553,0.011008
570,0.058112
614,0.001536
646,0.11136
664,0.022272
715,0.020736
769,0.006656
825,0.006656
894,0.091904
960,0.085504
963,0.026368
1033,0.01792
1060,0.013312
1122,0.123648
1136,0.024064
1172,0.015872
1233,0.026624
1283,0.02304
1361,0.003584
1379,0.046336
1410,0.028416
1499,0.033536
1558,0.131072
1569,0.285696
1625,0.076544
1645,0.005632
1735,0.018944
1749,0.056064
1754,0.049664
1821,0.026112
1865,0.333056
1885,0.00896
1960,0.014336
1994,0.064
2083,0.030464
2085,0.080128
2128,0.002816
2235,0.019968
2255,0.106496
2371,0.05632
2399,0.032768
2438,0.013568
2498,0.002816
2523,0.086016
2573,0.015104
2587,0.035328
2606,0.00128
2612,0.000256
2635,0.007168
2653,0.006912
2657,0.019712
2660,0.414976
2696,0.000512
2724,0.043776
2756,0.080128
2762,0.140032
2815,0.03456
2893,0.000256
2895,0.004352
2926,0.064512
2979,0.11904
3033,0.121856
3054,0.037376
3133,0.042496
3332,0.021248
3357,0.0256
3455,0.036096
3502,0.016384
3523,0.044032
3563,0.045824
3638,0.070656
3646,0.048128
3714,0.03328
3783,0.015104
3841,0.05632
3855,0.48
3893,0.029696
3928,0.065536
3938,0.327168
3961,0.004864
3989,0.185344
3993,0.159744
4039,0.062464
4060,0.011008
4067,0.30976
4140,0.001024
4142,0.034816
4216,0.02688
4256,0.02688
4348,0.006912
4436,0.002816
4458,0.04864
4545,1.539328
4648,0.012032
4737,0.020992
4747,0.011264
4823,0.13312
4856,0.01536
4888,0.027136
4961,0.026112
4994,0.005632
5123,0.006912
5133,0.016384
5158,0.590592
5182,0.033024
5224,0.043264
5227,0.09984
5243,0.015616
5315,0.0064
5321,0.02816
5357,0.003328
5429,0.021248
5477,0.002816
5605,0.128256
5655,0.02048
5685,0.001792
5714,0.048896
5733,0.063488
