sequence_number,time_taken_to_correct_ms
2,0.076544
111,0.025344
201,0.022784
346,0.032256
407,0.055808
500,0.012288
570,0.000768
646,0.059648
894,0.039424
960,0.034304
1122,0.07424
1558,0.079104
1569,0.230912
1625,0.004096
1865,0.26752
2255,0.020736
2523,0.006912
2660,0.34304
2762,0.04096
2979,0.025856
3033,0.035328
3855,0.398592
3938,0.214016
3989,0.062208
3993,0.042752
4067,0.200192
4545,1.420544
5158,0.34176
5746,2.441472
6742,0.245248
8765,0.62208
9055,0.337664
9713,0.01664
9957,0.933888
10568,5.788928
15345,0.328192
18395,0.372992
20765,0.154624
22558,0.564736
32164,0.155136
33369,3.25248
35321,1.41952
35764,0.096512
35838,0.109824
35918,0.133888
36135,0.438016
36434,0.438016
36938,0.3904
37002,0.2304
37146,0.023808
37172,1.062144
37557,0.078336
37659,0.232192
37673,1.702144
37940,1.515264
37964,0.242432
38133,0.771328
38223,0.478976
38731,1.710336
38761,3.673344
38923,1.462016
39139,3.147008
39363,0.83968
40530,0.46464
40725,0.219904
40909,0.02048
40935,1.249024
41161,0.1216
41252,0.157184
41651,0.575488
41800,1.08032
42478,1.692416
42886,0.081664
42958,0.036096
42995,0.683776
44165,0.167168
44612,0.537088
44769,0.430848
45125,0.217856
45497,0.06016
45815,1.241856
45963,0.469248
46745,0.284416
47316,0.927488
47578,0.743168
47826,1.17376
48351,0.424448
49085,0.776192
49334,0.448512
49559,0.41088
49616,1.153024
49750,0.504064
49980,1.933824
50050,0.034048
50063,0.160768
50158,0.347904
50167,0.159488
50939,1.823744
51197,0.020736
51219,0.146944
51347,0.068864
51417,0.64768
51504,0.351488
51731,0.16768
51964,0.306944
52060,0.165376
52203,0.260864
52453,0.100608
52498,0.674304
52822,0.612864
52896,0.628992
53145,1.852928
53177,0.054016
53365,0.854272
53672,0.370944
53759,0.967424
53888,1.186048
54000,0.073216
54167,0.013056
54392,0.320512
54922,0.344064
54991,0.434944
55035,0.430592
55631,0.695296
55701,0.737792
55741,0.304896
55791,0.195328
56587,0.140288
56684,3.499776
56745,0.432896
56758,0.177664
56829,0.627968
56977,1.078784
56982,0.179456
57355,0.517888
57357,0.058368
58548,0.03968
58631,0.209152
58965,0.166912
58991,0.147712
59194,1.24672
59758,0.12032
59769,0.02304
60108,0.10496
60869,0.02304
60926,0.091648
60964,0.123392
61008,0.00256
61066,0.608
61179,0.317952
61291,0.065792
61664,0.532224
61682,0.337152
61695,0.026112
61779,0.004608
61822,2.960128
62137,0.034048
62430,1.301504
62505,2.260736
63073,2.111488
63365,7.215104
66379,1.997312
66631,0.292352
67238,0.630016
68156,0.229888
69252,0.047616
86156,3.501568
90359,3.708416
93359,0.602624
93365,7.52128
93946,0.040448
95759,4.796416
104763,0.09344
108400,0.10112
110761,3.725056
122159,0.0512
129962,0.337664
131156,1.456128
134765,1.709056
137160,1.045248
138346,1.455104
141363,0.395776
149746,8.948736
155675,0.289792
162364,2.195968
163564,0.856064
165960,1.402624
167764,0.987904
169557,0.420608
183318,0.121856
183361,0.128768
183963,6.615552
187568,0.194304
191162,0.09856
203521,0.710656
211565,0.513024
212760,0.148992
215897,1.97504
224763,0.116992
236500,0.308736
237345,0.039936
241685,0.88576
244953,0.371968
245946,1.288192
246401,0.396544
246564,3.538432
246921,0.617216
247577,0.772864
247989,0.155904
248112,0.943872
248361,11.480832
249570,0.41856
249890,0.335872
253373,0.091904
254716,0.666624
254813,0.550912
255959,0.239616
256545,0.39168
261364,3.058176
261425,1.678336
265002,0.548096
265473,1.5168
271827,0.248832
273379,0.249088
273461,1.173504
275036,1.991424
275763,4.441856
275932,1.506816
277071,1.074176
281122,0.438784
282731,0.75904
285331,0.196096
287255,0.421632
293946,0.12672
294362,0.043264
294735,0.11648
295333,0.530688
296145,0.352512
296198,0.740352
296758,0.654336
297161,0.082176
298559,3.840768
299764,0.044288
299942,2.205696
300364,0.280832
302040,0.33664
302195,0.49024
303192,1.35424
303346,0.297984
304398,0.773632
304564,1.232128
304863,1.215744
305709,1.412864
306346,2.527744
307122,0.93952
307564,1.082624
308600,0.001792
309663,0.076544
311761,9.227008
313693,0.615936
313767,1.048576
314165,4.36352
315962,1.476096
324361,0.500992
327960,0.848896
336345,0.149504
341759,0.667136
356160,2.870016
365761,1.870592
371165,0.549632
374161,2.55232
376445,0.771072
392760,1.169408
394557,0.929024
402968,8.389888
411367,7.748864
428765,0.758784
433564,1.526528
438964,1.93664
464757,0.607488
471362,0.902656
500170,3.069952
502570,2.689792
518166,17.797376
521766,17.439232
531996,3.268608
536160,7.663104
551757,0.508672
551764,10.262784
585960,0.02304
618364,0.45056
635746,6.624768
674771,0.784896
693946,9.55392
725862,1.0176
728764,1.209344
734167,5.298688
734298,0.649216
755761,0.248832
759357,0.935168
831366,0.9856
833765,8.862976
839758,4.99456
842160,0.870656
854758,0.416768
