CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
3.8.48.89;38843;1760826425493809295;1760826425532114191;250000;10
3.8.48.89;38843;1760826425593808945;1760826425632114812;250001;10
3.8.48.89;38843;1760826425693810099;1760826425732121293;250002;10
3.8.48.89;38843;1760826425793811013;1760826425832129079;250003;10
3.8.48.89;38843;1760826425893815227;1760826425932123271;250004;10
3.8.48.89;38843;1760826425993814087;1760826426032112657;250005;10
3.8.48.89;38843;1760826426093825452;1760826426132121398;250006;10
3.8.48.89;38843;1760826426193821719;1760826426232133879;250007;10
3.8.48.89;38843;1760826426293813584;1760826426332115993;250008;10
3.8.48.89;38843;1760826426393816981;1760826426432135823;250009;10
3.8.48.89;38843;1760826426493814173;1760826426532157370;250010;10
3.8.48.89;38843;1760826426593820983;1760826426632133279;250011;10
3.8.48.89;38843;1760826426693823855;1760826426732287983;250012;10
3.8.48.89;38843;1760826426793810404;1760826426832127808;250013;10
3.8.48.89;38843;1760826426893811823;1760826426932128890;250014;10
3.8.48.89;38843;1760826426993811126;1760826427032124663;250015;10
3.8.48.89;38843;1760826427093817626;1760826427132138729;250016;10
3.8.48.89;38843;1760826427193815631;1760826427232120426;250017;10
3.8.48.89;38843;1760826427293819454;1760826427332142530;250018;10
3.8.48.89;38843;1760826427393814855;1760826427432147102;250019;10
3.8.48.89;38843;1760826427493815699;1760826427532114818;250020;10
3.8.48.89;38843;1760826427593811889;1760826427632117572;250021;10
3.8.48.89;38843;1760826427693819128;1760826427732144864;250022;10
3.8.48.89;38843;1760826427793815847;1760826427832117626;250023;10
3.8.48.89;38843;1760826427893810981;1760826427932124695;250024;10
3.8.48.89;38843;1760826427993820163;1760826428032133049;250025;10
3.8.48.89;38843;1760826428093815524;1760826428132100489;250026;10
3.8.48.89;38843;1760826428193808947;1760826428232138391;250027;10
3.8.48.89;38843;1760826428293817470;1760826428332138023;250028;10
3.8.48.89;38843;1760826428393810450;1760826428432187590;250029;10
3.8.48.89;38843;1760826428493818353;1760826428532123115;250030;10
3.8.48.89;38843;1760826428593818366;1760826428632117034;250031;10
3.8.48.89;38843;1760826428693810138;1760826428732115594;250032;10
3.8.48.89;38843;1760826428793814430;1760826428832153974;250033;10
3.8.48.89;38843;1760826428893815618;1760826428932164306;250034;10
3.8.48.89;38843;1760826428993817945;1760826429032367649;250035;10
3.8.48.89;38843;1760826429093817337;1760826429132118735;250036;10
3.8.48.89;38843;1760826429193808483;1760826429232121554;250037;10
3.8.48.89;38843;1760826429293812616;1760826429332111893;250038;10
3.8.48.89;38843;1760826429393816812;1760826429432126821;250039;10
3.8.48.89;38843;1760826429493808099;1760826429532150745;250040;10
3.8.48.89;38843;1760826429593813468;1760826429632109831;250041;10
3.8.48.89;38843;1760826429693803961;1760826429732107544;250042;10
3.8.48.89;38843;1760826429793870215;1760826429832190300;250043;10
3.8.48.89;38843;1760826429893807328;1760826429932112778;250044;10
3.8.48.89;38843;1760826429993820605;1760826430032119730;250045;10
3.8.48.89;38843;1760826430093818599;1760826430132116790;250046;10
3.8.48.89;38843;1760826430193815914;1760826430232139862;250047;10
3.8.48.89;38843;1760826430293815046;1760826430332136586;250048;10
3.8.48.89;38843;1760826430393825201;1760826430432128954;250049;10
3.8.48.89;38843;1760826430493815080;1760826430532118904;250050;10
3.8.48.89;38843;1760826430593820143;1760826430632119480;250051;10
3.8.48.89;38843;1760826430693829633;1760826430732131045;250052;10
3.8.48.89;38843;1760826430793818794;1760826430832193151;250053;10
3.8.48.89;38843;1760826430893831624;1760826430932114482;250054;10
3.8.48.89;38843;1760826430993815219;1760826431032127537;250055;10
3.8.48.89;38843;1760826431093811047;1760826431132127120;250056;10
3.8.48.89;38843;1760826431193812159;1760826431232130263;250057;10
3.8.48.89;38843;1760826431293812564;1760826431332130584;250058;10
3.8.48.89;38843;1760826431393818290;1760826431432118310;250059;10
3.8.48.89;38843;1760826431493816272;1760826431532126455;250060;10
3.8.48.89;38843;1760826431593822807;1760826431632126284;250061;10
