sequence_number,time_to_detect_ms
831917,100.00256
640026,100.004352
769552,100.00256
639989,100.004352
492414,100.0
407543,100.0
394443,100.0
218173,100.0
214409,100.0
728162,100.003072
539420,100.006912
391800,100.0
752065,100.002816
817325,100.00256
838543,100.002304
339462,100.0
532284,100.007168
279068,100.0
12913,100.0
353049,100.0
219922,100.0
134130,99.999744
128409,99.999744
63495,99.999488
431061,100.0
280179,100.0
542319,100.006656
657282,100.004096
500357,100.0
542711,100.006656
