sequence_number,time_to_detect_ms
831917,202.839552
640026,202.552064
769552,202.470912
639989,202.567936
492414,102.891776
407543,104.0064
394443,104.333824
218173,105.962752
214409,106.168576
728162,202.483456
539420,202.559232
391800,104.177152
752065,202.518016
817325,202.51648
838543,202.514432
339462,104.495872
532284,202.52928
279068,105.029376
12913,101.103104
353049,104.473856
219922,105.7984
134130,103.519744
128409,103.89504
63495,102.217984
431061,103.74912
280179,105.124608
542319,202.590464
657282,202.554624
500357,102.97984
542711,202.54336
