sequence_number,time_taken_to_correct_ms
2,0.10539
8,0.024489
10,0.065012
13,0.002451
17,0.049403
21,0.089406
23,0.007921
24,0.007069
27,0.014967
29,0.00252
30,0.008632
32,0.000907
33,0.002724
36,0.048624
38,0.018012
43,0.002024
46,0.043625
48,0.017037
51,0.02088
53,0.004683
54,0.003677
58,0.039837
60,0.012543
62,0.002951
64,0.027221
67,0.020936
69,0.003736
70,0.041177
72,0.033184
74,0.003016
75,0.006475
78,0.028071
80,0.001832
82,0.099182
86,5.2e-05
88,0.015308
89,0.023755
92,0.001906
94,0.010345
95,0.07337
98,0.00123
100,0.009968
103,0.012995
107,0.018328
109,0.00904
112,0.004369
114,0.02296
116,0.021671
117,0.010095
118,0.03219
124,0.00953
126,0.04299
128,0.047833
131,0.004455
132,0.007594
134,0.026363
137,0.040942
139,0.024959
141,0.005244
144,0.011559
146,0.026068
147,0.032426
149,0.083611
151,0.034517
153,0.003923
154,0.033972
156,0.013232
157,0.010864
161,0.014292
163,0.001124
164,0.068037
166,0.013897
168,0.004075
169,0.012823
171,0.005356
172,0.006875
173,0.008325
176,0.048351
179,0.006264
180,0.01267
181,0.008868
183,0.00026
186,0.023588
188,0.002004
189,0.007969
190,0.048473
192,0.046674
195,0.039379
197,0.013245
198,0.028819
199,0.023643
201,0.038503
204,0.016955
206,0.021167
207,0.011037
209,0.005098
212,0.047479
214,0.000652
216,0.005585
217,0.026008
220,0.017932
222,0.00045
225,0.03568
227,0.047578
229,0.016279
232,0.028643
234,0.024245
235,0.005682
238,0.007417
239,0.008076
240,0.033247
243,0.015596
246,0.08171
249,0.002018
251,0.012513
252,0.016751
253,0.006441
255,0.203636
257,0.001045
258,0.025932
260,0.000727
261,0.003944
262,0.003797
264,0.009154
266,0.047839
268,0.001734
270,0.023081
271,0.042526
274,0.003576
275,0.02416
276,0.000509
278,0.006459
279,0.03022
283,0.002619
284,0.011778
286,0.022194
289,0.008956
290,0.043848
292,0.008656
293,0.046482
295,0.016258
298,0.009346
299,0.06741
300,0.135631
303,0.021569
304,0.008257
305,0.025263
308,0.016763
310,0.009954
312,0.065116
316,0.020183
318,0.022869
321,0.024199
324,0.011685
326,0.052196
329,0.020719
330,0.024273
332,0.00805
333,6.2e-05
334,0.00718
337,0.023048
338,0.003344
339,0.026406
342,0.013021
344,0.010207
346,0.000462
347,0.01095
349,0.01814
350,0.229839
353,0.010022
354,0.044254
357,0.00372
358,0.025168
360,0.024197
364,0.027363
365,0.140104
369,0.042442
372,0.010593
373,0.035288
376,0.028811
379,0.024938
380,0.033339
382,0.017665
383,0.00514
384,0.934579
387,0.011932
390,0.003894
393,0.010919
396,0.020914
398,0.005516
399,0.002188
403,0.234198
406,0.021358
411,0.029492
413,0.081918
415,0.026759
418,0.012101
419,0.031423
422,0.019915
425,0.006537
426,0.016149
427,0.001185
430,0.043722
432,7.1e-05
435,0.058643
439,0.033801
440,0.002669
442,0.000173
444,0.009788
446,0.025367
448,0.00135
450,0.0073
452,0.00774
453,0.003932
455,0.029163
461,0.02283
464,0.025496
465,0.038773
468,0.007447
470,0.034783
471,0.010022
474,0.002465
475,0.002482
477,0.008611
478,0.112018
481,0.001592
482,0.040021
486,0.023073
488,0.023749
489,0.002633
491,0.002438
492,0.005956
493,0.008135
495,0.009724
497,0.024475
500,0.00596
504,0.011751
506,0.012658
508,0.023032
511,0.030946
513,0.033835
514,0.020824
516,0.244802
518,0.046027
520,0.033167
523,0.003974
524,0.02354
526,0.054092
531,0.005233
533,0.035664
536,0.005632
537,0.090567
541,0.074351
543,0.00101
545,0.016188
546,0.00718
548,0.044068
552,0.016916
554,0.007146
556,0.002927
557,0.022178
559,0.00787
560,0.003873
563,0.000821
564,0.005131
566,0.043866
567,0.018784
569,0.013616
570,0.007817
572,0.000499
574,0.039749
576,0.00252
577,0.053836
580,0.010571
582,0.043315
585,0.021919
587,0.001915
588,0.016582
590,0.010607
593,0.005922
594,0.014459
595,0.001661
598,0.044706
600,0.027196
604,0.037073
606,0.025157
607,0.123387
609,0.011647
610,0.006496
612,0.004986
614,0.060417
616,0.027691
617,0.002465
619,0.069492
622,0.009015
624,0.028465
626,0.027472
627,0.01275
629,0.005106
630,0.001181
632,0.043459
634,0.036868
638,0.007335
641,0.000878
642,0.000642
643,1.7e-05
644,0.0122
646,0.080377
647,0.019778
650,0.013682
652,0.026171
654,0.013699
655,0.02719
658,0.017678
659,0.008164
660,0.046552
662,0.055293
664,0.033952
665,0.002308
666,0.017707
669,0.007186
670,0.096496
673,0.007491
674,0.053725
676,0.004657
679,0.024498
682,0.007913
683,0.003341
684,0.011405
686,0.013232
687,0.038626
691,0.010919
692,0.006222
693,0.004365
694,0.003975
696,0.011969
698,0.033445
702,0.032428
703,0.001036
704,0.003865
707,0.040185
709,0.002181
711,0.004109
712,0.015263
714,0.172546
716,0.002341
717,0.002721
718,0.011943
719,0.010292
722,0.008095
725,0.037022
727,0.002151
728,0.035137
731,0.040393
733,0.001366
734,0.012584
738,0.018368
739,0.010098
741,0.006558
744,0.019952
746,0.009875
747,0.073716
749,0.006636
750,0.007905
752,0.010294
754,0.020556
757,0.022802
758,0.050086
760,0.014677
761,0.000115
764,0.010758
765,0.162595
769,0.0253
772,0.035368
773,0.002786
775,0.009147
777,0.003269
778,0.060635
780,0.009302
784,0.016154
785,0.024618
787,0.086197
790,0.017261
791,0.004797
794,0.014688
795,0.002641
797,0.061926
799,0.026751
801,0.050626
803,0.066523
806,0.021663
808,0.010522
811,0.038298
813,0.000375
814,0.007471
816,0.006329
818,0.005505
819,0.007685
822,0.02563
823,0.021822
825,0.004261
826,0.125814
830,0.001988
831,0.042401
833,0.001655
836,0.03644
838,0.011864
840,0.053468
844,0.017499
846,0.004159
847,0.002774
848,0.005728
850,0.017615
852,0.019799
854,0.029807
857,0.017316
860,0.013946
862,0.005637
863,0.006779
865,0.006457
866,0.002227
867,0.004222
869,0.144595
872,0.014
873,0.009574
874,0.027646
877,0.039283
882,0.002102
