sequence_number,time_taken_to_correct_ms
2,0.105472
3,0.091904
82,0.012032
95,0.001536
246,0.005632
255,0.112384
300,0.022784
350,0.168704
365,0.017664
384,0.822272
403,0.063488
478,0.05376
516,0.15488
607,0.028672
646,0.009472
714,0.11008
747,0.005632
765,0.080384
826,0.051712
869,0.097792
965,0.307456
982,0.059392
1105,0.036096
1207,0.048384
1234,1.019904
1335,0.034816
1463,0.689408
1526,0.001536
1577,0.122624
1582,0.2176
1637,0.0128
1773,0.022528
1799,0.02048
1814,0.013056
1836,0.015104
1897,0.068864
2013,0.034304
2021,0.002304
2082,0.023296
2122,0.0
2159,0.229888
2191,0.174592
2201,1.488128
2332,0.003328
2389,0.044032
2532,0.040448
2582,0.00256
2629,0.017664
2708,0.00384
2714,0.100096
2751,0.033536
2837,0.01024
2886,0.019968
2901,0.020736
2957,0.003328
3069,0.001024
3113,0.0192
3120,0.03456
3368,0.002304
3375,0.046336
3431,0.008704
3444,0.013568
3476,0.022528
3565,0.013312
3599,0.141312
3636,0.273408
3692,0.036864
3727,0.189952
3749,2.102272
3802,0.00896
3815,0.114688
3844,0.013568
3915,0.063744
3947,0.03072
3964,0.018432
3976,0.128
4038,0.03072
4119,0.026624
4185,0.095232
4256,0.000768
4351,0.012544
4353,0.128768
4397,0.502528
4463,0.102912
4540,0.041984
4577,0.077824
4634,0.134144
4651,0.694784
4758,0.02304
4915,0.019968
4924,0.061184
4962,0.0192
5092,0.0192
5175,0.02176
5176,0.14976
5207,0.233728
5334,0.178176
5533,0.01152
5550,0.010496
5571,0.000512
5576,0.013056
5590,0.180224
5591,0.195072
5621,0.076288
5695,0.00128
5700,0.017408
5727,0.032
5742,0.010752
5776,0.01152
5778,0.015616
5803,0.003072
5841,0.324864
5905,0.011776
5909,0.063744
5954,0.097024
6045,0.01024
6083,0.00512
6170,0.361472
6308,2.591744
6366,0.210944
6387,0.061696
6418,0.039168
6439,0.051968
6513,0.025856
6570,0.036608
6628,0.229888
6656,0.027136
6759,0.005632
6774,0.249344
6806,0.07424
6836,0.021248
6864,0.013312
6981,2.8288
7000,3.969536
7086,0.000512
7097,0.052736
7116,0.10496
