sequence_number,time_taken_to_correct_ms
2,0.105472
255,0.006912
350,0.07296
384,0.728832
965,0.150528
1234,0.863744
1463,0.462336
2201,1.237504
3749,1.753088
4397,0.0128
4651,0.252928
6308,2.168832
6981,2.231296
7000,3.208448
9750,0.417024
10585,1.462016
14769,0.597504
17030,0.750336
18982,0.304384
20502,0.283392
22566,0.18944
23764,0.391424
24964,0.662784
24984,0.173824
25586,0.681984
26165,5.895424
27964,0.603904
28090,11.61344
29765,1.359104
34007,0.268032
35921,0.196864
43581,1.57568
44778,0.795648
50187,0.2944
53824,0.371712
54981,0.076544
57365,7.907584
61582,4.309248
65044,3.469056
75366,3.63392
92764,0.071168
94165,1.166848
97580,2.966784
106069,8.40576
109078,3.937024
111639,8.771072
124491,6.015488
128779,0.12928
135365,3.5776
139120,6.120704
152764,12.570624
154564,3.44064
169581,1.589248
191952,9.465088
195968,2.418688
203783,10.715136
205116,4.968704
206781,15.394304
215795,2.263552
221184,0.372992
237972,7.989248
259591,0.573952
262579,4.359168
277834,0.865792
277863,8.779008
280581,1.747712
281779,0.627968
302776,9.80608
323176,4.780288
339377,1.04832
371775,1.097216
393965,5.724416
395791,1.317632
419785,1.758464
421565,2.333696
431181,1.233664
457825,1.79584
463428,0.847872
478588,1.593856
489978,2.17216
495385,3.37152
500784,8.067584
506765,2.7072
510985,0.69376
512044,996.970496
