sequence_number,time_taken_to_correct_ms
2,0.10539
3,0.091982
10,0.000756
21,0.023102
36,0.008176
46,0.008809
58,0.011165
70,0.005593
82,0.058222
95,0.038298
126,0.015854
128,0.010713
137,0.004078
149,0.036251
164,0.025029
176,0.012767
190,0.018777
192,0.005202
212,0.007287
225,0.006752
227,0.00969
246,0.045102
255,0.159604
290,0.010824
293,0.003474
299,0.023634
300,0.103631
312,0.005212
326,0.007652
339,0.007974
350,0.213967
365,0.07892
380,0.002875
384,0.905395
403,0.151254
430,0.002506
435,0.021523
455,0.004075
461,0.001838
464,0.001176
465,0.023925
470,0.000991
478,0.08309
511,0.005346
516,0.200514
537,0.041671
541,0.012399
566,0.018778
574,0.008261
577,0.016716
582,0.001331
598,0.017058
604,0.002001
607,0.076283
614,0.000769
619,0.005492
646,0.047865
655,0.003894
660,0.000472
670,0.0412
698,0.001957
707,0.010233
714,0.14157
728,0.012609
747,0.040436
758,0.007334
765,0.121891
778,0.010715
787,0.039093
797,0.019942
803,0.001499
823,0.00339
826,0.089206
840,0.006876
852,0.002903
869,0.121555
899,0.024533
902,0.026069
920,0.012543
946,0.013047
948,0.003006
950,0.040755
957,0.052224
965,0.405421
982,0.258093
1005,0.016784
1015,0.002193
1029,0.000846
1031,0.036099
1035,0.00835
1042,0.043096
1044,0.048464
1066,0.055984
1074,0.003959
1087,0.023671
1091,0.005816
1105,0.072027
1162,0.01174
1174,0.004792
1176,0.000228
1180,0.029574
1191,0.02253
1194,0.0388
1207,0.099137
1209,0.018034
1234,1.076865
1275,0.053754
1293,0.016841
1298,0.061147
1310,0.090356
1335,0.105432
1352,0.009321
1385,0.01859
1391,0.003331
1402,0.015153
1407,0.00289
1414,0.00431
1431,0.003249
1442,0.019251
1446,0.046081
1463,0.721746
1498,0.0442
1521,0.00745
1526,0.036883
1564,0.005507
1565,0.002296
1570,0.005994
1577,0.168139
1582,0.348005
1618,0.030876
1629,0.016309
1637,0.077757
1663,0.011179
1667,0.031865
1674,0.041249
1686,0.003333
1688,0.055092
1699,0.067728
1730,0.006959
1746,0.016335
1749,0.033983
1771,0.029959
1773,0.066434
1791,0.018054
1799,0.055067
1814,0.075629
1836,0.048394
1846,0.011813
1862,0.007667
1864,0.007939
1871,0.006908
1897,0.103861
1910,0.00468
1922,0.022235
1927,0.019929
1940,0.004287
1946,0.028718
1948,0.01514
1949,0.020997
1966,0.011723
1973,0.031749
1998,0.004228
2010,0.006369
2013,0.077838
2021,0.068812
2027,0.014029
2074,0.003308
2082,0.061725
2091,0.043002
2101,0.008984
2122,0.033596
2147,0.003691
2159,0.276274
2165,0.110141
2173,0.029559
2180,0.008025
2191,0.283273
2201,1.615556
2246,0.045378
2272,0.002792
2279,0.002769
2285,0.021207
2305,0.015553
2316,0.013896
2324,0.006509
2326,0.004458
2332,0.063136
2351,0.014904
2366,0.016303
2370,0.010962
2378,0.012451
2389,0.08313
2395,0.017802
2428,0.046982
2446,0.005293
2449,0.027539
2464,0.038246
2475,0.022707
2485,0.015899
2532,0.073026
2534,0.004821
2582,0.025901
2588,0.015205
2591,0.014477
2606,0.001227
2608,6e-06
2611,0.002311
2618,0.009962
2621,0.015995
2629,0.058316
2636,0.020423
2646,0.054725
2651,0.037946
2656,0.039899
2679,0.027588
2708,0.045128
2714,0.139757
2716,0.003113
2736,0.014055
2742,0.009632
2749,0.006284
2751,0.077382
2764,0.014213
2765,0.023163
2768,0.072688
2774,0.040379
2782,0.003893
2785,0.070941
2806,0.002598
2837,0.041118
2845,0.003579
2865,0.007909
2886,0.042223
2895,0.021053
2901,0.074801
2927,0.011832
2936,0.003589
2940,0.037447
2957,0.063204
2963,0.041145
2971,0.037966
2981,0.026034
2989,0.009838
2990,0.031216
3000,0.008184
3006,0.023562
3014,0.018751
3050,0.023163
3059,0.048081
3061,0.011382
3069,0.061415
3105,0.024851
3113,0.049921
3120,0.071986
3148,0.035889
3166,0.018073
3173,0.001772
3175,0.022141
3182,0.02356
3208,0.012408
3217,0.045272
3235,0.002116
3263,0.001387
3265,0.007767
3283,0.016676
3286,0.024841
3293,0.000996
3316,0.00705
3322,0.010432
3324,0.000947
3345,0.00779
3352,0.000189
3366,0.040817
3368,0.069351
3375,0.098785
3380,0.034146
3406,0.00664
3413,0.007026
3418,0.00947
3431,0.042892
3444,0.060801
3455,0.00273
3476,0.067179
3492,0.011838
3503,0.005293
3506,0.018058
3517,0.015743
3530,0.012503
3548,0.013805
3556,0.014251
3562,0.000216
3565,0.053303
3580,0.003856
3596,0.022597
3598,0.003676
3599,0.209008
3631,0.00088
3636,0.320344
3666,0.030843
3675,0.000839
3680,0.008949
3692,0.097327
3713,0.021414
3718,0.042106
3726,0.003369
3727,0.263441
3749,2.163571
3784,0.001178
3802,0.042852
3815,0.166778
3844,0.053643
3875,0.01433
3880,0.009359
3882,0.010929
3886,0.007831
3896,0.026035
3904,0.019489
3907,0.037421
3915,0.104922
3947,0.081852
3956,0.013436
3964,0.062377
3965,0.071132
3973,0.01997
3976,0.20357
3986,0.061396
4011,0.037359
4029,0.026191
4038,0.081048
4047,0.031772
4066,0.008405
4071,0.000608
4079,0.02275
4092,0.031817
4099,0.006006
4115,0.00117
4119,0.055913
4125,0.020308
4138,0.012882
4145,0.02368
4166,0.028612
4185,0.125949
4191,0.051464
4219,0.02116
4231,0.019304
4239,0.015102
4254,0.00256
4256,0.05344
4275,0.007039
4286,0.001137
4297,0.002893
4300,0.013109
4313,0.01924
4320,0.015637
4322,0.017351
4351,0.04376
4353,0.181952
4363,0.017979
4366,0.049114
4392,0.000493
4397,0.532247
4415,0.038427
4428,0.03381
4436,0.00224
4437,0.063406
4454,0.009044
4459,0.027054
4463,0.149322
4483,0.033525
4489,0.03953
4512,0.003659
4514,0.010675
4519,0.004967
4526,0.021749
4540,0.068872
4543,0.032898
4554,0.009599
4577,0.148242
4580,0.09173
4581,0.050826
4585,0.015357
4620,0.007164
4625,0.000842
4630,0.012168
4634,0.199136
4651,0.762933
4666,0.047606
4677,0.019862
4694,0.025036
4697,0.014985
4720,0.000392
4726,0.005934
4758,0.053285
4770,0.038486
4782,0.009302
4784,0.049892
4796,0.032057
4822,0.000554
4827,0.013702
4838,0.000376
4841,0.014053
4856,0.013831
4857,0.008412
4860,0.012812
4865,0.006933
4867,0.031739
4887,0.01002
4915,0.061151
4924,0.095809
4935,0.02942
4962,0.053136
4973,0.009981
4997,0.000352
5002,0.006351
5006,0.018248
5015,0.042236
5016,0.0518
5040,0.011941
5054,0.036188
