CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
54.82.58.189;39411;1760886424667801452;1760886424740081148;850011;9
54.82.58.189;39411;1760886424767804822;1760886424840089221;850012;9
54.82.58.189;39411;1760886424867801399;1760886424940095040;850013;9
54.82.58.189;39411;1760886424967812164;1760886425040096768;850014;9
54.82.58.189;39411;1760886425067808629;1760886425140087895;850015;9
54.82.58.189;39411;1760886425167803622;1760886425240168464;850016;9
54.82.58.189;39411;1760886425267803882;1760886425340093681;850017;9
54.82.58.189;39411;1760886425367821355;1760886425440100834;850018;9
54.82.58.189;39411;1760886425467811352;1760886425540139924;850019;9
54.82.58.189;39411;1760886425567809217;1760886425640154448;850020;9
54.82.58.189;39411;1760886425667814958;1760886425740075173;850021;9
54.82.58.189;39411;1760886425767803960;1760886425840058794;850022;9
54.82.58.189;39411;1760886425867800968;1760886425940073702;850023;9
54.82.58.189;39411;1760886425967806169;1760886426040069234;850024;9
54.82.58.189;39411;1760886426067812752;1760886426140125031;850025;9
54.82.58.189;39411;1760886426167816393;1760886426240082430;850026;9
54.82.58.189;39411;1760886426267853034;1760886426340121227;850027;9
54.82.58.189;39411;1760886426367811005;1760886426440128595;850028;9
54.82.58.189;39411;1760886426467799419;1760886426540071966;850029;9
54.82.58.189;39411;1760886426567807723;1760886426640065385;850030;9
54.82.58.189;39411;1760886426667811731;1760886426740079304;850031;9
54.82.58.189;39411;1760886426767808072;1760886426840069420;850032;9
54.82.58.189;39411;1760886426867805689;1760886426940076800;850033;9
54.82.58.189;39411;1760886426967809182;1760886427040113868;850034;9
54.82.58.189;39411;1760886427067802683;1760886427140078565;850035;9
54.82.58.189;39411;1760886427167806074;1760886427240116262;850036;9
54.82.58.189;39411;1760886427267810088;1760886427340073466;850037;9
54.82.58.189;39411;1760886427367802962;1760886427440080203;850038;9
54.82.58.189;39411;1760886427467814167;1760886427540098420;850039;9
54.82.58.189;39411;1760886427567803301;1760886427640067944;850040;9
54.82.58.189;39411;1760886427667808446;1760886427740062794;850041;9
54.82.58.189;39411;1760886427767802724;1760886427840101483;850042;9
54.82.58.189;39411;1760886427867800003;1760886427940162611;850043;9
54.82.58.189;39411;1760886427967801719;1760886428040062877;850044;9
54.82.58.189;39411;1760886428067801944;1760886428140046794;850045;9
54.82.58.189;39411;1760886428167800719;1760886428240070384;850046;9
54.82.58.189;39411;1760886428267805956;1760886428340091918;850047;9
54.82.58.189;39411;1760886428367801667;1760886428440060238;850048;9
54.82.58.189;39411;1760886428467800852;1760886428540062251;850049;9
54.82.58.189;39411;1760886428567804387;1760886428640075392;850050;9
54.82.58.189;39411;1760886428667801287;1760886428740065552;850051;9
54.82.58.189;39411;1760886428767801145;1760886428840058390;850052;9
54.82.58.189;39411;1760886428867808736;1760886428940078747;850053;9
54.82.58.189;39411;1760886428967810941;1760886429040070601;850054;9
54.82.58.189;39411;1760886429067786251;1760886429140064706;850055;9
54.82.58.189;39411;1760886429167810542;1760886429240080796;850056;9
54.82.58.189;39411;1760886429267813816;1760886429340099131;850057;9
54.82.58.189;39411;1760886429367815038;1760886429440087761;850058;9
54.82.58.189;39411;1760886429467808558;1760886429540099975;850059;9
54.82.58.189;39411;1760886429567805799;1760886429640072934;850060;9
54.82.58.189;39411;1760886429667816072;1760886429740077619;850061;9
54.82.58.189;39411;1760886429767808389;1760886429840081720;850062;9
54.82.58.189;39411;1760886429867799792;1760886429940068554;850063;9
54.82.58.189;39411;1760886429967805299;1760886430040077764;850064;9
54.82.58.189;39411;1760886430067816769;1760886430140083122;850065;9
54.82.58.189;39411;1760886430167796871;1760886430240063043;850066;9
54.82.58.189;39411;1760886430267807106;1760886430340087493;850067;9
54.82.58.189;39411;1760886430367819936;1760886430440044173;850068;9
54.82.58.189;39411;1760886430467802418;1760886430540086072;850069;9
54.82.58.189;39411;1760886430567811243;1760886430640075311;850070;9
54.82.58.189;39411;1760886430667806753;1760886430740098449;850071;9
54.82.58.189;39411;1760886430767806904;1760886430840070025;850072;9
54.82.58.189;39411;1760886430867811627;1760886430940066567;850073;9
54.82.58.189;39411;1760886430967817804;1760886431040101942;850074;9
54.82.58.189;39411;1760886431067872253;1760886431140134547;850075;9
54.82.58.189;39411;1760886431167809580;1760886431240087430;850076;9
54.82.58.189;39411;1760886431267804547;1760886431340074302;850077;9
54.82.58.189;39411;1760886431367809649;1760886431440063025;850078;9
54.82.58.189;39411;1760886431467804640;1760886431540076830;850079;9
54.82.58.189;39411;1760886431567814119;1760886431640089191;850080;9
54.82.58.189;39411;1760886431667819567;1760886431740089576;850081;9
54.82.58.189;39411;1760886431767805728;1760886431840063458;850082;9
54.82.58.189;39411;1760886431867811465;1760886431940063325;850083;9
54.82.58.189;39411;1760886431967803266;1760886432040078156;850084;9
54.82.58.189;39411;1760886432067821410;1760886432140080271;850085;9
54.82.58.189;39411;1760886432167813690;1760886432240091734;850086;9
54.82.58.189;39411;1760886432267809382;1760886432340079347;850087;9
54.82.58.189;39411;1760886432367808535;1760886432440081415;850088;9
54.82.58.189;39411;1760886432467807009;1760886432540073106;850089;9
54.82.58.189;39411;1760886432567806574;1760886432640085691;850090;9
54.82.58.189;39411;1760886432667800923;1760886432740095645;850091;9
54.82.58.189;39411;1760886432767818261;1760886432840091648;850092;9
54.82.58.189;39411;1760886432867806934;1760886432940087254;850093;9
54.82.58.189;39411;1760886432967877805;1760886433040181121;850094;9
54.82.58.189;39411;1760886433067819891;1760886433140076090;850095;9
54.82.58.189;39411;1760886433167805835;1760886433240067510;850096;9
54.82.58.189;39411;1760886433267812488;1760886433340088484;850097;9
54.82.58.189;39411;1760886433367802775;1760886433440062032;850098;9
54.82.58.189;39411;1760886433467824520;1760886433540092794;850099;9
54.82.58.189;39411;1760886433567799766;1760886433640112902;850100;9
54.82.58.189;39411;1760886433667810063;1760886433740082716;850101;9
54.82.58.189;39411;1760886433767811198;1760886433840096697;850102;9
54.82.58.189;39411;1760886433867811022;1760886433940069285;850103;9
54.82.58.189;39411;1760886433967803848;1760886434040079733;850104;9
54.82.58.189;39411;1760886434067803775;1760886434140070508;850105;9
54.82.58.189;39411;1760886434167804537;1760886434240073054;850106;9
54.82.58.189;39411;1760886434267806403;1760886434340071349;850107;9
54.82.58.189;39411;1760886434367801573;1760886434440067516;850108;9
54.82.58.189;39411;1760886434467802882;1760886434540077100;850109;9
54.82.58.189;39411;1760886434567801940;1760886434640059159;850110;9
54.82.58.189;39411;1760886434667809662;1760886434740072990;850111;9
54.82.58.189;39411;1760886434767810695;1760886434840078687;850112;9
54.82.58.189;39411;1760886434867808008;1760886434940083863;850113;9
54.82.58.189;39411;1760886434967810166;1760886435040084345;850114;9
54.82.58.189;39411;1760886435067805496;1760886435140075982;850115;9
54.82.58.189;39411;1760886435167804954;1760886435240087212;850116;9
54.82.58.189;39411;1760886435267807971;1760886435340081471;850117;9
54.82.58.189;39411;1760886435367814125;1760886435440090396;850118;9
54.82.58.189;39411;1760886435467802647;1760886435540067715;850119;9
54.82.58.189;39411;1760886435567804302;1760886435640047589;850120;9
54.82.58.189;39411;1760886435667809652;1760886435740087593;850121;9
54.82.58.189;39411;1760886435768606566;1760886435840850283;850122;9
54.82.58.189;39411;1760886435867800273;1760886435940065223;850123;9
54.82.58.189;39411;1760886435967805351;1760886436040091682;850124;9
54.82.58.189;39411;1760886436067800707;1760886436140042402;850125;9
54.82.58.189;39411;1760886436167804693;1760886436240078267;850126;9
54.82.58.189;39411;1760886436267801907;1760886436340073096;850127;9
54.82.58.189;39411;1760886436367814748;1760886436440085182;850128;9
