CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
54.82.58.189;39411;1760801423567827440;1760801423639266651;0;7
54.82.58.189;39411;1760801423667810663;1760801423739148911;1;7
54.82.58.189;39411;1760801423767810534;1760801423839136430;2;7
54.82.58.189;39411;1760801423867809400;1760801423939163470;3;7
54.82.58.189;39411;1760801423967809693;1760801424039157890;4;7
54.82.58.189;39411;1760801424067809028;1760801424139132653;5;7
54.82.58.189;39411;1760801424167806711;1760801424239136373;6;7
54.82.58.189;39411;1760801424267801302;1760801424339133822;7;7
54.82.58.189;39411;1760801424367850594;1760801424439185833;8;7
54.82.58.189;39411;1760801424467794604;1760801424539124619;9;7
54.82.58.189;39411;1760801424567808980;1760801424639204852;10;7
54.82.58.189;39411;1760801424667808132;1760801424739131549;11;7
54.82.58.189;39411;1760801424767806564;1760801424839143639;12;7
54.82.58.189;39411;1760801424867806129;1760801424939163283;13;7
54.82.58.189;39411;1760801424967798882;1760801425039149399;14;7
54.82.58.189;39411;1760801425067825352;1760801425139152539;15;7
54.82.58.189;39411;1760801425167822362;1760801425239155513;16;7
54.82.58.189;39411;1760801425267874039;1760801425339220475;17;7
54.82.58.189;39411;1760801425367808177;1760801425439137877;18;7
54.82.58.189;39411;1760801425467805178;1760801425539145606;19;7
54.82.58.189;39411;1760801425567806528;1760801425639146826;20;7
54.82.58.189;39411;1760801425667812430;1760801425739245886;21;7
54.82.58.189;39411;1760801425767802740;1760801425839138417;22;7
54.82.58.189;39411;1760801425867803788;1760801425939152625;23;7
54.82.58.189;39411;1760801425967815061;1760801426039168413;24;7
54.82.58.189;39411;1760801426067800838;1760801426139147170;25;7
54.82.58.189;39411;1760801426167807807;1760801426239142520;26;7
54.82.58.189;39411;1760801426267810055;1760801426339163511;27;7
54.82.58.189;39411;1760801426367801045;1760801426439131656;28;7
54.82.58.189;39411;1760801426467803729;1760801426539138520;29;7
54.82.58.189;39411;1760801426567808114;1760801426639152568;30;7
54.82.58.189;39411;1760801426667808783;1760801426739142534;31;7
54.82.58.189;39411;1760801426767800101;1760801426839149195;32;7
54.82.58.189;39411;1760801426867800219;1760801426939158436;33;7
54.82.58.189;39411;1760801426967809203;1760801427039158087;34;7
54.82.58.189;39411;1760801427067808598;1760801427139149922;35;7
54.82.58.189;39411;1760801427167818043;1760801427239204336;36;7
54.82.58.189;39411;1760801427267812391;1760801427339144911;37;7
54.82.58.189;39411;1760801427367806907;1760801427439167836;38;7
54.82.58.189;39411;1760801427467805546;1760801427539173758;39;7
54.82.58.189;39411;1760801427567803974;1760801427639151534;40;7
54.82.58.189;39411;1760801427667810618;1760801427739145619;41;7
54.82.58.189;39411;1760801427767809236;1760801427839143979;42;7
54.82.58.189;39411;1760801427867796022;1760801427939150056;43;7
54.82.58.189;39411;1760801427967810743;1760801428039154220;44;7
54.82.58.189;39411;1760801428067800847;1760801428139129629;45;7
54.82.58.189;39411;1760801428167806797;1760801428239175785;46;7
54.82.58.189;39411;1760801428267810465;1760801428339137963;47;7
54.82.58.189;39411;1760801428367802974;1760801428439158413;48;7
54.82.58.189;39411;1760801428467805313;1760801428539145023;49;7
54.82.58.189;39411;1760801428567805435;1760801428639136563;50;7
54.82.58.189;39411;1760801428667804727;1760801428739160464;51;7
54.82.58.189;39411;1760801428767810634;1760801428839164921;52;7
54.82.58.189;39411;1760801428867814169;1760801428939174731;53;7
54.82.58.189;39411;1760801428967822780;1760801429039183965;54;7
54.82.58.189;39411;1760801429067801189;1760801429139159515;55;7
54.82.58.189;39411;1760801429167802039;1760801429239161541;56;7
54.82.58.189;39411;1760801429267803441;1760801429339152904;57;7
54.82.58.189;39411;1760801429367814481;1760801429439196317;58;7
54.82.58.189;39411;1760801429467806165;1760801429539149080;59;7
54.82.58.189;39411;1760801429567810363;1760801429639164927;60;7
54.82.58.189;39411;1760801429667792008;1760801429739144610;61;7
54.82.58.189;39411;1760801429767805534;1760801429839150471;62;7
54.82.58.189;39411;1760801429867803062;1760801429939136576;63;7
54.82.58.189;39411;1760801429967807010;1760801430039166037;64;7
54.82.58.189;39411;1760801430067810577;1760801430139165519;65;7
54.82.58.189;39411;1760801430167794410;1760801430239132615;66;7
54.82.58.189;39411;1760801430267812371;1760801430339155400;67;7
54.82.58.189;39411;1760801430367804613;1760801430439134245;68;7
54.82.58.189;39411;1760801430467803752;1760801430539139992;69;7
54.82.58.189;39411;1760801430567845607;1760801430639183577;70;7
54.82.58.189;39411;1760801430667809388;1760801430739142895;71;7
54.82.58.189;39411;1760801430767816234;1760801430839178400;72;7
54.82.58.189;39411;1760801430867800497;1760801430939141543;73;7
54.82.58.189;39411;1760801430967799708;1760801431039146952;74;7
54.82.58.189;39411;1760801431067801586;1760801431139156043;75;7
54.82.58.189;39411;1760801431167806725;1760801431239143847;76;7
54.82.58.189;39411;1760801431267791166;1760801431339127607;77;7
54.82.58.189;39411;1760801431367811150;1760801431439157159;78;7
54.82.58.189;39411;1760801431467804481;1760801431539148984;79;7
54.82.58.189;39411;1760801431567801740;1760801431639153448;80;7
54.82.58.189;39411;1760801431667763987;1760801431739099247;81;7
54.82.58.189;39411;1760801431767794423;1760801431839198318;82;7
54.82.58.189;39411;1760801431867811646;1760801431939171767;83;7
54.82.58.189;39411;1760801431967810858;1760801432039163557;84;7
54.82.58.189;39411;1760801432067817820;1760801432139146837;85;7
54.82.58.189;39411;1760801432167805729;1760801432239149108;86;7
54.82.58.189;39411;1760801432267800494;1760801432339136184;87;7
54.82.58.189;39411;1760801432367808588;1760801432439153356;88;7
54.82.58.189;39411;1760801432467807243;1760801432539179723;89;7
54.82.58.189;39411;1760801432567811319;1760801432639155700;90;7
54.82.58.189;39411;1760801432667810133;1760801432739151394;91;7
54.82.58.189;39411;1760801432767816082;1760801432839155570;92;7
54.82.58.189;39411;1760801432867792575;1760801432939149732;93;7
54.82.58.189;39411;1760801432967804819;1760801433039162217;94;7
54.82.58.189;39411;1760801433067852380;1760801433139238042;95;7
54.82.58.189;39411;1760801433167805545;1760801433239157095;96;7
54.82.58.189;39411;1760801433267804637;1760801433339146707;97;7
54.82.58.189;39411;1760801433367802254;1760801433439149774;98;7
54.82.58.189;39411;1760801433467807132;1760801433539145354;99;7
54.82.58.189;39411;1760801433567806309;1760801433639157232;100;7
54.82.58.189;39411;1760801433667801921;1760801433739150869;101;7
