sequence_number,time_to_detect_ms
180041,100.126208
507051,100.08192
318103,100.07168
587107,100.068864
190546,100.069376
655810,100.05248
430620,100.075264
390113,100.076032
628886,100.0832
73029,100.058368
521496,100.088064
846842,100.064512
392094,100.064
730334,100.062464
461745,100.080128
769638,100.076544
178727,100.060928
9388,100.096512
853962,100.091648
508631,100.23296
534292,100.078592
31100,100.120576
222043,100.064
349863,100.139264
414679,100.072704
203061,100.083968
326401,100.145664
136939,100.155392
370229,100.115968
220735,100.09856
