sequence_number,time_to_detect_ms
180041,102.401792
507051,102.696192
318103,103.600896
587107,102.700032
190546,102.350336
655810,102.640128
430620,103.149568
390113,103.593984
628886,103.379456
73029,101.984512
521496,103.266304
846842,102.325248
392094,103.581952
730334,102.2784
461745,103.035904
769638,101.996032
178727,102.336512
9388,100.918784
853962,102.126848
508631,102.847232
534292,103.337472
31100,101.101568
222043,103.168
349863,103.113472
414679,102.290432
203061,102.726656
326401,103.63904
136939,102.354944
370229,103.911168
220735,103.20256
