sequence_number,time_taken_to_correct_ms
2,0.073835
4,0.005769
8,0.046533
10,0.067336
15,0.010324
17,0.070893
19,0.034143
21,0.013181
24,0.004691
26,0.007586
28,0.022801
31,0.038183
33,0.017688
36,0.00466
39,0.093868
41,0.003533
44,0.055098
46,0.028506
47,0.000598
50,0.018702
52,0.010801
54,0.009139
57,0.006732
58,0.009867
60,0.082307
62,0.001168
64,0.03054
67,0.003394
69,0.00311
70,0.047908
73,0.05835
76,0.010751
78,0.017486
80,0.001529
82,0.021439
83,0.017914
84,0.03376
88,0.014066
92,0.019015
94,0.021459
95,0.036337
96,0.030055
98,0.005495
100,0.071563
102,0.002138
103,0.013113
105,0.003338
107,0.022959
110,0.010084
112,0.000836
114,0.015864
116,0.02506
124,0.072448
126,0.009331
130,0.023135
133,0.01167
134,0.009113
136,0.030679
137,0.006977
139,0.015879
141,0.001842
146,0.000625
147,0.021397
148,0.008658
150,0.000596
151,0.041829
154,0.04436
157,0.036063
160,0.0071
162,0.022506
164,0.062637
166,0.001752
167,0.007158
169,0.013214
171,0.013291
173,0.014765
175,0.017582
176,0.024897
179,0.015798
181,0.003325
182,0.015282
184,0.000762
185,0.012873
188,0.038133
191,0.016715
192,0.000635
194,0.025392
195,0.008133
197,0.005865
199,0.0029
201,0.008908
202,0.011588
205,0.007332
206,0.011944
209,0.020055
211,0.019597
212,0.038761
214,0.015233
215,0.013444
217,0.048665
220,0.004274
221,0.007108
224,0.021753
228,0.032956
229,0.008392
232,0.022521
234,0.00014
235,0.008144
236,0.009995
238,0.086211
242,0.009247
243,0.001129
245,0.001093
246,0.025875
247,0.002565
249,0.017327
252,0.045427
254,0.006074
256,0.004117
257,0.028218
261,0.022676
262,0.003542
263,0.005447
264,0.070371
266,0.040466
268,0.000983
269,0.016142
270,0.031488
273,0.00075
275,0.005199
276,0.010344
277,0.073541
279,0.002324
280,0.001787
282,0.004336
283,0.008285
284,0.005979
286,0.006978
289,0.008441
290,0.011139
291,0.003844
294,0.003998
295,0.011598
297,0.030105
302,0.002146
303,0.013044
304,0.003346
305,0.020241
308,0.022665
310,0.019137
314,0.024799
318,0.00821
319,0.006011
320,0.001637
321,0.009818
324,0.004492
325,0.003209
326,0.000874
327,0.000275
329,0.020999
330,0.011802
332,0.001705
333,0.012527
334,0.001979
335,0.006779
338,0.00195
339,0.006268
341,0.019558
343,0.012089
344,0.000637
345,0.016996
349,0.016938
351,0.012804
353,0.004502
354,0.05614
356,0.002433
357,0.002584
358,0.014439
359,0.02715
363,0.010513
364,4.57142
367,0.010889
370,0.015117
372,0.002903
374,0.031202
376,0.005086
377,0.27698
380,0.075079
383,0.012175
384,0.947277
387,0.022299
390,0.004371
391,0.094951
393,0.000483
394,0.005182
396,0.026177
397,0.010082
400,0.002175
402,0.011778
403,0.00639
406,0.012871
409,0.008249
411,0.021667
412,0.007931
414,0.014424
416,0.033677
418,0.009523
420,0.021361
421,0.020504
424,0.03402
426,0.008081
427,0.004738
430,0.031472
432,0.005881
434,0.006895
436,0.01601
438,0.009348
441,0.02902
442,0.010097
444,0.005351
446,0.029824
448,0.002958
450,0.009958
452,0.027707
453,0.024817
455,0.058736
458,0.026031
460,0.023077
461,0.030213
463,0.019594
465,0.015152
469,0.003204
470,0.029358
473,0.001788
474,0.002878
477,0.014754
478,0.000422
481,0.035798
482,0.000573
484,0.022986
486,0.030531
489,0.02713
491,0.002668
492,0.000827
495,0.008712
497,0.008701
498,0.017755
501,0.016106
502,0.00173
505,0.009031
508,0.027678
513,0.012764
514,0.009031
516,0.270135
518,0.013041
520,0.021222
523,0.043308
526,0.032625
528,0.007157
529,0.009672
531,0.001493
533,0.004803
534,0.002104
536,0.000915
537,0.010999
538,0.01843
541,0.01454
545,0.01603
551,0.022162
553,0.001537
554,0.014464
556,0.00118
559,0.00274
560,0.051466
563,0.011888
567,0.000402
568,0.026877
574,0.006269
575,0.012527
576,0.005412
579,0.042349
582,0.007575
584,0.006855
586,0.003693
587,0.023361
589,0.001458
590,0.014251
592,0.000632
593,0.010608
594,0.060748
598,0.012163
600,0.014521
602,0.00686
603,0.001421
604,0.021047
606,0.026861
607,0.002188
609,0.004023
611,0.024911
612,0.000858
614,0.044705
615,0.008438
617,0.022411
619,0.022218
620,0.02057
622,0.015252
624,0.005333
626,0.050626
627,0.001062
629,0.001855
632,0.039967
634,0.009609
636,0.01401
638,0.011722
639,0.022119
643,0.019961
645,0.025275
646,0.0256
648,0.002244
650,0.003624
651,0.013416
652,0.005275
655,0.001858
656,0.002548
658,0.083969
664,0.068187
666,0.036694
668,0.015465
670,0.085853
673,0.016225
678,0.006559
679,0.002478
681,0.001872
682,0.020067
683,0.009648
685,0.013365
687,0.016418
690,0.047443
693,0.040636
695,0.009923
698,0.031648
700,0.008649
702,0.021465
703,0.018525
705,0.002851
706,0.015809
707,0.000334
709,0.000949
713,0.022683
715,0.012823
719,0.027577
720,0.001058
721,0.005279
723,8.2e-05
725,0.016929
726,0.020255
730,0.010169
732,0.015641
735,0.010424
736,0.000264
738,0.021096
741,0.002927
742,0.00654
744,0.01518
746,0.017545
747,0.030163
749,0.014556
750,0.014425
752,0.029283
754,0.012235
756,0.002286
757,0.003675
758,0.015341
759,0.05686
761,0.004025
763,0.01143
764,0.011552
765,0.000184
768,0.014191
773,0.003236
774,0.008206
776,0.004136
778,0.01073
780,0.02265
782,0.00306
784,0.015777
785,0.023252
787,0.004349
790,0.018684
791,0.011717
793,0.005463
794,0.004865
795,0.071339
797,0.002607
800,0.011429
801,0.006361
803,0.007576
804,0.01022
809,0.036892
811,0.023767
813,0.021626
815,0.022724
819,0.006662
821,0.000604
822,0.01312
825,0.004975
826,0.131449
828,0.007283
830,0.005582
831,0.041383
834,0.01092
836,0.042061
837,0.055676
843,0.007843
844,0.004598
845,0.007741
847,0.014962
848,0.006879
850,0.008805
852,0.020951
854,0.055893
857,0.037613
860,0.002486
861,0.010909
864,0.032691
867,0.009185
868,0.000115
869,0.152382
872,0.021709
873,0.004597
875,0.010661
877,0.026683
878,0.001116
882,0.003781
884,0.027553
886,0.007833
888,0.033878
891,0.01043
893,0.003969
894,0.01972
896,0.04579
898,0.007203
899,0.051427
901,0.019184
902,0.004082
905,0.011312
906,0.019634
908,0.001276
910,0.018744
912,0.013311
914,0.013155
916,0.006424
918,0.010816
920,0.025556
924,0.015545
926,0.001819
928,0.004845
929,0.079823
932,0.018413
933,0.003042
934,0.007561
935,0.027541
937,0.003225
940,0.005675
941,0.00523
942,0.005456
946,0.002655
947,0.014506
949,0.013631
951,0.005076
953,0.002764
954,0.015667
956,0.00292
958,0.017444
960,0.011887
961,0.021076
964,0.330175
969,0.002708
970,0.01791
973,0.011267
974,0.052483
976,0.094377
978,0.056985
982,0.402069
984,0.0066
986,0.070281
989,0.018973
992,0.008223
993,0.00295
995,0.010161
997,0.002547
998,0.007986
1000,0.018515
1002,0.0384
1005,0.012292
1007,0.00705
1009,0.000916
1010,0.012467
1014,0.020373
1015,0.009719
1017,0.008784
1022,0.008852
1023,0.00163
1024,0.001087
1026,0.02172
1028,0.006651
1029,0.02427
1031,0.006247
1033,0.008545
1035,0.012645
1036,0.050818
1038,0.019017
1039,0.005876
1040,0.014011
1042,0.011028
1043,0.02233
1046,0.006702
1047,0.018516
1051,0.012442
1052,0.023777
1053,0.015358
1056,0.00964
1059,0.005063
1060,0.014753
1062,0.040714
1063,0.051046
1065,0.021447
1067,0.011814
1069,0.004318
1070,0.004843
1072,0.018364
1074,0.018749
1077,0.005895
