sequence_number,time_taken_to_correct_ms
2,0.073835
3,0.032558
4,0.058249
39,0.019884
60,0.009859
124,0.032768
238,0.024259
264,0.002275
354,0.009292
364,4.496412
384,0.177485
516,0.225079
560,0.015626
594,0.00878
658,0.033537
664,0.000603
795,0.019115
826,0.084857
869,0.083774
929,0.034767
964,0.274623
982,0.227221
1099,0.089489
1157,0.012194
1187,0.025102
1234,0.995312
1264,0.07194
1276,0.302663
1315,0.002739
1360,0.000377
1411,0.002249
1504,0.002605
1526,0.005779
1548,0.025078
1564,0.024725
1577,0.103329
1582,0.246596
1667,0.02351
1684,0.022453
1689,0.011431
1699,0.056467
1803,0.007155
2013,0.033773
2063,0.03312
2122,0.012778
2164,0.015808
2165,0.032985
2180,0.010795
2191,0.12013
2201,1.598987
2246,0.012201
2314,0.006001
2369,0.154935
2482,0.003368
2561,0.014148
2582,0.002887
2751,0.017928
2785,0.014128
2848,0.050636
2957,0.023058
3006,0.010508
3016,0.01581
3054,0.03261
3120,0.018148
3157,0.010987
3185,0.001839
3352,0.008981
3364,0.031556
3368,0.009781
3382,0.002126
3456,0.171204
3506,0.011822
3692,0.071427
3716,0.038264
3748,0.049245
3749,1.988836
3802,0.018352
3815,0.169436
3860,0.007011
3915,0.008294
3964,0.028876
3965,0.073234
3976,0.117272
4000,0.046984
4004,0.051931
4038,0.017237
4111,0.008363
4119,0.012654
4145,0.004201
4201,0.008907
4353,0.156304
4411,0.023438
4425,0.020874
4437,0.066475
4445,0.001439
4467,0.048657
4489,0.02121
4517,0.010193
4543,0.045051
4577,0.061998
4580,0.021139
4651,0.032666
4666,0.022014
4694,0.028468
4722,0.027084
4758,0.031936
4766,0.011735
4770,0.014702
4827,0.005571
4864,0.112043
4877,0.000452
4924,0.004598
5040,0.054951
5092,0.032942
5139,0.021001
5175,0.00962
5176,0.142169
5207,0.202666
5256,0.040627
5305,0.534702
5334,0.198006
5464,0.004986
5479,0.049937
5514,0.044768
5550,0.000272
5558,0.031129
5621,0.028742
5700,0.082836
5764,2.867977
5799,0.015111
5909,0.212674
5950,0.035694
5954,0.212549
5982,0.056624
6030,0.009668
6045,0.001181
6064,0.238462
6106,0.022505
6160,0.125778
6170,0.346664
6227,0.032325
6325,0.036701
6355,0.242235
6387,0.057749
6418,0.04013
6451,0.016259
6488,0.003888
6625,0.000797
6640,0.692524
6662,0.01427
6751,0.035852
6769,0.027212
6781,0.053491
6827,0.117771
6864,0.016201
6915,0.010749
6964,0.028198
6966,0.001564
6993,0.054144
7012,0.060243
7014,0.127169
7220,0.036541
7260,0.014641
7347,0.010541
7457,0.0443
7523,0.00057
7537,0.021857
7564,0.100636
7738,0.064301
7762,0.044988
7795,0.002166
7844,0.253498
7870,0.048881
7909,0.054566
7986,0.009614
8059,0.000966
8114,0.055338
8149,0.02234
8164,0.162055
8179,0.057856
8198,0.050028
8395,0.016164
8456,0.026112
8473,0.107836
8538,0.003647
8562,0.007856
8650,0.026869
8698,0.013617
8709,0.03449
8758,0.013535
8764,1.763191
8846,0.001731
8934,0.08599
9010,0.009517
9033,0.071223
9072,0.029238
9127,0.010171
9226,0.023469
9236,0.274935
9277,0.022171
9296,0.019263
9320,0.028099
9364,0.129895
9403,0.167638
9413,0.18842
9464,0.033687
9468,0.009648
9489,0.006549
9535,0.017705
9557,0.040609
9581,0.090594
9610,0.012591
9625,0.104776
9700,0.021131
9725,0.032448
9815,0.015741
9871,0.013059
9901,0.670106
9976,0.031683
9986,0.723626
10052,0.011003
10108,0.03113
10316,0.001021
10342,0.083818
10390,0.027401
10474,0.057188
10530,0.026209
10542,0.800451
10580,0.102021
10643,0.005298
