sequence_number,time_taken_to_correct_ms
2,0.073835
364,4.422684
1234,0.48664
2201,1.092619
3749,1.423844
5764,2.216969
8764,0.955767
14164,0.513428
14769,0.805553
17786,0.143194
21364,2.334835
22566,0.05627
23764,0.843083
24979,1.900811
25564,0.058173
25586,0.06968
26186,0.07877
27364,0.998905
28564,2.712974
28587,1.540904
32164,0.780282
33364,3.540756
33395,0.118287
34007,1.209589
34564,0.273585
36979,0.550766
37564,0.003017
37583,0.064718
38187,0.16294
39906,0.017495
39964,1.301505
41164,1.337771
41783,4.526689
42964,4.392987
43564,0.909496
44778,0.789156
47164,0.958639
48364,1.556204
48398,0.52992
48964,1.639761
49564,1.507191
50187,0.882038
51964,1.924309
52564,0.741531
53164,2.387614
54964,1.452381
57365,7.527392
60964,3.096176
63379,0.6688
67564,1.476081
77764,1.91677
80164,0.288764
81964,0.737749
82564,0.161786
83164,0.687741
86164,8.243733
92164,0.318435
93364,5.586072
93460,5.973565
94165,0.680889
95164,6.020542
96364,3.006102
99364,2.111714
100587,2.790203
104764,2.404587
108364,3.912869
111364,1.966369
113164,1.391539
116164,0.903494
118564,0.918099
120364,4.325306
122764,0.028453
123964,1.500001
128779,1.96736
129380,0.298309
131321,0.01125
134780,0.496861
135365,5.126473
135964,4.033206
137764,0.597221
140764,1.299328
142564,3.606655
143164,3.31429
144964,2.908659
149164,2.820867
149764,1.812285
152164,1.042861
152764,1.022872
156364,0.494686
158764,2.304042
161164,0.628197
162964,3.879167
163577,1.156463
167764,4.165555
169581,3.903584
172564,3.309102
174364,0.874431
182764,0.038753
183964,0.076136
185164,4.620612
186364,1.319358
186964,6.351707
187564,0.488692
197164,5.038424
201964,3.41685
203783,12.532866
204364,0.160645
212764,1.103801
215795,6.844776
217583,1.065533
219364,2.182958
224164,8.218254
231964,0.229507
232564,2.218448
234964,3.97486
237985,10.120027
241564,0.734342
246364,0.108988
251764,2.653139
252964,0.832084
254764,0.519509
259564,0.890273
259591,3.303123
259963,2.262011
262564,0.792277
263764,2.275626
265564,0.541682
267964,1.984442
270364,0.353017
271564,1.43587
275164,0.117403
277564,1.635617
278164,6.731717
278780,2.524613
279964,4.874975
281779,3.298025
282364,1.463348
285964,2.31195
288364,2.057897
291364,0.125777
293164,2.647066
293764,3.555386
296164,2.112931
301564,7.183083
302764,0.665231
302776,10.526927
309364,0.11452
311764,7.572004
320777,3.170569
330964,0.36319
339377,2.92134
340564,1.958869
349577,2.42841
350164,3.874168
350764,2.080103
351364,0.289906
351964,6.849134
356764,0.167829
357964,3.770449
359764,6.431142
360964,10.443862
362164,2.101384
371764,4.910424
376564,1.646222
381364,5.091305
381964,4.744122
384385,2.475065
387364,1.247977
393364,2.784301
393965,5.318842
404764,0.969013
406564,0.043709
406582,0.391572
407164,4.25305
407764,0.535414
411364,0.218254
413764,0.276526
416164,0.787038
416764,6.735762
417364,2.748017
419785,3.146955
420364,0.101834
421565,3.641386
422764,8.283232
431181,1.602722
431781,2.749795
433564,5.241454
434764,2.632009
440764,1.542374
446164,2.359396
447364,2.90593
450964,0.151434
451564,3.506106
452764,6.440273
456364,2.605758
456964,5.510864
457564,0.087793
470764,4.527329
472564,1.996777
473764,5.07
474964,1.092929
475564,2.918222
479764,0.06528
481564,0.329909
483364,0.669402
483964,1.334431
486364,3.688862
