sequence_number,time_taken_to_correct_ms
2,0.073904
3,0.032558
4,0.058249
10,0.011784
17,0.029933
39,0.05982
60,0.048003
70,0.008484
73,0.014318
96,0.007783
100,0.023435
124,0.05376
151,0.018021
154,0.012104
164,0.020397
176,0.005697
188,0.009461
212,0.007273
217,0.006937
228,0.001212
238,0.055747
252,0.013683
264,0.036323
277,0.033093
297,0.003225
329,0.003079
354,0.032844
359,0.008462
364,4.534812
384,0.566605
453,0.006897
455,0.039536
481,0.01199
486,0.014915
508,0.008222
516,0.248119
538,0.00051
551,0.003474
560,0.034058
568,0.004861
579,0.021869
587,0.001089
594,0.034892
614,0.014241
626,0.010946
632,0.005663
646,0.005888
658,0.059649
664,0.034907
670,0.033629
690,0.016211
693,0.002236
719,0.003001
738,0.000616
744,0.005964
746,0.007049
747,0.017363
752,0.012131
759,0.039196
780,0.002938
795,0.058283
809,0.01206
826,0.108409
831,0.013991
837,0.025724
854,0.020565
869,0.11859
894,0.004104
896,0.010462
899,0.030179
929,0.057551
935,0.006549
964,0.303039
976,0.010409
982,0.315797
1026,0.001496
1029,0.00123
1036,0.037762
1062,0.01153
1063,0.03031
1078,0.017756
1091,0.003719
1097,0.000982
1099,0.126097
1105,0.044212
1134,0.001925
1157,0.049314
1161,0.006041
1187,0.056846
1195,0.012987
1206,0.003878
1217,0.005494
1219,0.019205
1234,1.023728
1264,0.120068
1276,0.365383
1298,0.019901
1315,0.044467
1341,0.017767
1354,0.001035
1360,0.026233
1381,8.8e-05
1386,0.00291
1405,0.001678
1410,0.010848
1411,0.028105
1417,0.00654
1422,0.0125
1446,0.000366
1460,0.002302
1473,0.005988
1488,0.000369
1504,0.023341
1526,0.037267
1548,0.065526
1564,0.050069
1577,0.151969
1582,0.32442
1612,0.019286
1619,0.007974
1628,0.000711
1646,0.003293
1654,0.000762
1656,0.001357
1667,0.047574
1684,0.052661
1689,0.057511
1699,0.097683
1719,0.003278
1741,0.000165
1746,0.005769
1764,0.005654
1780,0.000822
1786,0.0005
1799,0.004438
1803,0.022259
1804,0.014115
1806,0.016862
1809,0.002731
1834,0.013745
1841,0.002022
1862,0.005639
1864,0.002018
1870,0.02339
1914,0.013641
1922,0.001668
1934,0.014562
1936,0.003695
1950,0.014634
1964,0.000472
1966,0.007271
1972,0.003829
1973,0.015982
1975,0.011988
1978,0.005506
1991,0.001761
2010,0.009618
2013,0.077805
2017,0.015366
2021,0.005041
2036,0.013627
2063,0.060768
2070,0.003122
2082,0.018401
2109,0.001545
2116,0.032274
2122,0.041706
2136,0.006431
2163,0.004298
2164,0.051136
2165,0.083417
2180,0.061483
2183,0.058929
2191,0.252482
2201,1.722635
2246,0.055209
2254,0.005938
2285,0.033073
2286,0.023797
2308,0.011446
2314,0.028785
2317,0.008048
2342,0.002453
2352,0.01448
2354,0.003777
2369,0.197431
2422,0.003263
2425,0.003942
2442,0.015174
2452,0.002511
2464,0.013144
2482,0.0218
2492,0.002114
2499,0.01192
2518,0.009313
2522,0.00646
2525,0.000573
2532,0.02839
2536,0.022369
2541,0.009984
2542,0.043873
2561,0.08506
2582,0.037447
2594,0.021794
2605,0.019787
2613,0.010755
2647,0.005295
2650,0.023129
2661,0.023306
2664,0.046718
2689,0.024261
2709,0.010557
2731,0.006427
2747,0.000434
2749,0.004547
2751,0.051976
2764,0.033038
2776,0.027078
2780,0.039492
2782,0.039125
2785,0.122672
2789,0.015711
2807,0.009162
2834,0.008383
2848,0.083148
2861,0.004865
2863,0.009404
2874,0.025374
2877,0.003899
2880,0.027533
2918,0.042639
2954,0.014545
2957,0.070674
2973,0.039492
2981,0.050749
2993,0.001524
3006,0.039692
3016,0.056514
3049,0.018255
3054,0.077154
3064,0.001947
3075,0.003873
3086,0.000547
3102,0.000798
3103,0.014696
3106,0.007793
3115,0.00515
3120,0.056548
3139,0.003636
3157,0.047851
3164,0.002679
3173,0.01716
3175,0.045176
3185,0.036143
3194,0.003547
3215,0.004651
3232,0.014804
3253,0.002758
3267,0.006465
3280,0.000522
3295,0.002096
3300,0.013165
3315,0.006891
3329,0.00385
3335,0.021055
3352,0.026389
3354,0.000829
3364,0.072516
3368,0.058933
3382,0.06843
3386,0.023525
3402,0.021836
3410,0.054115
3413,0.052871
3442,0.006885
3454,0.010988
3456,0.206788
3504,8.8e-05
3506,0.024622
3517,0.010942
3536,0.009537
3544,0.010913
3550,0.018768
3571,0.008845
3581,0.003547
3596,0.022037
3598,0.022173
3615,0.01243
3619,0.045579
3621,0.00301
3662,0.003577
3664,0.015558
3665,0.021987
3692,0.093955
3701,0.00767
3716,0.075384
3718,0.017856
3736,0.005702
3748,0.087133
3749,2.052836
3802,0.065456
3815,0.217052
3817,0.104908
3828,0.075984
3853,0.012379
3860,0.034147
3863,0.034932
3875,0.053532
3904,0.004874
3907,0.033489
3915,0.093798
3942,0.031647
3957,0.007453
3964,0.061132
3965,0.144402
3976,0.190488
4000,0.108936
4004,0.146907
4032,0.002842
4038,0.061525
4066,0.00538
4095,0.011289
4097,0.009864
4111,0.029099
4119,0.04363
4139,0.016222
4145,0.030313
4156,0.040283
4166,0.017186
4196,0.005422
4201,0.029899
4230,0.006426
4236,0.002572
4245,0.010761
4252,0.004238
4255,0.011495
4259,0.010534
4264,0.024429
4268,0.0335
4302,0.009222
4318,0.01811
4337,0.008216
4348,0.017192
4353,0.189072
4363,0.032878
4366,0.048594
4397,0.005952
4401,0.001189
4406,0.003315
4411,0.066702
4425,0.048266
4428,0.036809
4437,0.107179
4445,0.059551
4467,0.094481
4489,0.065498
4517,0.031953
4530,0.011832
4532,0.011392
4539,0.002358
4543,0.070139
4548,0.007381
4564,0.026813
4577,0.109102
4580,0.093075
4585,0.075352
4635,0.029237
4651,0.059546
4664,0.041747
4666,0.087038
4679,0.007946
4694,0.05842
4717,0.003145
4720,0.007815
4722,0.064972
4758,0.053952
4766,0.041687
4770,0.060526
4790,0.008237
4827,0.029123
4838,0.004783
4846,0.0097
4857,0.007899
4864,0.137643
4877,0.052676
4896,0.00699
4923,0.007215
4924,0.048118
4940,0.008111
4943,0.000907
4956,0.01765
4971,0.000532
4987,0.00574
4993,0.014689
5013,0.002266
5015,0.026473
5040,0.077223
5069,0.000275
5075,0.007755
5092,0.054446
5106,0.016451
5108,0.000629
5120,0.001907
5139,0.039945
5155,0.01696
5164,0.035384
5166,0.053169
5175,0.051348
5176,0.226649
5207,0.248746
5241,0.008042
5248,0.001327
5250,0.031755
5256,0.086707
5273,0.042507
5287,0.017421
5294,0.050134
5305,0.57899
5334,0.23359
5348,0.011258
5378,0.017925
5380,0.018216
5389,0.007226
5393,0.011591
5416,0.008762
5421,0.003009
5439,0.005915
5461,0.014509
5464,0.03801
5472,0.002418
5479,0.078865
5510,0.005172
5514,0.069088
5516,0.039516
5527,0.013678
5533,9.5e-05
5544,0.013208
5550,0.031248
5558,0.088729
5564,0.054567
5575,0.011355
5576,0.021638
5600,0.00181
5609,0.004029
5618,0.002146
5621,0.048454
5626,0.002761
5627,0.067743
5646,0.03804
5649,0.025327
5678,0.020558
5695,0.027681
5700,0.11842
5730,0.00477
5740,0.000839
5742,0.012182
5745,0.013746
5746,0.00406
5764,2.897673
5799,0.121863
5826,0.047665
5848,0.026092
5852,0.007498
5864,0.038202
5889,0.002832
5891,0.028282
5909,0.246978
5925,0.028711
5950,0.065646
5954,0.252485
5972,0.014422
5982,0.12856
5990,0.026539
6004,0.004617
6030,0.029124
6045,0.028829
6057,0.003056
