CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
54.82.58.189;39411;1760811423567803902;1760811423604703181;100000;7
54.82.58.189;39411;1760811423667806599;1760811423704715635;100001;7
54.82.58.189;39411;1760811423767800406;1760811423804696502;100002;7
54.82.58.189;39411;1760811423867801213;1760811423904687620;100003;7
54.82.58.189;39411;1760811423967807229;1760811424004701903;100004;7
54.82.58.189;39411;1760811424067803159;1760811424104709558;100005;7
54.82.58.189;39411;1760811424167800813;1760811424204708489;100006;7
54.82.58.189;39411;1760811424267817931;1760811424304722910;100007;7
54.82.58.189;39411;1760811424367813381;1760811424404709419;100008;7
54.82.58.189;39411;1760811424467800166;1760811424504700681;100009;7
54.82.58.189;39411;1760811424567810465;1760811424604708767;100010;7
54.82.58.189;39411;1760811424667809326;1760811424704721462;100011;7
54.82.58.189;39411;1760811424767812990;1760811424804709692;100012;7
54.82.58.189;39411;1760811424867803587;1760811424904703212;100013;7
54.82.58.189;39411;1760811424967802760;1760811425004709067;100014;7
54.82.58.189;39411;1760811425067803919;1760811425104702812;100015;7
54.82.58.189;39411;1760811425167808864;1760811425204707919;100016;7
54.82.58.189;39411;1760811425267831280;1760811425304734792;100017;7
54.82.58.189;39411;1760811425367808093;1760811425404712244;100018;7
54.82.58.189;39411;1760811425467800679;1760811425504704891;100019;7
54.82.58.189;39411;1760811425567824014;1760811425604731237;100020;7
54.82.58.189;39411;1760811425667804345;1760811425704700299;100021;7
54.82.58.189;39411;1760811425767808054;1760811425804699293;100022;7
54.82.58.189;39411;1760811425867807536;1760811425904706539;100023;7
54.82.58.189;39411;1760811425967808181;1760811426004684418;100024;7
54.82.58.189;39411;1760811426067810771;1760811426104710690;100025;7
54.82.58.189;39411;1760811426167801663;1760811426204700185;100026;7
54.82.58.189;39411;1760811426267798016;1760811426304705224;100027;7
54.82.58.189;39411;1760811426367809173;1760811426404702865;100028;7
