sequence_number,time_taken_to_correct_ms
10,0.093952
20,0.00384
21,0.03072
34,0.01536
46,0.728576
69,0.028416
75,0.244736
152,0.034304
154,0.004352
159,0.382208
184,0.008704
202,0.3008
236,0.050176
260,0.00512
273,0.000512
277,0.004096
284,0.012032
287,0.011776
294,0.410368
332,0.6144
340,0.79744
363,0.023296
373,0.100864
376,0.252416
378,0.2752
381,0.000768
431,0.069632
446,0.050176
463,0.067328
504,0.059648
513,0.005376
527,0.00384
533,0.003072
541,0.031488
556,0.000256
564,0.094976
594,0.08192
614,0.005888
618,0.4544
654,0.006912
656,0.023296
666,0.011264
678,0.007936
681,0.034816
707,0.006912
712,0.001024
713,0.062208
725,0.022016
727,0.324096
735,0.071168
747,0.466944
779,0.018176
791,0.003328
794,0.012032
811,0.645888
835,0.331008
867,0.008448
878,0.015872
881,0.141056
901,0.018432
911,0.100352
935,0.002816
939,0.032512
958,0.155648
975,0.1152
982,0.002304
998,0.33152
1015,0.394752
1038,0.132352
1073,0.016128
1077,0.102912
1086,0.054016
1087,0.249344
1105,0.011264
1136,0.018944
1138,0.016896
1150,0.004096
1151,0.557824
1183,0.09856
1205,0.067072
1234,0.023296
1240,0.014848
1249,0.022016
1263,0.004096
1264,0.103168
1281,0.399104
1288,0.324096
1320,0.02176
1322,0.403456
1347,0.284416
1351,0.004864
1361,0.196096
1380,0.04352
1401,0.041472
1403,0.04864
1433,0.008192
1453,0.008192
1455,0.001792
1461,0.000768
1467,0.001024
1481,0.310784
1489,0.021504
1502,0.354816
1528,0.086784
1554,0.004864
1557,0.041216
1567,0.08448
1569,0.342528
1579,0.320512
1605,0.109056
1612,0.010752
1634,0.045056
1673,0.009728
1676,0.008192
1679,0.000256
1682,0.00512
1686,0.1024
1691,0.5632
1719,0.064768
1732,0.000512
1753,0.002304
1761,0.29952
1767,0.588032
1817,0.064256
1827,0.036096
1844,0.943616
1875,0.01408
1878,0.064
1887,0.008704
1894,0.10624
1917,0.007424
1925,0.080384
1933,0.29824
1938,0.11904
1986,0.136704
1999,0.013568
2001,0.01408
2033,0.00768
2038,0.03712
2070,0.03456
2072,0.56064
2094,0.540928
2131,0.027136
2137,0.007424
2154,0.003584
2169,0.01024
2170,0.166144
