CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
18.179.37.35;47062;1760836424491001958;1760836424595212397;350000;10
18.179.37.35;47062;1760836424591008289;1760836424695250153;350001;10
18.179.37.35;47062;1760836424690989981;1760836424795200046;350002;10
18.179.37.35;47062;1760836424791005557;1760836424895201356;350003;10
18.179.37.35;47062;1760836424891018913;1760836424995253056;350004;10
18.179.37.35;47062;1760836424991005520;1760836425095198218;350005;10
18.179.37.35;47062;1760836425091007671;1760836425195245723;350006;10
18.179.37.35;47062;1760836425191006954;1760836425295209162;350007;10
18.179.37.35;47062;1760836425291005311;1760836425395194066;350008;10
18.179.37.35;47062;1760836425391009600;1760836425495243548;350009;10
18.179.37.35;47062;1760836425491001967;1760836425595199737;350010;10
18.179.37.35;47062;1760836425591009539;1760836425695194577;350011;10
18.179.37.35;47062;1760836425691014232;1760836425795191037;350012;10
18.179.37.35;47062;1760836425791002677;1760836425895240333;350013;10
18.179.37.35;47062;1760836425891009191;1760836425995287248;350014;10
18.179.37.35;47062;1760836425991009434;1760836426095240199;350015;10
18.179.37.35;47062;1760836426091004537;1760836426195208496;350016;10
18.179.37.35;47062;1760836426191007510;1760836426295256595;350017;10
18.179.37.35;47062;1760836426291008907;1760836426395213802;350018;10
18.179.37.35;47062;1760836426391010335;1760836426495210435;350019;10
18.179.37.35;47062;1760836426491011335;1760836426595215543;350020;10
18.179.37.35;47062;1760836426591002052;1760836426695210647;350021;10
18.179.37.35;47062;1760836426691011341;1760836426795208903;350022;10
18.179.37.35;47062;1760836426791006402;1760836426895265594;350023;10
18.179.37.35;47062;1760836426891001409;1760836426995244407;350024;10
18.179.37.35;47062;1760836426991009894;1760836427095255480;350025;10
18.179.37.35;47062;1760836427091000661;1760836427195204751;350026;10
18.179.37.35;47062;1760836427191000210;1760836427295242671;350027;10
18.179.37.35;47062;1760836427291001684;1760836427395241027;350028;10
18.179.37.35;47062;1760836427391008591;1760836427495250309;350029;10
18.179.37.35;47062;1760836427491004183;1760836427595251073;350030;10
18.179.37.35;47062;1760836427591012008;1760836427695207873;350031;10
18.179.37.35;47062;1760836427691007914;1760836427795315143;350032;10
18.179.37.35;47062;1760836427791009656;1760836427895245284;350033;10
18.179.37.35;47062;1760836427891002811;1760836427995206628;350034;10
18.179.37.35;47062;1760836427991010246;1760836428095209587;350035;10
18.179.37.35;47062;1760836428091003715;1760836428195205989;350036;10
18.179.37.35;47062;1760836428191003175;1760836428295209609;350037;10
18.179.37.35;47062;1760836428291008244;1760836428395208271;350038;10
18.179.37.35;47062;1760836428391004846;1760836428495246529;350039;10
18.179.37.35;47062;1760836428491008886;1760836428595236436;350040;10
18.179.37.35;47062;1760836428591006000;1760836428695195774;350041;10
18.179.37.35;47062;1760836428691011228;1760836428795213267;350042;10
18.179.37.35;47062;1760836428791009643;1760836428895253950;350043;10
18.179.37.35;47062;1760836428891010690;1760836428995207374;350044;10
18.179.37.35;47062;1760836428991019959;1760836429095233681;350045;10
18.179.37.35;47062;1760836429091007354;1760836429195216126;350046;10
18.179.37.35;47062;1760836429191005530;1760836429295192603;350047;10
18.179.37.35;47062;1760836429291004783;1760836429395254474;350048;10
18.179.37.35;47062;1760836429391017930;1760836429495213057;350049;10
18.179.37.35;47062;1760836429491010951;1760836429595247057;350050;10
18.179.37.35;47062;1760836429591009463;1760836429695251406;350051;10
18.179.37.35;47062;1760836429691002465;1760836429795195079;350052;10
18.179.37.35;47062;1760836429791008456;1760836429895208442;350053;10
18.179.37.35;47062;1760836429891013281;1760836429995238668;350054;10
18.179.37.35;47062;1760836429991011491;1760836430095308442;350055;10
18.179.37.35;47062;1760836430091009873;1760836430195214878;350056;10
18.179.37.35;47062;1760836430191010447;1760836430295202483;350057;10
18.179.37.35;47062;1760836430291002749;1760836430395202486;350058;10
18.179.37.35;47062;1760836430391005399;1760836430495199978;350059;10
18.179.37.35;47062;1760836430491003399;1760836430595240886;350060;10
18.179.37.35;47062;1760836430591000548;1760836430695187936;350061;10
18.179.37.35;47062;1760836430691004861;1760836430795200764;350062;10
18.179.37.35;47062;1760836430790999897;1760836430895198011;350063;10
18.179.37.35;47062;1760836430891002440;1760836430995196621;350064;10
18.179.37.35;47062;1760836430991014526;1760836431095241394;350065;10
18.179.37.35;47062;1760836431091011523;1760836431195214965;350066;10
18.179.37.35;47062;1760836431191015784;1760836431295243058;350067;10
18.179.37.35;47062;1760836431291009646;1760836431395211069;350068;10
18.179.37.35;47062;1760836431391007144;1760836431495191531;350069;10
18.179.37.35;47062;1760836431491009723;1760836431595244470;350070;10
18.179.37.35;47062;1760836431591001922;1760836431695210918;350071;10
18.179.37.35;47062;1760836431691003483;1760836431795237031;350072;10
18.179.37.35;47062;1760836431791002093;1760836431895211777;350073;10
18.179.37.35;47062;1760836431891007416;1760836431995205719;350074;10
18.179.37.35;47062;1760836431991015354;1760836432095204721;350075;10
