sequence_number,time_to_detect_ms
77156,100.0
672128,100.003584
37333,99.999744
760369,100.00256
794121,100.002048
301780,100.0
711180,100.002816
405024,100.0
579879,100.00512
585955,100.004864
766566,100.002304
300496,100.0
168353,100.000256
505187,100.0
702153,100.003072
415870,100.0
667480,100.003584
726343,100.002816
108721,100.0
831562,100.001792
132756,100.000256
12510,100.0
247601,100.0
663846,100.003584
582093,100.00512
532707,100.0064
127524,100.000256
769075,100.002304
614656,100.004352
830184,100.001792
