sequence_number,time_taken_to_correct_s
2,0.000137472
4,6.1184e-05
5,6.2464e-05
6,5.888e-06
9,3.2e-05
10,7.7312e-05
13,2.5088e-05
15,4.6848e-05
17,1.28e-05
18,3.328e-06
21,1.152e-05
23,8.704e-06
25,5.2992e-05
27,1.5104e-05
30,2.7392e-05
32,1.28e-05
34,1.2544e-05
36,1.4848e-05
39,2.304e-06
42,7.68e-06
43,4.864e-06
45,2.2528e-05
48,1.2288e-05
50,1.7408e-05
55,3.2256e-05
57,3.2e-05
58,7.68e-07
59,3.456e-05
61,2.304e-05
63,6.912e-06
64,2.8416e-05
66,4.096e-06
69,1.5104e-05
70,7.168e-06
71,1.792e-05
73,2.1248e-05
74,2.176e-05
77,3.3792e-05
78,2.816e-05
80,1.4336e-05
84,2.432e-05
85,0.000149248
91,1.4592e-05
94,5.376e-06
95,0.000102912
97,1.024e-05
98,8.704e-06
101,3.3024e-05
105,1.4592e-05
107,4.5568e-05
108,1.536e-06
110,5.12e-07
111,3.0208e-05
112,1.8432e-05
114,4.096e-06
116,5.12e-07
117,6.912e-06
118,3.0976e-05
120,8.96e-06
121,1.408e-05
123,6.1952e-05
127,1.3568e-05
129,4.096e-06
131,7.936e-06
132,2.0736e-05
134,1.5616e-05
135,9.472e-06
137,2.8928e-05
138,2.816e-06
139,1.2288e-05
142,1.8176e-05
143,1.3312e-05
145,2.1248e-05
147,0.000100096
150,7.168e-06
153,1.3824e-05
154,3.456e-05
159,3.6864e-05
161,2.6624e-05
163,3.84e-06
164,2.304e-06
165,1.792e-06
166,4.864e-06
168,1.3312e-05
170,7.424e-06
172,1.0752e-05
173,1.792e-06
176,2.56e-05
178,2.7904e-05
179,1.792e-06
181,9.5744e-05
184,1.536e-06
185,5.12e-06
186,4.864e-06
187,5.888e-06
190,1.1776e-05
192,1.6896e-05
194,2.9184e-05
196,1.2032e-05
197,1.7152e-05
199,1.28e-05
201,1.536e-06
204,7.168e-06
205,1.024e-06
207,1.3056e-05
210,5.376e-06
211,4.608e-06
212,1.9456e-05
214,7.168e-06
217,1.4336e-05
218,6.6816e-05
222,1.0752e-05
223,8.448e-06
226,1.536e-06
228,6.912e-06
229,5.12e-07
231,5.376e-06
233,2.8416e-05
234,3.1232e-05
236,8.1408e-05
238,3.1488e-05
241,1.8688e-05
243,6.5024e-05
246,1.8688e-05
249,1.536e-06
251,1.8176e-05
256,6.656e-06
258,1.024e-06
259,9.984e-06
262,1.0752e-05
265,1.4336e-05
266,3.0464e-05
268,1.1776e-05
270,1.2288e-05
275,1.9456e-05
279,2.1504e-05
281,1.152e-05
