sequence_number,time_taken_to_correct_ms
2,0.137472
374,0.064
846,0.039424
968,0.681472
1281,0.118272
2568,0.488192
3476,0.127744
3605,0.19456
3973,0.06272
4493,0.017664
4569,0.122368
4756,1.193472
4758,2.461952
4764,0.669696
6120,1.779968
6373,0.13056
6801,0.05632
6975,7.162112
8408,0.353024
17692,0.233216
18860,1.369856
18971,0.168704
20375,0.032256
20406,0.984064
20417,0.992
20447,3.363584
20457,3.09888
20492,0.490496
21657,2.204928
21658,8.276736
24035,11.687936
28253,0.750848
41667,4.978944
41668,0.20096
41855,0.02688
43559,0.224256
47349,0.894208
47352,12.346112
48230,3.116288
56775,10.07744
64620,1.529344
65863,2.58048
68021,4.116992
81072,3.546112
83411,4.692224
83412,3.515904
92252,0.183552
95771,0.387584
102284,1.33888
102288,1.256192
104886,0.31232
109832,0.155136
116773,1.97504
120053,1.014016
120055,3.443456
120057,2.587136
122829,4.079104
122830,0.255744
122833,2.825728
125785,6.388224
127442,3.908864
134769,0.653312
134774,0.991744
137597,2.533376
137604,0.818176
138553,5.043456
146767,7.073024
149831,11.737088
158263,5.648128
158265,0.688896
163301,18.831872
167055,7.053824
185694,1.37472
194173,1.281792
194771,1.275648
194854,1.900544
194857,8.261376
205583,0.046592
205959,3.977984
229000,8.996608
229001,5.979392
236476,1.828608
239010,4.876288
263167,4.877568
263768,0.714752
272776,1.130496
278772,5.407232
286574,0.591104
289151,1.572608
307946,4.073984
307948,3.433216
308022,0.46848
308032,0.470272
308202,4.20864
309033,5.715456
313566,3.892736
329775,3.290112
332770,1.819648
334569,0.004352
334596,4.91136
345370,3.626752
348970,3.331584
353775,2.04032
356177,0.309248
379568,5.727488
380318,15.233024
383040,6.53568
393955,2.713856
420372,2.4704
425775,2.701056
428769,8.781312
430572,1.469184
434781,0.95232
438199,0.583424
445681,0.70016
449779,0.596992
451570,0.582656
452409,0.85888
452477,1.027584
455027,10.865152
460576,2.99904
465714,1.403648
466578,1.072896
470769,4.239104
481971,5.422336
500774,3.282176
503422,1.02784
506755,4.575488
512033,896.771328
