sequence_number,time_taken_to_correct_s
2,0.000137346
5,2.7904e-05
9,2.048e-06
10,5.2224e-05
25,1.3824e-05
55,1.024e-05
85,0.000129024
95,5.7344e-05
123,1.7408e-05
147,8.192e-05
176,5.12e-07
181,5.504e-05
194,1.3312e-05
212,9.472e-06
218,4.224e-05
233,5.888e-06
234,2.304e-06
236,4.6336e-05
243,1.3824e-05
266,6.144e-06
279,1.28e-06
285,1.792e-05
289,1.5616e-05
295,1.1776e-05
307,4.5824e-05
319,9.472e-06
323,9.216e-06
324,8.4736e-05
344,2.048e-06
355,4.1216e-05
358,2.176e-05
373,0.000116224
374,0.000296704
383,9.4208e-05
407,7.936e-06
424,2.048e-06
427,4.096e-05
432,4.864e-06
446,8.7808e-05
450,1.6384e-05
464,0.000101632
483,2.56e-07
493,2.048e-06
505,1.1776e-05
507,1.792e-06
508,1.5872e-05
511,2.1248e-05
524,7.68e-07
550,9.216e-06
561,1.024e-05
571,7.168e-06
582,6.912e-06
585,9.984e-06
597,6.912e-06
600,2.816e-06
601,1.1264e-05
609,4.096e-06
611,7.808e-05
631,5.2992e-05
649,1.792e-06
666,1.28e-06
674,2.688e-05
681,5.376e-06
693,1.536e-06
697,2.304e-05
707,2.8416e-05
715,8.448e-06
729,4.352e-06
735,1.3568e-05
751,1.1264e-05
753,1.1776e-05
765,8.96e-06
777,7.808e-05
805,4.2752e-05
817,1.0752e-05
818,3.1232e-05
827,6.144e-06
832,8.448e-06
846,0.000208896
870,2.56e-05
880,1.6896e-05
893,0.000116224
914,9.728e-06
927,6.656e-06
939,4.224e-05
955,5.888e-06
961,1.408e-05
967,1.664e-05
968,0.000854272
1014,2.5088e-05
1017,1.7664e-05
1030,0.000149248
1038,0.000141824
1062,4.736e-05
1082,6.7072e-05
1084,3.6352e-05
1086,6.8352e-05
1105,5.3248e-05
1113,1.4592e-05
1144,0.0001024
1167,6.8096e-05
1188,0.00017024
1205,4.864e-05
1218,8.3456e-05
1234,6.656e-06
1239,1.5616e-05
1241,1.7664e-05
1262,8.3456e-05
1277,5.12e-07
1281,0.000338944
1313,7.68e-06
1316,2.9952e-05
1324,5.376e-06
1337,2.304e-06
1343,2.1248e-05
1347,1.536e-05
1362,0.00015872
1392,1.1008e-05
1401,0.00014336
1433,1.024e-05
1438,2.0736e-05
1451,4.864e-06
1456,4.2752e-05
1479,2.56e-06
1481,3.328e-05
1483,2.8672e-05
