CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
18.179.37.35;47062;1760846424491005463;1760846424562813269;450000;7
18.179.37.35;47062;1760846424591008205;1760846424662804717;450001;7
18.179.37.35;47062;1760846424691002110;1760846424762799980;450002;7
18.179.37.35;47062;1760846424791007439;1760846424862805255;450003;7
18.179.37.35;47062;1760846424891007340;1760846424962799305;450004;7
18.179.37.35;47062;1760846424991004335;1760846425062818522;450005;7
18.179.37.35;47062;1760846425091008575;1760846425162804977;450006;7
18.179.37.35;47062;1760846425191006777;1760846425262815510;450007;7
18.179.37.35;47062;1760846425291005747;1760846425362826969;450008;7
18.179.37.35;47062;1760846425391004221;1760846425462815142;450009;7
18.179.37.35;47062;1760846425491013771;1760846425562819232;450010;7
18.179.37.35;47062;1760846425591010129;1760846425662822830;450011;7
18.179.37.35;47062;1760846425691009458;1760846425762892156;450012;7
18.179.37.35;47062;1760846425791003875;1760846425862805931;450013;7
18.179.37.35;47062;1760846425890999936;1760846425962810160;450014;7
18.179.37.35;47062;1760846425991001514;1760846426062808984;450015;7
18.179.37.35;47062;1760846426091000858;1760846426162800100;450016;7
18.179.37.35;47062;1760846426191009434;1760846426262804410;450017;7
18.179.37.35;47062;1760846426291001795;1760846426362822321;450018;7
18.179.37.35;47062;1760846426391011316;1760846426462816439;450019;7
18.179.37.35;47062;1760846426491004066;1760846426562816799;450020;7
18.179.37.35;47062;1760846426591007035;1760846426662891623;450021;7
18.179.37.35;47062;1760846426691102554;1760846426762895417;450022;7
18.179.37.35;47062;1760846426791002912;1760846426862808279;450023;7
18.179.37.35;47062;1760846426891004613;1760846426962816108;450024;7
18.179.37.35;47062;1760846426991011677;1760846427062812372;450025;7
18.179.37.35;47062;1760846427091006949;1760846427162813905;450026;7
18.179.37.35;47062;1760846427191009901;1760846427262826161;450027;7
18.179.37.35;47062;1760846427291007462;1760846427362828798;450028;7
18.179.37.35;47062;1760846427391010856;1760846427462806859;450029;7
18.179.37.35;47062;1760846427491010654;1760846427562817053;450030;7
18.179.37.35;47062;1760846427591003922;1760846427662814052;450031;7
18.179.37.35;47062;1760846427691006504;1760846427762811399;450032;7
18.179.37.35;47062;1760846427791018150;1760846427862830419;450033;7
18.179.37.35;47062;1760846427891008525;1760846427962815116;450034;7
18.179.37.35;47062;1760846427991005803;1760846428062810691;450035;7
18.179.37.35;47062;1760846428091008766;1760846428162851862;450036;7
18.179.37.35;47062;1760846428191003305;1760846428262810021;450037;7
18.179.37.35;47062;1760846428291003387;1760846428362811801;450038;7
18.179.37.35;47062;1760846428391005113;1760846428462817507;450039;7
18.179.37.35;47062;1760846428491008823;1760846428562802936;450040;7
18.179.37.35;47062;1760846428591005108;1760846428662859555;450041;7
18.179.37.35;47062;1760846428691005258;1760846428762818352;450042;7
18.179.37.35;47062;1760846428791017611;1760846428862821832;450043;7
18.179.37.35;47062;1760846428891002639;1760846428962801421;450044;7
18.179.37.35;47062;1760846428991000893;1760846429062820707;450045;7
18.179.37.35;47062;1760846429091009849;1760846429162815769;450046;7
18.179.37.35;47062;1760846429191000566;1760846429262801865;450047;7
18.179.37.35;47062;1760846429291007593;1760846429362813518;450048;7
18.179.37.35;47062;1760846429391008881;1760846429462822986;450049;7
18.179.37.35;47062;1760846429491017684;1760846429562815883;450050;7
18.179.37.35;47062;1760846429591012887;1760846429662816808;450051;7
18.179.37.35;47062;1760846429691006441;1760846429762820086;450052;7
18.179.37.35;47062;1760846429791016593;1760846429862818050;450053;7
18.179.37.35;47062;1760846429891011780;1760846429962835261;450054;7
18.179.37.35;47062;1760846429991003897;1760846430062805945;450055;7
18.179.37.35;47062;1760846430091006276;1760846430162828870;450056;7
18.179.37.35;47062;1760846430191011750;1760846430262830050;450057;7
18.179.37.35;47062;1760846430291012372;1760846430362816635;450058;7
18.179.37.35;47062;1760846430391008116;1760846430462818559;450059;7
18.179.37.35;47062;1760846430491057095;1760846430562864051;450060;7
18.179.37.35;47062;1760846430591000192;1760846430662864795;450061;7
18.179.37.35;47062;1760846430691006389;1760846430762813934;450062;7
18.179.37.35;47062;1760846430790999869;1760846430862814071;450063;7
18.179.37.35;47062;1760846430891002690;1760846430962808167;450064;7
18.179.37.35;47062;1760846430991012083;1760846431062819997;450065;7
18.179.37.35;47062;1760846431091008843;1760846431162819822;450066;7
18.179.37.35;47062;1760846431191001878;1760846431262806002;450067;7
18.179.37.35;47062;1760846431291005034;1760846431362809893;450068;7
18.179.37.35;47062;1760846431391010450;1760846431462830750;450069;7
18.179.37.35;47062;1760846431491005915;1760846431562819152;450070;7
18.179.37.35;47062;1760846431591019573;1760846431662825763;450071;7
18.179.37.35;47062;1760846431691011486;1760846431762821239;450072;7
18.179.37.35;47062;1760846431791005255;1760846431862816974;450073;7
18.179.37.35;47062;1760846431891006485;1760846431962812637;450074;7
18.179.37.35;47062;1760846431991005471;1760846432062800963;450075;7
18.179.37.35;47062;1760846432091017705;1760846432162825680;450076;7
