CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;TIMEOUT
200.17.202.34;60920;1745022438677955128;1745022438678316288;850000;0;1.7450224377783542e+18;999994557.532256;1.7450224417783324e+18
200.17.202.34;60920;1745022438777955343;1745022438778441472;850001;0;1.7450224378783631e+18;1000003831.3790305;1.7450224418783785e+18
200.17.202.34;60920;1745022438877943451;1745022438878274048;850002;0;1.7450224379783544e+18;999994539.4411274;1.7450224419783327e+18
200.17.202.34;60920;1745022438977944326;1745022438978279936;850003;0;1.7450224380783468e+18;999987635.8970146;1.7450224420782973e+18
200.17.202.34;60920;1745022439077940732;1745022439078296576;850004;0;1.745022438178342e+18;999983854.7073132;1.7450224421782774e+18
200.17.202.34;60920;1745022439177948761;1745022439178358016;850005;0;1.7450224382783434e+18;999987082.0365819;1.7450224422782917e+18
200.17.202.34;60920;1745022439277940263;1745022439278479616;850006;0;1.745022438378357e+18;1000001993.0329236;1.745022442378365e+18
200.17.202.34;60920;1745022439377954211;1745022439378416384;850007;0;1.745022438478363e+18;1000007732.9296311;1.7450224424783939e+18
200.17.202.34;60920;1745022439477957189;1745022439478336000;850008;0;1.7450224385783603e+18;1000004271.636668;1.7450224425783775e+18
200.17.202.34;60920;1745022439577959868;1745022439578346752;850009;0;1.745022438678359e+18;1000002487.6730012;1.745022442678369e+18
200.17.202.34;60920;1745022439677948905;1745022439678434560;850010;0;1.7450224387783665e+18;1000009790.905701;1.7450224427784056e+18
200.17.202.34;60920;1745022439777955022;1745022439778355968;850011;0;1.7450224388783654e+18;1000007762.2151309;1.7450224428783964e+18
200.17.202.34;60920;1745022439877957790;1745022439878417408;850012;0;1.7450224389783708e+18;1000012182.7936178;1.7450224429784195e+18
200.17.202.34;60920;1745022439977960538;1745022439978381056;850013;0;1.7450224390783718e+18;1000011988.5142561;1.7450224430784197e+18
200.17.202.34;60920;1745022440077960277;1745022440078503424;850014;0;1.745022439178385e+18;1000023948.0628304;1.7450224431784806e+18
200.17.202.34;60920;1745022440177962885;1745022440178472448;850015;0;1.7450224392783939e+18;1000030308.4565474;1.7450224432785152e+18
200.17.202.34;60920;1745022440277950513;1745022440278344448;850016;0;1.745022439378389e+18;1000022336.8108926;1.7450224433784783e+18
200.17.202.34;60920;1745022440377960581;1745022440378354176;850017;0;1.7450224394783857e+18;1000016621.5298033;1.7450224434784522e+18
200.17.202.34;60920;1745022440477951956;1745022440478302208;850018;0;1.7450224395783775e+18;1000006613.7768229;1.7450224435784038e+18
200.17.202.34;60920;1745022440577993015;1745022440578430208;850019;0;1.7450224396783826e+18;1000011225.9991406;1.7450224436784274e+18
200.17.202.34;60920;1745022440677964593;1745022440678434304;850020;0;1.7450224397783877e+18;1000015274.5992265;1.745022443778449e+18
200.17.202.34;60920;1745022440777955095;1745022440778337536;850021;0;1.7450224398783826e+18;1000008729.5393038;1.7450224438784174e+18
200.17.202.34;60920;1745022440877966943;1745022440878367744;850022;0;1.745022439978381e+18;1000006371.7853733;1.7450224439784067e+18
200.17.202.34;60920;1745022440977951981;1745022440978292736;850023;0;1.7450224400783724e+18;999996902.606836;1.74502244407836e+18
200.17.202.34;60920;1745022441077926819;1745022441078315264;850024;0;1.7450224401783667e+18;999991503.5461524;1.7450224441783327e+18
200.17.202.34;60920;1745022441177959555;1745022441178320640;850025;0;1.745022440278362e+18;999987745.1915371;1.7450224442783132e+18
200.17.202.34;60920;1745022441277964123;1745022441278369024;850026;0;1.745022440378363e+18;999989661.8723834;1.7450224443783214e+18
200.17.202.34;60920;1745022441377966081;1745022441378347776;850027;0;1.7450224404783613e+18;999989185.285145;1.745022444478318e+18
200.17.202.34;60920;1745022441477962685;1745022441478325760;850028;0;1.7450224405783578e+18;999986708.3566306;1.7450224445783045e+18
200.17.202.34;60920;1745022441577955682;1745022441578350080;850029;0;1.745022440678357e+18;999987269.5209675;1.745022444678306e+18
200.17.202.34;60920;1745022441677961280;1745022441678331648;850030;0;1.7450224407783544e+18;999986008.1688708;1.7450224447782984e+18
200.17.202.34;60920;1745022441777962847;1745022441778345216;850031;0;1.7450224408783534e+18;999986485.7519838;1.7450224448782994e+18
200.17.202.34;60920;1745022441877954865;1745022441878325760;850032;0;1.7450224409783506e+18;999985072.3767853;1.745022444978291e+18
