CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.34;60920;1745017438677957242;1745017438678394112;800000;0
200.17.202.34;60920;1745017438777958507;1745017438778358784;800001;0
200.17.202.34;60920;1745017438877953046;1745017438878326272;800002;0
200.17.202.34;60920;1745017438977959274;1745017438978381312;800003;0
200.17.202.34;60920;1745017439077960560;1745017439078338048;800004;0
200.17.202.34;60920;1745017439177964588;1745017439178324736;800005;0
200.17.202.34;60920;1745017439277959746;1745017439278332416;800006;0
200.17.202.34;60920;1745017439377953544;1745017439378302464;800007;0
200.17.202.34;60920;1745017439477965112;1745017439478320896;800008;0
200.17.202.34;60920;1745017439577964714;1745017439578334464;800009;0
200.17.202.34;60920;1745017439677958923;1745017439678241280;800010;0
200.17.202.34;60920;1745017439777963571;1745017439778364928;800011;0
200.17.202.34;60920;1745017439877954019;1745017439878362368;800012;0
200.17.202.34;60920;1745017439977961688;1745017439978329600;800013;0
200.17.202.34;60920;1745017440077962906;1745017440078387456;800014;0
200.17.202.34;60920;1745017440177964974;1745017440178406400;800015;0
200.17.202.34;60920;1745017440277967402;1745017440278403584;800016;0
200.17.202.34;60920;1745017440377954814;1745017440378404864;800017;0
200.17.202.34;60920;1745017440477958952;1745017440478358784;800018;0
200.17.202.34;60920;1745017440577942880;1745017440578352640;800019;0
200.17.202.34;60920;1745017440677944809;1745017440678299392;800020;0
200.17.202.34;60920;1745017440777960287;1745017440778405888;800021;0
200.17.202.34;60920;1745017440877957585;1745017440878372864;800022;0
200.17.202.34;60920;1745017440977959724;1745017440978358528;800023;0
200.17.202.34;60920;1745017441077951881;1745017441078273536;800024;0
200.17.202.34;60920;1745017441177961353;1745017441178275328;800025;0
200.17.202.34;60920;1745017441277959121;1745017441278313728;800026;0
200.17.202.34;60920;1745017441377962189;1745017441378307584;800027;0
200.17.202.34;60920;1745017441477959417;1745017441478248960;800028;0
