CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.34;60920;1744972438678002293;1744972438678457088;350000;0
200.17.202.34;60920;1744972438777945719;1744972438778386176;350001;0
200.17.202.34;60920;1744972438877949707;1744972438878351104;350002;0
200.17.202.34;60920;1744972438977950654;1744972438978424064;350003;0
200.17.202.34;60920;1744972439077945268;1744972439078370304;350004;0
200.17.202.34;60920;1744972439177952391;1744972439178391808;350005;0
200.17.202.34;60920;1744972439277952577;1744972439278352384;350006;0
200.17.202.34;60920;1744972439377943296;1744972439378435584;350007;0
200.17.202.34;60920;1744972439477951862;1744972439478342656;350008;0
200.17.202.34;60920;1744972439577953336;1744972439578404096;350009;0
200.17.202.34;60920;1744972439677981715;1744972439678575872;350010;0
200.17.202.34;60920;1744972439777947694;1744972439778407680;350011;0
200.17.202.34;60920;1744972439877972276;1744972439878429184;350012;0
200.17.202.34;60920;1744972439977966157;1744972439978405376;350013;0
200.17.202.34;60920;1744972440077947524;1744972440078292480;350014;0
200.17.202.34;60920;1744972440177951373;1744972440178346752;350015;0
200.17.202.34;60920;1744972440277929592;1744972440278291456;350016;0
200.17.202.34;60920;1744972440377948743;1744972440378464000;350017;0
200.17.202.34;60920;1744972440478161854;1744972440478502656;350018;0
200.17.202.34;60920;1744972440577949604;1744972440578326272;350019;0
200.17.202.34;60920;1744972440677954923;1744972440678407680;350020;0
200.17.202.34;60920;1744972440777940969;1744972440778330112;350021;0
200.17.202.34;60920;1744972440877957369;1744972440878453248;350022;0
200.17.202.34;60920;1744972440977943092;1744972440978313984;350023;0
200.17.202.34;60920;1744972441077947572;1744972441078354688;350024;0
200.17.202.34;60920;1744972441177938484;1744972441178305792;350025;0
200.17.202.34;60920;1744972441277940594;1744972441278413824;350026;0
200.17.202.34;60920;1744972441377949208;1744972441378315776;350027;0
200.17.202.34;60920;1744972441477943294;1744972441478343680;350028;0
200.17.202.34;60920;1744972441577951260;1744972441578308352;350029;0
200.17.202.34;60920;1744972441677941947;1744972441678336256;350030;0
200.17.202.34;60920;1744972441777937091;1744972441778280960;350031;0
200.17.202.34;60920;1744972441877952542;1744972441878339584;350032;0
200.17.202.34;60920;1744972441978189944;1744972441978574336;350033;0
200.17.202.34;60920;1744972442077941630;1744972442078313216;350034;0
200.17.202.34;60920;1744972442177952016;1744972442178363904;350035;0
200.17.202.34;60920;1744972442277953888;1744972442278321664;350036;0
200.17.202.34;60920;1744972442377934011;1744972442378312960;350037;0
200.17.202.34;60920;1744972442477955011;1744972442478372864;350038;0
200.17.202.34;60920;1744972442577935279;1744972442578316544;350039;0
200.17.202.34;60920;1744972442677955198;1744972442678354944;350040;0
