CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.6;45569;1759776041894869152;1759776042099505408;850539;24
200.17.202.6;45569;1759776041994872001;1759776042199557888;850540;24
200.17.202.6;45569;1759776042094862154;1759776042299520512;850541;24
200.17.202.6;45569;1759776042194860853;1759776042399577344;850542;24
200.17.202.6;45569;1759776042294862951;1759776042499513088;850543;24
200.17.202.6;45569;1759776042394884867;1759776042599616256;850544;24
200.17.202.6;45569;1759776042494845524;1759776042699517440;850545;24
200.17.202.6;45569;1759776042594869721;1759776042799539200;850546;24
200.17.202.6;45569;1759776042694860238;1759776042899527680;850547;24
200.17.202.6;45569;1759776042794882206;1759776042999598592;850548;24
200.17.202.6;45569;1759776042894867314;1759776043099550720;850549;24
200.17.202.6;45569;1759776042994863540;1759776043199525376;850550;24
200.17.202.6;45569;1759776043094869768;1759776043299524352;850551;24
200.17.202.6;45569;1759776043194875527;1759776043399549184;850552;24
200.17.202.6;45569;1759776043294865992;1759776043499533568;850553;24
200.17.202.6;45569;1759776043394852930;1759776043599507712;850554;24
200.17.202.6;45569;1759776043494872057;1759776043699537664;850555;24
200.17.202.6;45569;1759776043594846894;1759776043799522048;850556;24
200.17.202.6;45569;1759776043694876892;1759776043899523328;850557;24
200.17.202.6;45569;1759776043794856611;1759776043999515392;850558;24
200.17.202.6;45569;1759776043894855087;1759776044099640832;850559;24
200.17.202.6;45569;1759776043994882476;1759776044199532800;850560;24
200.17.202.6;45569;1759776044094891681;1759776044299566336;850561;24
200.17.202.6;45569;1759776044194889519;1759776044399537152;850562;24
200.17.202.6;45569;1759776044294849547;1759776044499527424;850563;24
200.17.202.6;45569;1759776044394839325;1759776044599480064;850564;24
200.17.202.6;45569;1759776044494851051;1759776044699503616;850565;24
200.17.202.6;45569;1759776044594837419;1759776044799455232;850566;24
200.17.202.6;45569;1759776044694861017;1759776044899554560;850567;24
200.17.202.6;45569;1759776044794850715;1759776044999519488;850568;24
200.17.202.6;45569;1759776044894856862;1759776045099506432;850569;24
200.17.202.6;45569;1759776044994836169;1759776045199452416;850570;24
200.17.202.6;45569;1759776045094840848;1759776045299488768;850571;24
200.17.202.6;45569;1759776045194863566;1759776045399530496;850572;24
200.17.202.6;45569;1759776045294876449;1759776045499539712;850573;24
200.17.202.6;45569;1759776045394856259;1759776045599526912;850574;24
200.17.202.6;45569;1759776045494852458;1759776045699528704;850575;24
200.17.202.6;45569;1759776045594853184;1759776045799484416;850576;24
200.17.202.6;45569;1759776045694855390;1759776045899497728;850577;24
200.17.202.6;45569;1759776045794854031;1759776045999546880;850578;24
200.17.202.6;45569;1759776045894861046;1759776046099486720;850579;24
200.17.202.6;45569;1759776045994846265;1759776046199532544;850580;24
200.17.202.6;45569;1759776046094874611;1759776046299515392;850581;24
200.17.202.6;45569;1759776046194843892;1759776046399531008;850582;24
200.17.202.6;45569;1759776046294878730;1759776046499540736;850583;24
200.17.202.6;45569;1759776046394866757;1759776046599531776;850584;24
200.17.202.6;45569;1759776046494875463;1759776046699540992;850585;24
200.17.202.6;45569;1759776046594846371;1759776046799474688;850586;24
200.17.202.6;45569;1759776046694862660;1759776046899523328;850587;24
200.17.202.6;45569;1759776046794874414;1759776046999465984;850588;24
200.17.202.6;45569;1759776046894844247;1759776047099456512;850589;24
200.17.202.6;45569;1759776046994871280;1759776047199543296;850590;24
200.17.202.6;45569;1759776047094858244;1759776047299550464;850591;24
200.17.202.6;45569;1759776047194858590;1759776047399516928;850592;24
200.17.202.6;45569;1759776047294856127;1759776047499532800;850593;24
