sequence_number,time_to_detect_ms
631688,100.212224
626599,100.214272
799830,100.124928
207834,100.0
325364,100.0
832736,100.11008
7383,100.0
754786,100.148992
618495,100.219392
679826,100.184832
125593,100.0
496438,100.142592
536939,100.237568
375030,100.009472
22144,100.0
209535,100.0
813269,100.118784
423770,100.025088
297593,100.0
686763,100.179456
512227,100.240384
493438,100.142592
295841,100.0
727552,100.165888
357445,100.0
700971,100.169216
133673,100.0
693860,100.174336
811543,100.119552
737440,100.159488
