sequence_number,time_to_detect_ms
631688,101.630464
626599,111.59808
799830,100.1856
207834,100.480256
325364,100.428544
832736,100.841728
7383,100.14976
754786,100.184064
618495,100.546048
679826,100.137472
125593,100.261888
496438,100.685568
536939,100.738304
375030,100.222208
22144,100.230656
209535,100.277248
813269,100.188672
423770,100.333312
297593,100.440576
686763,100.193536
512227,100.361216
493438,101.112064
295841,100.144896
727552,100.294912
357445,100.284928
700971,100.17536
133673,100.409344
693860,100.19712
811543,100.155392
737440,100.194816
