sequence_number,time_to_detect_ms
631688,852.428544
626599,862.39616
799830,960.819456
207834,107.233536
325364,105.90336
832736,961.475584
7383,101.312768
754786,960.81792
618495,851.344128
679826,850.935552
125593,105.421312
496438,371.00032
536939,371.053056
375030,139.351296
22144,101.969664
209535,106.415104
813269,960.822528
423770,145.532416
297593,106.728704
686763,850.991616
512227,370.675968
493438,371.426816
295841,106.433024
727552,960.928768
357445,104.504064
700971,850.97344
133673,105.281024
693860,850.9952
811543,960.789248
737440,960.828672
