sequence_number,time_to_detect_ms
631688,100.802816
626599,103.515136
799830,100.1856
207834,100.122112
325364,100.21376
832736,100.408832
7383,100.07424
754786,100.184064
618495,100.407552
679826,100.137472
125593,100.128
496438,100.337664
536939,100.552704
375030,100.109568
22144,100.1152
209535,100.0704
813269,100.188672
423770,100.169216
297593,100.2176
686763,100.193536
512227,100.361216
493438,100.547072
295841,100.07168
727552,100.294912
357445,100.1408
700971,100.17536
133673,100.104704
693860,100.19712
811543,100.155392
737440,100.194816
