sequence_number,time_taken_to_correct_ms
2,0.215552
5,0.112128
7,0.01152
9,0.090624
11,0.094208
13,0.000256
15,0.015104
17,0.086272
20,0.150784
22,0.213504
24,0.053504
27,0.165632
31,0.249856
33,0.048384
36,0.00512
40,0.070144
41,0.156416
43,0.095488
45,0.193024
46,0.03328
48,0.131328
51,0.043008
53,0.040448
54,0.1408
55,0.001536
59,0.073216
63,0.137984
66,0.13824
68,0.068864
69,0.017408
71,0.177664
73,0.088832
74,0.220416
76,0.116224
78,0.04224
79,0.0384
81,0.035072
83,0.140544
86,0.015616
87,0.022528
88,0.17408
90,0.00128
91,0.071424
93,0.158208
96,0.172544
98,0.2176
100,0.035328
101,0.096
103,0.034048
105,0.013568
106,0.069888
107,0.06784
111,0.377344
113,0.019968
114,0.027136
115,0.03328
116,0.0512
119,0.1088
121,0.063488
123,0.016384
124,0.095232
125,0.099072
129,0.10752
130,0.020736
131,0.056064
133,0.017408
134,0.060928
135,0.061184
137,0.010752
138,0.062208
140,0.0256
141,0.066304
143,0.039936
144,0.07936
148,0.012288
150,0.013312
151,0.002048
154,0.066816
157,0.070912
159,0.015872
160,0.02304
163,0.09728
165,0.018944
166,0.03328
168,0.087808
170,0.015104
173,0.09856
175,0.082176
178,0.012032
179,0.02432
181,0.0128
183,0.046592
184,0.051456
186,0.12928
188,0.050432
189,0.09856
190,0.016128
192,0.092928
194,0.07168
195,0.007936
198,0.010496
200,0.092928
202,0.096
203,0.078336
206,0.047872
209,0.013312
211,0.077824
212,0.058112
214,0.098304
216,0.085504
217,0.021504
218,0.006912
219,0.0384
221,0.09088
223,0.109824
225,0.092928
227,0.118272
229,0.0256
234,0.01024
235,0.113152
239,0.015872
240,0.014592
241,0.00896
242,0.015104
244,0.059648
246,0.182272
248,0.058368
251,0.062208
254,0.083456
257,0.076288
259,0.030976
260,0.047104
262,0.062976
263,0.055296
266,0.058112
268,0.04096
270,0.103424
271,0.005632
272,0.0704
274,0.054272
276,0.027136
280,0.042752
281,0.040704
282,0.232448
284,0.003584
285,0.062976
286,0.014336
288,0.098048
290,0.007168
291,0.148736
294,0.210944
296,0.221952
299,0.026368
300,0.151296
301,0.068608
303,0.02048
304,0.08192
306,0.01792
307,0.017408
311,0.217344
314,0.29568
316,0.108544
317,0.01152
319,0.005888
322,0.064512
324,0.141568
326,0.029952
327,0.223232
329,0.17664
330,0.097024
331,0.022784
335,0.09984
336,0.052992
338,0.077824
339,0.09344
341,0.0832
342,0.107008
344,0.118784
347,0.03584
348,0.122112
350,0.081152
353,0.041984
354,0.098816
355,0.05376
359,0.011264
360,0.023552
361,0.052992
362,0.013824
364,0.187136
366,0.103936
370,0.216064
374,0.030464
375,0.071424
376,0.02432
378,0.0576
379,0.073728
380,0.045568
382,0.132608
384,0.362496
386,0.02816
387,0.038656
389,0.002304
391,0.008448
392,0.002816
394,0.295168
396,0.073984
397,0.009728
399,0.082176
401,0.066816
402,0.011264
403,0.099328
405,0.137216
408,0.24832
410,0.007936
412,0.020736
414,0.089856
415,0.019968
419,0.072192
421,0.065792
423,0.160256
425,0.028672
426,0.031744
427,0.067072
429,0.055552
430,0.050944
433,0.064
435,0.04224
436,0.059904
437,0.052992
440,0.075776
442,0.221952
443,0.066816
444,0.077312
447,0.100864
448,0.030464
449,0.043264
450,0.026624
455,0.219136
456,0.030208
457,0.060672
459,0.0256
460,0.098304
461,0.018176
462,0.028416
464,0.104704
466,0.122112
468,0.017408
470,0.018432
473,0.025856
476,0.013056
477,0.1344
480,0.094208
482,0.054016
483,0.269056
485,0.086016
486,0.014592
490,0.101376
491,0.015104
493,0.090112
496,0.220416
497,0.045312
499,0.008192
502,0.017408
503,0.02048
504,0.064256
507,0.096768
508,0.02048
509,0.014336
512,0.09344
515,0.063232
517,0.146176
518,0.014592
519,0.045568
521,0.00384
524,0.14848
525,0.022528
527,0.009472
530,0.112128
531,3.500544
534,0.037888
535,0.179456
537,0.02688
538,0.103168
539,0.04224
541,0.128256
542,0.018176
545,0.089344
546,0.13312
549,0.301312
551,0.110592
552,0.099072
554,0.104704
556,0.073728
559,0.115456
561,0.08704
564,0.103936
566,0.175104
568,0.036608
570,0.09728
573,0.02688
578,0.245248
581,0.013312
582,0.099328
583,0.029696
584,0.00128
586,0.175616
588,0.023552
589,0.026368
590,0.071936
591,0.060672
594,0.36096
597,0.151808
599,0.087552
601,0.114688
603,0.013312
606,0.013056
608,0.118784
612,0.107264
613,0.04608
614,0.017408
617,0.134912
620,0.026368
621,0.04864
623,0.131072
625,0.060928
627,0.142336
628,0.019456
629,0.00384
631,0.006912
633,0.085248
635,0.138752
638,0.092672
639,0.542976
641,0.025088
642,0.113152
644,0.030464
645,0.009984
649,0.0064
651,0.164352
654,0.024576
655,0.011776
657,0.060416
658,0.032256
661,0.012032
662,0.004608
663,0.033024
665,0.1984
667,0.05248
