sequence_number,time_taken_to_correct_ms
2,0.215552
5,0.103936
111,0.049408
246,0.003584
282,0.04096
531,3.242496
594,0.024832
639,0.207104
923,0.284672
989,0.119552
1132,0.077056
1151,1.534464
1239,0.070656
1658,0.120576
1730,1.554432
1760,0.293376
1814,0.040192
1849,0.031744
1914,0.13696
1991,0.329216
2045,0.018944
2089,0.06272
2111,0.323584
2277,2.66368
2335,0.469504
2511,0.044288
2735,0.058112
2758,0.01664
2883,0.037888
2937,0.281856
2959,0.301312
3063,0.095488
3202,0.022016
3244,0.022272
3297,0.018688
3497,0.009216
3523,0.025344
3541,1.261312
3718,0.149248
3754,0.082176
3816,0.57344
3891,0.154368
3969,0.019968
3998,0.2624
4080,0.414464
4143,0.615936
4296,0.197632
4333,0.271104
4496,0.091904
4593,0.059392
4892,0.004352
4956,6.64448
5044,0.318208
5469,0.015104
5495,1.490944
5571,0.608256
5769,0.107776
5823,0.326912
5931,0.050944
6318,0.053504
6341,0.102912
6485,0.009984
6539,1.04832
6727,0.027392
6746,0.074752
6760,0.122112
6818,2.494464
6931,0.2176
7071,0.034816
7134,0.25856
7170,0.160512
7468,0.36096
7495,0.086016
7586,0.232704
7702,1.113344
7734,5.394944
7858,0.002304
7872,0.029184
7992,0.12416
8102,0.032768
8226,0.098048
8412,0.113664
8503,0.032
8669,0.724992
8855,0.012288
8956,0.020736
8961,1.6256
9070,0.007936
9177,0.468992
9328,0.356864
9516,0.075776
9532,0.1664
9548,0.066048
9907,0.443136
10082,0.055808
10143,0.962816
10184,1.363968
10215,2.1376
10401,0.673024
10430,0.79104
10594,0.10368
10733,0.568576
10792,0.146432
10990,0.11776
11295,0.010496
11334,0.355584
11782,0.257792
12024,0.026368
12081,0.068608
12449,0.05504
12483,0.01024
12534,0.206848
12578,0.093696
12749,0.036096
12883,0.004096
12894,1.640192
12991,0.00896
13021,0.010752
13210,0.025088
13562,0.155392
13638,0.13312
13744,3.431936
14027,0.034048
14216,0.278528
14334,0.023552
14347,0.086784
14394,0.051712
14416,0.01664
14562,0.037632
14643,0.00384
14687,0.728832
14946,0.450048
15068,0.065024
15136,0.564224
15332,0.112128
15445,0.80128
15540,0.233216
15751,0.178688
16019,0.23168
16060,0.427008
16832,0.055552
16958,0.034304
17009,0.23296
17035,0.071424
17677,2.927616
17772,7.181312
17962,0.382976
18248,0.790272
18496,0.001536
18717,0.156672
18963,0.031744
19198,0.026112
19385,0.004352
19405,0.02816
19456,0.004864
19569,0.02048
19710,0.132864
19755,0.01664
20410,0.158208
20500,0.059136
21543,0.029696
21753,0.236032
21795,0.019712
22009,0.107776
22113,0.05248
22145,0.21248
22444,0.264192
22469,0.24192
22561,1.241856
22659,0.080896
22673,0.193536
22753,0.048896
22775,0.343552
22951,0.014848
22984,0.077312
23038,0.033024
23053,0.047872
23105,1.341952
23332,0.337408
23349,0.160256
23537,0.007424
23696,0.022272
23793,0.010496
23935,0.00512
23942,0.16384
24141,0.006656
24516,0.788736
24562,0.206336
24898,0.089344
24912,0.222208
24947,0.204288
25132,1.294336
25174,0.063232
25197,0.161024
25222,0.201728
25297,0.491776
25543,0.091648
25732,0.169728
25804,0.080896
26094,0.046848
26169,0.02432
26742,0.022528
26932,0.235776
27013,0.000256
27245,0.128
27263,0.043008
27479,0.05504
27539,0.967936
27565,2.281216
27653,1.6256
27774,0.007936
27817,0.036864
27834,0.014592
27866,0.118016
27900,0.03968
27923,1.146112
28220,0.018176
28227,0.029696
28345,0.019968
28404,0.23552
28938,0.049408
28997,0.05376
29024,0.151808
29105,0.028928
29252,0.009728
29344,0.158976
29354,0.061184
29396,0.01152
29424,0.051712
29451,0.052992
29483,0.002816
29621,0.948224
29725,1.032192
29836,0.036352
29933,0.38784
29967,0.090112
30042,0.358656
30140,0.165376
30165,1.04448
30205,0.114176
30337,0.001024
30391,0.103936
30457,0.167168
30559,0.024832
30697,0.028416
30703,0.026112
30752,0.027904
31142,0.139008
31204,0.10752
31237,0.02176
31398,0.008192
31461,0.002048
31495,0.037888
31527,1.052416
31581,0.045312
31605,1.795072
31680,0.030208
31732,0.13568
31819,0.023808
31932,0.448512
32123,0.004864
32148,0.01536
32175,0.020224
32301,1.179136
32610,0.163328
32619,0.061952
32841,0.043776
32866,0.042496
32890,0.328192
32937,0.447232
32939,2.163456
33011,0.003584
33143,0.036608
33201,0.09088
33487,0.089344
33488,0.623616
33529,0.225536
33532,0.368896
33534,0.82944
33570,0.113408
33611,1.040384
33655,0.001536
33743,0.160512
33939,0.78976
34082,1.715456
34160,0.173056
34192,0.192512
34205,0.043776
34227,0.146176
34288,0.049408
34380,0.073472
34440,0.064512
34461,5.739264
34572,0.495104
34635,0.077568
34646,0.122368
34732,0.175104
34782,0.09856
34859,0.141312
34901,0.131584
35023,0.069376
35061,0.095488
35347,0.245504
35393,0.019712
35425,0.100608
35468,0.178176
35505,0.082176
35515,0.09088
35817,0.146432
35940,0.25216
36095,0.004096
36109,0.202496
36211,3.004672
36313,0.02688
36382,0.630272
36395,2.008576
36538,0.338176
36603,0.020224
36612,0.007936
36850,0.009728
36893,7.917824
37254,0.055296
37397,0.016384
37612,0.11904
37667,0.063488
37959,0.008192
37996,0.094208
38107,0.10496
38175,0.022528
38256,0.390656
38334,0.936704
38459,0.027136
38473,0.0832
38534,0.034304
38602,0.06656
38810,0.276224
38880,1.819392
38935,2.002944
38937,0.754688
39078,0.06016
39091,0.0576
39178,0.00768
39337,0.101632
39579,0.081152
39664,0.055808
39894,0.034816
39917,1.0176
39970,0.024832
40049,0.058624
40484,0.009472
40669,0.020736
40719,0.080128
40752,0.12544
40831,0.136448
40859,0.157696
40880,0.41216
40927,0.017408
41013,0.028416
41023,0.8
41094,0.308736
41320,0.150272
41652,0.052736
41689,0.051968
41844,0.124928
41914,0.005632
41919,0.236288
41986,0.01408
42057,0.03328
42095,0.024832
42536,1.506304
42715,0.135936
42778,0.058624
42793,0.059136
42910,0.038912
43176,0.029184
43236,0.582144
43256,0.206848
43346,0.123392
43426,0.007424
43446,0.02944
43466,0.4288
43483,0.140032
43606,0.503552
43636,0.277504
43668,1.51168
43696,0.146432
43786,0.08192
43806,0.070144
43846,0.321536
43886,0.682496
43906,0.466944
43916,0.414976
43926,0.392448
43943,0.397056
43946,0.507648
43976,0.713984
43996,0.67072
44086,0.03968
44194,0.011008
44280,0.019712
44480,0.180224
44605,0.067584
44667,0.021248
44773,0.271104
44809,0.239616
44813,1.479168
44862,0.00384
44919,1.042944
45216,0.112896
45308,0.000256
45379,0.083456
45532,0.416
45610,0.045056
45714,0.0128
45731,0.080128
45796,0.073472
45955,0.001792
45963,0.818688
46048,0.067072
46082,0.040192
46138,10.12224
46222,1.75488
46321,0.020224
46573,0.19968
46735,0.298752
46791,0.22272
46894,0.06272
47012,0.142336
47247,0.008192
47527,4.045824
47713,0.012544
47932,0.017408
47941,0.745984
48083,0.022016
48194,0.030976
48269,0.008704
48308,0.657408
48373,0.77568
48741,0.033792
48844,0.09728
48941,0.060672
49024,0.3136
49133,0.383744
49323,0.066816
49336,0.005632
49469,0.041472
49494,0.016128
49540,0.051968
49560,0.018176
49580,0.194048
49619,0.115968
49711,0.027648
49797,0.145152
49897,0.120576
49951,0.034816
49986,2.543872
50210,0.016896
50230,0.173568
50547,2.877184
50894,0.128256
51112,0.037376
51134,0.02432
51457,0.035584
51535,0.230144
51824,2.224128
51907,0.005888
51955,0.0128
52352,0.150016
52419,7.057408
52457,0.15616
52539,0.54912
52606,0.006912
52636,0.462592
52737,1.846784
52794,0.017408
52944,0.056064
53131,0.438784
53330,0.244992
53357,1.871872
53708,0.26112
53776,0.03712
53828,0.014592
53881,1.484032
53955,0.092416
54059,0.007168
54165,0.006912
54276,0.009728
54507,0.012032
54540,0.573696
54819,0.014336
54884,0.00128
54963,1.076736
54998,0.177152
55134,0.627456
55143,0.448512
55198,1.3696
55235,0.039424
55240,0.975872
55477,0.103424
55497,0.08064
55553,0.013824
55589,0.005888
55614,0.103424
55694,0.03584
55779,0.13696
55790,0.06528
55936,0.017152
55946,0.671488
56027,0.008192
56086,0.160512
56156,0.253952
56170,0.38016
56213,0.084736
56277,0.17024
56322,0.151552
56471,0.041472
56489,0.025344
56556,0.05504
56573,0.544768
56608,0.100096
56611,0.311552
56674,0.177152
56915,0.018944
56940,0.009216
57042,0.01024
57052,0.023296
57113,0.060416
57138,0.188672
57282,0.045824
57320,0.530176
57346,0.072704
57367,0.011776
57368,0.073984
57405,0.131328
57442,0.002048
57507,0.280832
57529,0.020224
57610,0.014336
57713,0.0256
57818,1.137408
57879,0.04096
57892,0.973056
58056,0.724736
58101,0.13952
58228,2.281216
58263,0.759296
58330,0.04992
58346,0.268288
58449,0.285696
58479,0.67456
58519,0.367616
58661,0.02048
58743,0.195584
58800,0.060416
58833,1.161216
59048,0.045312
59081,0.01024
59130,0.545024
59221,0.345344
59262,0.167936
59344,0.118016
59481,0.080384
59528,0.788992
59554,0.068864
59655,0.068352
59671,0.518656
59783,0.00384
59857,0.02048
59917,0.34048
59936,0.09984
59939,1.090304
60091,0.008704
60158,0.033536
60196,0.041984
60267,0.01152
60273,0.00256
60285,0.045568
60359,0.196352
60429,0.061952
60477,0.207872
60523,0.013312
60535,0.133888
60545,0.008192
60653,2.479616
60790,5.185536
60843,0.1344
60907,0.017664
60915,0.018432
60951,0.021248
61030,0.00384
61169,0.110848
61186,1.322496
61310,0.015616
61452,0.048896
61458,0.047616
61519,0.305408
61554,0.376576
61590,0.173056
61655,3.96416
61785,1.212928
61906,0.071168
62329,0.136448
62359,0.150272
62382,0.23424
62881,0.18944
62912,0.054784
63109,0.05632
63304,0.03712
63475,0.015872
63536,0.358656
63540,0.013824
63678,2.552064
63719,0.96768
63760,0.898816
63797,0.081664
63801,1.499904
64088,0.425728
64136,0.610048
64311,0.046848
64395,0.893696
64421,0.073216
64553,0.205056
64605,0.055296
64640,0.0512
64665,0.16512
64783,0.611584
65096,0.0512
