sequence_number,time_taken_to_correct_ms
2,0.215552
531,3.026944
1151,1.037824
1730,1.00352
2277,2.067712
3541,0.518144
4956,5.92384
5495,0.249856
6818,1.352448
7734,4.231936
8961,0.155648
10184,0.0256
10215,0.93056
12894,0.4608
13744,2.324224
17677,1.698304
17772,5.905152
27565,0.542208
27653,0.006144
31605,0.336896
32939,0.817408
34082,0.4224
34461,4.533248
36211,1.465856
36395,0.477184
36893,6.491904
38935,0.0704
46138,8.375808
47527,1.636608
49986,0.211712
50547,0.757248
51824,0.240384
52419,5.248
58228,0.128
60653,0.528896
60790,3.376896
61655,1.998848
63678,0.583424
67358,2.045184
67736,7.673088
78434,1.871104
79915,0.819712
80938,3.393024
87723,0.16512
88743,3.718912
89952,7.88992
102353,0.522752
103341,1.971712
107931,1.533952
113249,0.246784
114173,3.433984
114584,22.948864
116627,1.294336
119131,18.251008
122109,1.997824
126224,0.215808
130233,9.262336
133136,2.593536
135986,2.747392
136055,17.61536
138137,1.587456
140940,1.18656
145740,2.485248
147633,0.654848
149205,6.075136
149342,0.054016
157132,0.530688
157992,35.773696
158228,25.109248
175731,2.58176
176578,1.849088
189903,0.354304
192168,2.90688
198863,0.827392
199348,2.37568
201945,19.7824
206978,5.07776
208167,0.59904
232653,10.26944
232824,6.652928
244136,5.226496
245191,1.554688
253133,3.01952
255998,6.588928
289334,1.892352
294538,14.665472
308508,4.05248
313420,0.165376
330045,1.659136
330357,0.1984
341441,0.758528
359061,1.485056
359338,3.224832
365158,3.059456
373479,0.225536
373483,94.291968
373570,87.136256
373572,30.04288
373583,14.12352
373623,72.792064
373653,64.607488
373781,70.312704
373826,63.57888
373896,62.377472
391607,57.000192
401943,57.9136
401962,35.899648
401972,10.827008
401994,34.369024
402032,53.084672
402045,26.218496
402057,13.789696
402130,62.469376
402144,32.121344
402334,61.13024
402359,45.824256
402449,57.598464
402457,16.003328
413025,4.250368
416588,60.525824
416852,59.494912
416964,53.610496
419065,54.098944
419123,52.518912
419473,53.98656
424185,51.982336
424566,51.148544
424706,49.408256
427755,49.467136
427776,31.463424
427892,50.62016
427901,13.490944
427950,53.37856
427971,36.02432
429549,52.156416
429652,52.661504
429668,30.12608
433080,49.120512
433305,48.717824
433330,41.69088
433461,50.36544
433563,48.52224
433590,38.184704
433642,51.510784
433647,3.391744
436165,2557.921792
454719,69.255936
554725,2428.98816
586161,2011.8016
598159,1759.284224
711449,1849.15712
