sequence_number,time_taken_to_correct_ms
2,0.215552
5,0.103936
11,0.004608
20,0.055808
22,0.0704
27,0.0064
31,0.095744
41,0.01024
63,0.014848
71,0.031744
111,0.216576
125,0.007168
144,0.01024
163,0.02432
173,0.01152
184,0.007936
186,0.030976
192,0.026368
203,0.008448
235,0.00896
246,0.094208
272,0.006912
282,0.180992
294,0.054528
296,0.122368
300,0.045568
311,0.061696
314,0.11264
327,0.137216
364,0.065792
366,0.019968
370,0.06016
384,0.171264
394,0.132864
403,0.009472
408,0.060928
423,0.018688
442,0.063488
455,0.072704
460,0.0128
477,0.0256
483,0.121856
493,0.014592
496,0.055552
517,0.01408
524,0.03968
530,0.004608
531,3.43296
578,0.114688
586,0.025344
594,0.196864
617,0.003328
635,0.001024
639,0.375296
651,0.004096
665,0.085504
674,0.04864
681,0.033024
702,0.0192
713,0.062976
718,0.06528
728,0.00768
741,0.021504
766,0.01024
780,0.030208
784,0.005888
789,0.008448
796,0.03968
801,0.030208
809,0.033024
839,0.019456
844,0.043264
856,0.085504
866,0.038144
872,0.00128
880,0.001024
900,0.01408
908,0.014336
910,0.027392
915,0.0128
920,0.012032
923,0.378624
933,0.03968
956,0.080384
979,0.08448
989,0.23296
1005,0.029952
1035,0.021248
1041,0.006656
1052,0.018944
1054,0.064768
1072,0.034304
1075,0.019968
1109,0.017664
1118,0.003328
1132,0.141312
1135,0.006912
1137,0.08576
1144,0.02048
1145,0.075776
1148,0.104448
1151,1.792768
1181,0.135424
1196,0.009216
1203,0.0064
1212,0.013056
1239,0.169216
1241,0.073472
1261,0.012032
1266,0.07168
1272,0.036864
1275,0.011776
1276,0.024064
1288,0.002816
1317,0.012032
1334,0.025344
1349,0.008192
1360,0.012032
1365,0.017152
1373,0.0128
1375,0.006144
1387,0.043008
1397,0.00768
1412,0.004352
1419,0.001536
1424,0.021504
1430,0.011008
1433,0.004096
1447,0.03328
1453,0.032512
1460,0.033792
1466,0.01152
1471,0.012288
1472,0.047616
1477,0.015616
1481,0.00768
1509,0.005376
1527,0.010752
1545,0.016128
1547,0.030976
1563,0.002304
1575,0.067584
1577,0.007424
1591,0.0576
1596,0.014592
1603,0.030464
1616,0.007168
1624,0.008192
1627,0.022528
1630,0.039936
1641,0.1344
1658,0.235264
1661,0.10624
1696,0.07936
1730,1.767424
1760,0.568576
1794,0.03456
1814,0.142592
1818,0.001792
1820,0.019968
1838,0.000256
1841,0.017152
1849,0.105984
1852,0.040704
1876,0.077568
1883,0.022528
1890,0.040192
1899,0.03456
1914,0.248064
1931,0.03712
1947,0.105728
1949,0.051456
1955,0.066048
1969,0.114176
1991,0.484352
2033,0.019968
2045,0.120832
2048,0.041472
2054,0.01536
2089,0.13824
2096,0.040448
2103,0.054784
2111,0.40704
2131,0.00384
2162,0.112896
2163,0.100864
2207,0.000768
2210,0.038912
2217,0.02816
2235,0.004096
2248,0.014592
2260,0.016384
2262,0.02944
2264,0.065792
2270,0.009728
2277,2.804992
2288,0.059648
2330,0.013824
2332,0.00512
2334,0.030464
2335,0.639488
2349,0.004608
2369,0.02432
2384,0.000256
2397,0.100352
2409,0.002816
2431,0.046592
2441,0.02432
2453,0.002304
2458,0.004608
2461,0.030208
2470,0.073472
2479,0.033536
2484,0.032512
2486,0.004608
2501,0.011008
2511,0.137984
2515,0.073728
2527,0.01792
2542,0.182784
2547,0.058112
2577,0.028416
2584,0.00256
2604,0.050688
2627,0.024064
2628,0.012288
2630,0.007424
2663,0.031232
2666,0.122624
2671,0.029952
2684,0.122624
2688,0.103168
2732,0.06656
2735,0.173824
2758,0.124928
2763,0.009728
2770,0.01024
2796,0.009472
2804,0.008704
2825,0.045056
2836,0.018432
2844,0.031232
2852,0.006656
2864,0.000256
2874,0.002048
2883,0.1472
2901,0.00128
2910,0.01536
2923,0.03968
2931,0.060672
2937,0.520448
2959,0.436224
2995,0.024832
3009,0.004096
3017,0.047872
3027,0.052992
3042,0.059392
3055,0.001792
3063,0.194304
3077,0.004864
3084,0.00512
3098,0.00384
3102,0.033024
3109,0.061696
3135,0.011264
3142,0.007424
3157,0.023296
3169,0.032
3195,0.021248
3200,0.033792
3202,0.17792
3205,0.100864
3207,0.172032
3221,0.01408
3244,0.134912
3262,0.016128
3280,0.072704
3284,0.02944
3288,0.09216
3297,0.123392
3344,0.011008
3351,0.01536
3359,0.002048
3365,0.004864
3369,0.00768
3373,0.039168
3382,0.029952
3390,0.042752
3410,0.004352
3412,0.013056
3418,0.048128
3445,0.02048
3448,0.024576
3461,0.003584
3474,0.041472
3479,0.0064
3497,0.080896
3504,0.046336
3508,0.03584
3523,0.169216
3532,0.003072
3536,0.094464
3539,0.132864
3541,1.54752
3575,0.054016
3588,0.064768
3598,0.117504
3628,0.057856
3632,0.045824
3635,0.028416
3646,0.144896
3686,0.014848
3704,0.025088
3718,0.253184
3721,0.13952
3731,0.07808
3734,0.17152
3754,0.244992
3778,0.028928
3790,0.04608
3800,0.109056
3816,0.683776
3837,0.037632
3850,0.024576
3864,0.018944
3867,0.041472
3884,0.097792
3887,0.031232
3891,0.439808
3910,0.014336
3935,0.002304
3937,0.019968
3940,0.087552
3953,0.033792
3969,0.217856
3987,0.02944
3998,0.347136
4018,0.021504
4029,0.036608
4047,0.015104
4056,0.00768
4065,0.003072
4080,0.535296
4104,0.011776
4118,0.013312
4143,0.741888
4182,0.055808
4188,0.038656
4203,0.02432
4211,0.041984
4233,0.030976
4237,0.177152
4243,0.03328
4257,0.019712
4267,0.081664
4296,0.312064
4333,0.3904
4345,0.064256
4365,0.045824
4373,0.069888
4382,0.028672
4397,0.101888
4410,0.011008
4412,0.022528
4414,0.006912
4428,0.011776
4437,0.092672
4496,0.203008
4501,0.132608
4512,0.06016
4532,0.096
4548,0.032768
4558,0.018944
4572,0.002048
4593,0.137216
4597,0.003072
4610,0.00256
4612,0.014848
4623,0.014848
4633,0.030208
4644,0.106752
4651,0.036096
4653,0.006144
4657,0.115712
4666,0.026624
4680,0.019456
4695,0.00256
4700,0.042496
4710,0.018688
4712,0.11008
4727,0.054016
4754,0.176128
4762,0.094464
4772,0.065792
4773,0.011008
4786,0.020992
4798,0.015872
4801,0.00512
4824,0.003328
4826,0.006656
4832,0.023552
4837,0.004096
4839,0.017664
4847,0.043776
4857,0.035584
4865,0.001024
4867,0.036864
4883,0.022272
4892,0.08448
4906,0.01664
4910,0.010752
4920,0.08576
4922,0.051712
4935,0.02816
4947,0.0384
4952,0.062208
4956,6.809856
5004,0.013824
5020,0.11392
5031,0.012032
5042,0.014848
5044,0.484608
5080,0.0128
5089,0.01664
5095,0.046336
5097,0.002304
5110,0.016384
5113,0.018688
5151,0.012288
5164,0.051456
5171,0.053504
5184,0.033536
5207,0.06784
5220,0.03584
5237,0.020992
5248,0.002816
5253,0.032512
5272,0.005632
5276,0.033024
5282,0.034048
5291,0.012032
5316,0.006144
5325,0.04608
5332,0.011264
5337,0.123904
5381,0.04736
5384,0.064768
5389,0.02944
5406,0.016128
5411,0.017152
5424,0.059904
5426,0.044544
5449,0.051968
5460,0.096256
5469,0.12032
5495,1.595904
5530,0.014848
5542,0.001024
5546,0.03072
5556,0.058624
5563,0.058624
5571,0.718848
5612,0.0384
5622,0.005376
5641,0.050688
5647,0.015616
5652,0.024832
5655,0.006144
5663,0.062208
5693,0.044032
5696,0.005888
5704,0.00512
5712,0.07424
5721,0.089088
5740,0.03712
5749,0.025344
5755,0.027136
5769,0.301312
5792,0.028416
5800,0.002816
5818,0.03328
5823,0.430592
5848,0.011264
5865,0.0448
5875,0.012032
5888,0.018432
5892,0.00896
5900,0.022528
5913,0.042496
5919,0.056576
5926,0.031744
5931,0.232192
5933,0.00384
5934,0.321536
5985,0.006144
5999,0.019712
6002,0.111872
6028,0.090112
6044,0.086528
6053,0.031232
6055,0.056832
6071,0.02176
6091,0.006144
6101,0.036608
6118,0.00896
6122,0.037376
6123,0.034304
6129,0.118784
6131,0.029184
6148,0.022528
6150,0.018944
6162,0.0192
6168,0.035072
6215,0.00896
6217,0.011776
6230,0.015872
6241,0.04224
6243,0.002048
6245,0.038656
6285,0.02944
6298,0.013824
6318,0.129024
6333,0.062976
6341,0.188928
6345,0.0384
6362,0.014592
6370,0.094976
6377,0.016896
6387,0.062976
6394,0.054528
6396,0.125184
6425,0.022272
6429,0.004352
6431,0.002816
6446,0.050432
6462,0.052224
6485,0.0768
6487,0.012288
6503,0.025088
6517,0.011264
6529,0.054272
6534,0.017408
6539,1.142784
6554,0.01792
6569,0.04864
6584,0.016128
6599,0.012288
6606,0.070144
6626,0.03968
6655,0.094976
6659,0.03584
6669,0.028416
6691,0.030208
6709,0.035584
6711,0.015104
6716,0.056576
6724,0.017152
6727,0.158464
6746,0.163328
6748,0.050688
6756,0.039168
6760,0.36864
6776,0.031488
6794,0.0128
6818,2.660352
6854,0.051456
6884,0.012032
6886,0.048896
6892,0.017152
6900,0.02688
6910,0.01152
6914,0.052736
6931,0.3136
6955,0.006144
6966,0.03456
6973,0.017664
6981,0.01536
6997,0.009984
7021,0.016128
7029,0.003584
7032,0.050944
7060,0.006912
7065,0.008704
7071,0.142336
7097,0.023808
7099,0.062208
7118,0.039168
7129,0.12672
7134,0.493312
7143,0.00768
7170,0.301056
7189,0.07296
7204,0.023808
7205,0.047872
7213,0.01408
7216,0.022272
7225,0.013824
7230,0.022272
7240,0.025344
7247,0.00512
7257,0.001024
7263,0.008448
7268,0.02816
7284,0.01024
7295,0.074752
7335,0.0448
7350,0.046592
7373,0.027648
7377,0.005376
7385,0.003328
7387,0.011008
7396,0.004352
7397,0.009216
7427,0.044032
7455,0.051712
7468,0.529152
7495,0.19072
7507,0.01536
7517,0.02432
7535,0.10368
7542,0.019456
7549,0.002048
7557,0.071936
7572,0.007424
7586,0.342784
7633,0.018176
7640,0.028928
7644,0.00256
7645,0.00128
7666,0.017152
7674,0.022528
7690,0.033792
7697,0.058624
7702,1.270528
7730,0.00512
7734,5.61792
