CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.6;45569;1759715987994880934;1759715988154691584;250000;20
200.17.202.6;45569;1759715988094880830;1759715988254735616;250001;20
200.17.202.6;45569;1759715988194867213;1759715988354675456;250002;20
200.17.202.6;45569;1759715988294852774;1759715988454692864;250003;20
200.17.202.6;45569;1759715988394854709;1759715988554667264;250004;20
200.17.202.6;45569;1759715988494873586;1759715988654693376;250005;20
200.17.202.6;45569;1759715988594849727;1759715988754701824;250006;20
200.17.202.6;45569;1759715988694896036;1759715988854848256;250007;20
200.17.202.6;45569;1759715988794906960;1759715988954739968;250008;20
200.17.202.6;45569;1759715988894887585;1759715989054932224;250009;20
200.17.202.6;45569;1759715988994879784;1759715989154719744;250010;20
200.17.202.6;45569;1759715989094855242;1759715989254632448;250011;20
200.17.202.6;45569;1759715989194862611;1759715989354691584;250012;20
200.17.202.6;45569;1759715989294894455;1759715989454740992;250013;20
200.17.202.6;45569;1759715989394881880;1759715989554717696;250014;20
200.17.202.6;45569;1759715989494886573;1759715989654656256;250015;20
200.17.202.6;45569;1759715989594890130;1759715989754679552;250016;20
200.17.202.6;45569;1759715989694854744;1759715989854670592;250017;20
200.17.202.6;45569;1759715989794864847;1759715989954721536;250018;20
200.17.202.6;45569;1759715989894858533;1759715990054691584;250019;20
200.17.202.6;45569;1759715989994902208;1759715990154822144;250020;20
200.17.202.6;45569;1759715990094871750;1759715990254684160;250021;20
200.17.202.6;45569;1759715990194881703;1759715990354738944;250022;20
200.17.202.6;45569;1759715990294873448;1759715990454823680;250023;20
200.17.202.6;45569;1759715990394852266;1759715990554737408;250024;20
200.17.202.6;45569;1759715990494889761;1759715990654713344;250025;20
200.17.202.6;45569;1759715990594899024;1759715990754949632;250026;20
200.17.202.6;45569;1759715990694858688;1759715990854664192;250027;20
200.17.202.6;45569;1759715990794874970;1759715990954658048;250028;20
200.17.202.6;45569;1759715990894858712;1759715991054706688;250029;20
200.17.202.6;45569;1759715990994875523;1759715991154989312;250030;20
200.17.202.6;45569;1759715991094874052;1759715991254663680;250031;20
200.17.202.6;45569;1759715991194880314;1759715991354875904;250032;20
200.17.202.6;45569;1759715991294870079;1759715991454703360;250033;20
200.17.202.6;45569;1759715991394890723;1759715991554862848;250034;20
200.17.202.6;45569;1759715991494874226;1759715991654872576;250035;20
200.17.202.6;45569;1759715991594877005;1759715991754886912;250036;20
200.17.202.6;45569;1759715991694866245;1759715991854693632;250037;20
200.17.202.6;45569;1759715991794881796;1759715991954712832;250038;20
200.17.202.6;45569;1759715991894857923;1759715992054736128;250039;20
200.17.202.6;45569;1759715991994913067;1759715992154880768;250040;20
200.17.202.6;45569;1759715992094882052;1759715992254724096;250041;20
200.17.202.6;45569;1759715992194880505;1759715992354609664;250042;20
200.17.202.6;45569;1759715992294883519;1759715992454663680;250043;20
200.17.202.6;45569;1759715992394877048;1759715992554713600;250044;20
