sequence_number,time_to_detect_ms
725007,100.274944
790432,100.235776
595216,100.314368
16968,100.000256
612822,100.299776
398163,100.44928
473403,100.392192
862628,100.20608
680563,100.297216
410416,100.48
94202,100.038656
204698,100.007936
757636,100.252672
430250,100.4416
347974,100.311808
405751,100.493312
202762,100.008448
348687,100.31104
710808,100.26752
754504,100.256
842538,100.224
518869,100.326656
523311,100.318208
761642,100.248832
542240,100.289536
641303,100.312064
12313,100.000256
449746,100.440576
526402,100.312576
148467,100.02432
