sequence_number,time_to_detect_ms
725007,100.623104
790432,100.571904
595216,100.441088
16968,100.593664
612822,250.713344
398163,100.345344
473403,100.383488
862628,100.369408
680563,100.48768
410416,100.388096
94202,100.547584
204698,100.493568
757636,102.317312
430250,109.068032
347974,100.830208
405751,103.433472
202762,100.43776
348687,100.72448
710808,100.472832
754504,100.422656
842538,100.544512
518869,100.367872
523311,102.333184
761642,100.54784
542240,100.71168
641303,114.667264
12313,100.49792
449746,101.554688
526402,100.597504
148467,100.368896
