sequence_number,time_to_detect_ms
725007,1889.948672
790432,1889.897472
595216,1889.766656
16968,108.045568
612822,2040.038912
398163,2061.877248
473403,2061.915392
862628,1889.694976
680563,1889.813248
410416,2061.92
94202,142.081024
204698,148.712704
757636,1891.64288
430250,2070.599936
347974,2409.357056
405751,2064.965376
202762,148.656896
348687,2409.251328
710808,1889.7984
754504,1889.748224
842538,1889.87008
518869,1889.69344
523311,1891.658752
761642,1889.873408
542240,1890.037248
641303,1903.992832
12313,107.949824
449746,2063.086592
526402,1889.923072
148467,153.193728
