sequence_number,time_to_detect_ms
725007,100.463104
790432,100.43392
595216,100.441088
16968,100.2944
612822,152.487936
398163,100.345344
473403,100.383488
862628,100.369408
680563,100.48768
410416,100.388096
94202,100.273408
204698,100.244736
757636,101.143552
430250,103.669248
347974,100.6208
405751,101.698816
202762,100.221184
348687,100.540416
710808,100.472832
754504,100.422656
842538,100.40576
518869,100.367872
523311,100.897024
761642,100.41728
542240,100.530944
641303,104.396288
12313,100.128
449746,100.855808
526402,100.597504
148467,100.184832
