sequence_number,time_taken_to_correct_ms
2,0.923392
18,8.653568
21,0.116736
23,0.132096
24,0.137984
26,0.068864
27,0.105472
32,0.023808
33,0.064
35,0.121088
36,0.04736
38,0.141056
40,0.113152
44,0.06528
45,0.061952
47,0.042752
48,0.019968
51,0.04864
54,0.309504
57,0.05248
58,0.054272
60,0.06528
61,0.11008
66,0.100096
68,0.009728
70,0.002304
72,0.256256
78,0.060928
80,0.075264
81,0.075776
84,0.001536
86,0.062976
90,0.083456
91,0.325376
93,0.053248
95,0.163584
97,0.074496
100,0.014592
102,0.068864
104,0.263424
106,0.197376
109,0.086272
110,4.793088
112,0.12544
114,0.127232
120,0.061184
123,0.021504
124,0.056064
127,0.04992
129,0.052736
130,0.238336
133,0.144896
135,0.080128
138,0.17664
141,0.12928
145,0.043008
147,0.057856
148,0.120832
152,0.33664
155,0.166656
156,13.40032
159,0.151552
160,0.09856
161,0.04608
165,0.410112
167,0.089344
169,0.100608
172,0.050432
174,0.150016
177,0.224
178,0.01152
181,0.07808
186,0.145152
189,0.117248
191,0.141568
193,0.041472
196,0.000256
197,0.03584
199,0.04992
201,0.13568
202,0.09472
204,0.120832
205,0.062976
206,0.116224
210,0.163584
212,0.057088
214,0.02944
215,0.140032
218,0.081664
222,0.073472
225,0.028672
227,0.04992
229,0.063232
232,0.063232
234,0.092416
236,0.11904
238,0.005888
239,0.126208
240,0.019712
242,0.117248
246,0.210688
248,0.077056
250,0.27392
252,0.404224
254,0.113152
256,0.184832
258,0.088064
260,0.022272
263,0.022528
264,0.077312
266,0.253952
270,0.15232
274,0.17152
276,0.193536
277,0.066048
278,0.082432
280,0.006656
283,0.137728
285,0.127232
288,0.157952
291,0.003328
293,0.029952
294,0.009216
296,0.228608
300,0.006912
302,0.049664
303,0.032768
304,0.211712
307,0.157952
310,0.01152
311,2.583808
313,0.149504
315,0.059136
317,0.135168
319,0.162048
323,0.013568
325,0.09088
326,0.062208
329,0.054528
334,0.131072
336,0.067584
338,0.073984
340,0.103168
345,0.077568
346,0.006144
348,0.020992
349,0.143616
350,0.003072
351,0.029952
354,0.00256
356,0.068864
360,0.147968
364,0.015104
365,0.087808
367,0.050176
369,0.004352
370,0.004864
371,0.049408
372,0.165888
375,0.283136
377,0.083456
379,0.091136
381,0.041984
382,0.004352
384,0.003584
385,0.16512
386,0.135936
389,0.012288
390,0.156928
