sequence_number,time_taken_to_correct_ms
2,0.923392
3,0.658944
4,0.27264
18,7.518464
91,0.012288
110,4.276736
156,12.798976
311,2.217216
591,0.526848
710,3.219968
1056,11.711744
1247,0.04096
1310,3.023872
1313,5.777408
1480,11.603712
1483,3.957248
1578,15.439104
1683,1.424896
1769,0.012544
1900,11.496192
1909,1.13664
2037,2.397696
2040,0.860928
2042,7.529472
2364,1.405184
2417,0.170496
2419,11.617536
2461,5.451008
2466,4.966912
2468,0.9088
2508,2.938112
2566,0.198144
2576,0.049408
2845,0.012288
2846,0.032768
2930,0.00128
2961,0.069376
3004,0.00128
3108,0.039168
3109,2.163456
3121,0.449536
3203,5.644032
3347,0.144128
3398,0.72704
3401,5.256192
3603,0.00768
3657,1.442816
3955,0.007168
4172,0.089856
4177,3.657216
4236,0.183552
4267,0.003072
4313,0.585984
4374,3.623424
4456,0.016896
4473,19.706368
4677,0.068608
4756,0.0128
4908,4.54656
5441,1.147904
5473,10.8736
5596,0.196096
5845,0.002048
5860,0.061184
5902,0.063744
5905,4.8704
6108,7.992576
6316,13.236992
6417,4.040704
6572,0.01024
6708,13.60512
6972,0.049152
7125,0.262144
7186,0.177664
7313,2.411264
7473,0.036864
7486,2.880768
7487,15.898112
7592,0.058624
7657,1.184768
7908,3.138048
7915,2.898432
7966,0.068096
8155,2.035968
8158,0.46336
8323,0.04736
8503,3.511296
8513,24.873216
8886,0.079104
8949,0.057344
9108,5.15328
9209,0.188928
9341,20.515328
9543,0.084736
9626,0.033536
9693,0.119552
9696,2.945024
9708,12.676608
9796,0.352512
9847,16.678144
9900,0.427264
9901,0.1472
9949,15.872
10238,0.064
10308,5.52448
10395,0.406272
10496,0.009216
10563,0.401152
10920,2.71232
11398,0.02304
11508,2.326016
11526,2.471168
11596,0.224512
11647,0.908288
11726,0.064
11882,0.083712
12086,0.024832
12110,2.710528
12121,0.454656
12138,1.433856
12160,13.67168
12309,0.126208
12708,4.425216
12713,1.62048
12817,0.704768
12868,0.072704
12872,0.456704
12923,3.428864
12994,0.020224
13166,0.00128
13320,2.479104
13886,0.054016
13910,4.55168
14036,0.058368
14263,0.065792
14461,0.001792
14512,4.308224
14607,0.075776
14838,0.017664
15094,0.12288
15108,5.312256
15121,1.247488
15699,0.07296
15710,4.269824
15713,2.976
15969,0.022528
16312,4.608768
16686,0.134656
16736,0.624128
16746,0.42112
16808,0.202496
16898,0.027136
16910,3.9872
17117,1.20832
17217,0.687104
17220,2.483968
17268,0.604416
17494,13.860608
17510,0.830976
18112,3.456768
18168,5.561856
18218,3.339776
18253,2.397952
18320,4.645632
18525,0.16128
18528,3.962624
18708,0.010496
18840,0.019712
19049,0.039168
19191,0.250112
19242,2.828544
19245,2.4448
19296,10.854912
19329,4.221184
19345,14.66368
19398,0.256256
19450,0.296704
19706,1.675776
19868,5.186048
19911,4.674304
19920,0.353792
19984,0.147456
20246,0.05376
20444,0.840192
20512,4.260352
20521,0.220672
20575,0.535552
21121,0.498176
21294,0.065536
21683,0.070144
21712,5.042176
21843,0.295168
22516,0.105984
22790,0.006656
22801,0.289024
22910,2.673408
22916,0.739584
23013,0.152832
23101,0.004864
23297,0.08576
23350,0.452608
23510,2.744832
23513,8.059648
23796,0.02944
23986,0.080384
24101,3.309824
24108,2.765312
24273,0.000512
24457,7.838208
24710,4.038144
24716,0.666368
25005,0.017152
25312,1.504
25543,0.04608
25702,1.454848
25834,0.669184
25909,2.116096
25914,1.707008
25991,1.731328
26250,0.020992
26285,0.860928
26353,0.008192
26476,1.672704
26509,2.240256
26522,0.029696
26711,0.77568
26995,0.034304
27083,0.097792
27121,1.376768
27272,0.054784
27528,0.105984
