sequence_number,time_taken_to_correct_ms
2,0.923392
18,6.595072
110,2.786304
156,11.178752
710,0.644096
1056,9.328896
1313,2.700032
1480,8.563968
1483,0.365056
1578,12.169728
1900,7.336704
2042,3.052288
2419,7.282944
2461,0.821504
2466,0.718336
3203,1.74848
3401,1.575168
4177,0.18688
4374,0.48128
4473,16.830464
4908,0.2752
5473,7.001856
5905,0.685568
6108,4.157696
6316,9.369856
6708,9.187584
7487,11.003648
8513,19.367936
9341,13.623808
9708,5.111808
9847,9.358592
9949,8.348672
12160,6.065664
17494,6.408704
19296,3.5072
19345,7.700224
23513,1.022464
24457,1.402368
28162,3.136256
31308,0.030208
31801,2.983936
32983,6.871808
33109,2.840832
33682,2.516224
34491,10.377472
35255,2.480384
36317,0.139776
37308,3.332864
40308,0.968448
40910,1.028352
40924,0.127232
41506,2.851584
41539,5.322752
42708,10.804736
42986,17.894144
44269,94.708992
48729,84.95744
54157,1.540864
54450,33.121536
61409,78.75072
61908,73.1136
61910,18.418176
61927,24.924416
66807,69.30304
73708,66.176512
77334,62.505216
78158,60.266752
79428,58.41664
79430,6.157824
79447,15.875072
81544,61.750016
84442,59.386368
99819,65.056768
102631,56.166912
104468,54.460672
105140,157.234944
120282,42.691072
121526,43.501568
139430,44.99456
142523,46.322432
177038,2.562048
187329,52.004608
208554,22651.294464
395834,491.23072
396032,474.144512
500711,239.468544
