sequence_number,time_taken_to_correct_ms
2,0.923392
3,0.658944
4,0.27264
18,8.270336
54,0.057088
72,0.119296
91,0.182272
104,0.082176
110,4.543232
152,0.14848
156,13.107968
246,0.06272
250,0.066816
252,0.136704
266,0.031744
296,0.079616
304,0.071936
311,2.404864
349,0.008448
360,0.045056
372,0.054016
375,0.132096
385,0.003072
386,0.03584
398,0.011264
402,0.038912
407,0.061184
419,0.10752
436,0.01792
453,0.035584
473,0.110336
477,0.005632
494,0.02048
496,0.073216
505,0.052224
524,0.03712
546,0.033792
554,0.033024
560,0.068096
591,0.839936
630,0.018432
638,0.068096
639,0.03968
644,0.030464
654,0.07168
662,0.01536
664,0.04864
684,0.137728
689,0.035328
694,0.091136
710,3.471104
720,0.732928
721,0.056064
754,0.027136
771,0.052224
782,0.01664
784,0.054016
820,0.019456
837,0.010496
888,0.006144
891,0.030976
895,0.001024
929,0.086784
948,0.00384
955,0.100608
974,0.041472
981,0.118528
983,0.026112
999,0.046336
1007,0.109824
1014,0.092928
1021,0.115968
1044,0.019712
1054,0.017408
1056,11.958016
1119,0.115968
1132,0.045056
1148,0.091648
1158,0.016896
1167,0.082688
1170,0.050944
1178,0.095232
1194,0.094976
1198,0.013312
1204,0.012288
1206,0.060672
1215,0.128768
1235,0.098048
1247,0.232192
1266,0.072192
1276,0.055296
1298,0.022272
1300,0.182784
1302,0.059648
1310,3.340288
1313,7.326976
1321,0.1152
1394,0.079616
1411,0.062976
1417,0.018944
1480,11.794432
1483,8.504576
1487,4.059136
1495,2.687744
1539,0.001024
1566,0.095232
1569,0.030208
1577,0.039168
1578,15.706368
1644,0.112128
1667,0.009728
1669,0.133632
1677,0.036864
1683,1.750784
1707,0.029952
1740,0.01152
1750,0.03712
1769,0.108544
1771,0.073216
1786,0.040192
1808,0.010496
1814,0.088832
1820,0.104448
1828,0.041984
1844,0.030976
1848,0.0064
1873,0.141824
1886,0.064256
1892,0.14464
1900,11.683072
1903,3.664128
1905,2.996992
1909,9.976576
1914,6.2592
1917,4.893184
1998,0.059648
2026,0.0064
2032,0.062976
2037,2.562048
2040,2.089728
2042,9.848064
2085,0.05248
2114,0.120064
2115,0.03712
2131,0.006912
2134,0.030976
2144,0.00128
2148,0.019712
2164,0.034048
2175,0.025344
2204,0.023808
2206,0.026624
2212,0.003328
2220,0.027648
2226,0.127488
2258,0.079104
2266,0.002048
2271,0.020736
2291,0.013056
2297,0.015872
2314,0.010496
2326,0.087552
2332,0.016896
2343,0.028672
2355,0.011776
2361,0.061184
2364,1.666816
2416,0.014336
2417,0.40704
2419,11.956736
2423,3.003904
2425,5.016832
2427,2.124288
2461,6.131712
2466,7.51872
2468,6.98752
2470,0.3776
2473,1.274112
2508,3.58144
2522,0.213248
2552,0.074496
2566,0.431872
2576,0.315392
2607,0.002304
2614,0.043264
2629,0.086016
2640,0.145408
2648,0.050176
2652,0.051968
2662,0.229632
2682,0.0192
2691,0.00896
2711,0.02816
2731,0.00768
2742,0.01152
2743,0.252672
2771,0.066304
2780,0.133376
2783,0.076288
2789,0.082944
2795,0.219136
2829,0.050944
2834,0.09088
2845,0.232448
2846,0.466176
2886,0.12032
2906,0.137216
2912,0.060928
2930,0.130304
2932,0.016128
2959,0.002304
2961,0.380416
2972,0.076288
2978,0.09344
2982,0.097024
3004,0.19968
3042,0.046848
3055,0.09728
3057,0.143616
3084,0.032512
3092,0.016384
3106,0.018944
3108,0.166144
3109,2.42304
3121,0.995328
3162,0.094464
3171,0.065792
3177,0.0448
3181,0.001792
3192,0.099584
3203,5.950464
3245,0.032
3264,0.019968
3269,0.036096
3304,0.022528
3306,0.082176
3314,0.058112
3318,0.001792
