CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.35;54113;1745507860935555977;1745507860943565568;500917;11
200.17.202.35;54113;1745507861035566895;1745507861043756544;500918;11
200.17.202.35;54113;1745507861135558732;1745507861143902976;500919;11
200.17.202.35;54113;1745507861235563210;1745507861243798016;500920;11
200.17.202.35;54113;1745507861335571827;1745507861343827712;500921;11
200.17.202.35;54113;1745507861435571334;1745507861443921152;500922;11
200.17.202.35;54113;1745507861535561082;1745507861543707904;500923;11
200.17.202.35;54113;1745507861635571209;1745507861643795456;500924;11
200.17.202.35;54113;1745507861735559617;1745507861743736064;500925;11
200.17.202.35;54113;1745507861835564104;1745507861843873024;500926;11
200.17.202.35;54113;1745507861935574511;1745507861943813888;500927;11
200.17.202.35;54113;1745507862035570909;1745507862043711488;500928;11
200.17.202.35;54113;1745507862135572456;1745507862143824384;500929;11
200.17.202.35;54113;1745507862235563353;1745507862243724288;500930;11
200.17.202.35;54113;1745507862335571980;1745507862343805696;500931;11
200.17.202.35;54113;1745507862435576358;1745507862443611136;500932;11
200.17.202.35;54113;1745507862535563895;1745507862543700480;500933;11
200.17.202.35;54113;1745507862635571113;1745507862643623424;500934;11
200.17.202.35;54113;1745507862735575330;1745507862743722240;500935;11
200.17.202.35;54113;1745507862835572148;1745507862843802368;500936;11
200.17.202.35;54113;1745507862935569565;1745507862943600640;500937;11
200.17.202.35;54113;1745507863035570102;1745507863043710464;500938;11
200.17.202.35;54113;1745507863135569780;1745507863143678976;500939;11
200.17.202.35;54113;1745507863235573397;1745507863243767808;500940;11
200.17.202.35;54113;1745507863335570785;1745507863343664640;500941;11
200.17.202.35;54113;1745507863435572992;1745507863443874560;500942;11
200.17.202.35;54113;1745507863535572169;1745507863543764736;500943;11
200.17.202.35;54113;1745507863635570347;1745507863643760384;500944;11
200.17.202.35;54113;1745507863735572765;1745507863743867648;500945;11
200.17.202.35;54113;1745507863835575512;1745507863843917056;500946;11
200.17.202.35;54113;1745507863935574539;1745507863943809280;500947;11
200.17.202.35;54113;1745507864035569406;1745507864043703040;500948;11
200.17.202.35;54113;1745507864135562514;1745507864143691520;500949;11
200.17.202.35;54113;1745507864235557732;1745507864243766784;500950;11
200.17.202.35;54113;1745507864335555009;1745507864343668224;500951;11
200.17.202.35;54113;1745507864435557986;1745507864443880704;500952;11
200.17.202.35;54113;1745507864535554634;1745507864543851008;500953;11
200.17.202.35;54113;1745507864635562751;1745507864643809536;500954;11
200.17.202.35;54113;1745507864735553189;1745507864743763712;500955;11
200.17.202.35;54113;1745507864835557086;1745507864843717376;500956;11
200.17.202.35;54113;1745507864935555333;1745507864943839488;500957;11
200.17.202.35;54113;1745507865035555940;1745507865043757056;500958;11
200.17.202.35;54113;1745507865135554187;1745507865143637504;500959;11
200.17.202.35;54113;1745507865235554115;1745507865243743744;500960;11
200.17.202.35;54113;1745507865335554492;1745507865344291840;500961;11
200.17.202.35;54113;1745507865435556039;1745507865443736320;500962;11
200.17.202.35;54113;1745507865535559457;1745507865544128000;500963;11
200.17.202.35;54113;1745507865635566855;1745507865648752640;500964;11
200.17.202.35;54113;1745507865735564832;1745507865753223168;500965;11
200.17.202.35;54113;1745507865835567459;1745507865843732736;500966;11
200.17.202.35;54113;1745507865935574967;1745507865944062976;500967;11
200.17.202.35;54113;1745507866035560284;1745507866043743232;500968;11
200.17.202.35;54113;1745507866135562652;1745507866147227392;500969;11
200.17.202.35;54113;1745507866235558899;1745507866249046272;500970;11
200.17.202.35;54113;1745507866335562317;1745507866344245504;500971;11
200.17.202.35;54113;1745507866435564714;1745507866443775232;500972;11
200.17.202.35;54113;1745507866535559442;1745507866543698688;500973;11
200.17.202.35;54113;1745507866635571409;1745507866651808768;500974;11
200.17.202.35;54113;1745507866735561996;1745507866747600640;500975;11
200.17.202.35;54113;1745507866835571644;1745507866843933952;500976;11
200.17.202.35;54113;1745507866935563901;1745507866943763712;500977;11
200.17.202.35;54113;1745507867035555739;1745507867044063232;500978;11
200.17.202.35;54113;1745507867135565996;1745507867143940864;500979;11
200.17.202.35;54113;1745507867235553244;1745507867243816704;500980;11
200.17.202.35;54113;1745507867335551621;1745507867343796992;500981;11
200.17.202.35;54113;1745507867435552028;1745507867443674368;500982;11
200.17.202.35;54113;1745507867535561836;1745507867543688192;500983;11
200.17.202.35;54113;1745507867635562384;1745507867644037120;500984;11
200.17.202.35;54113;1745507867735568161;1745507867743896320;500985;11
200.17.202.35;54113;1745507867835560598;1745507867843804416;500986;11
200.17.202.35;54113;1745507867935551395;1745507867943707904;500987;11
200.17.202.35;54113;1745507868035553202;1745507868043760640;500988;11
200.17.202.35;54113;1745507868135550840;1745507868143734528;500989;11
200.17.202.35;54113;1745507868235553227;1745507868243866112;500990;11
200.17.202.35;54113;1745507868335571514;1745507868343656192;500991;11
200.17.202.35;54113;1745507868435579852;1745507868443878912;500992;11
200.17.202.35;54113;1745507868535573820;1745507868543776512;500993;11
200.17.202.35;54113;1745507868635574417;1745507868643791360;500994;11
200.17.202.35;54113;1745507868735571004;1745507868743773952;500995;11
200.17.202.35;54113;1745507868835574972;1745507868843806720;500996;11
200.17.202.35;54113;1745507868935550659;1745507868943698688;500997;11
200.17.202.35;54113;1745507869035569527;1745507869043797760;500998;11
200.17.202.35;54113;1745507869135551954;1745507869143636224;500999;11
200.17.202.35;54113;1745507869235549221;1745507869243771136;501000;11
200.17.202.35;54113;1745507869335547629;1745507869343769088;501001;11
200.17.202.35;54113;1745507869435555157;1745507869443697664;501002;11
200.17.202.35;54113;1745507869535568254;1745507869543692544;501003;11
200.17.202.35;54113;1745507869635566611;1745507869643831552;501004;11
200.17.202.35;54113;1745507869735552609;1745507869743614464;501005;11
200.17.202.35;54113;1745507869835565346;1745507869843700224;501006;11
200.17.202.35;54113;1745507869935552144;1745507869943805696;501007;11
200.17.202.35;54113;1745507870035557261;1745507870043775232;501008;11
200.17.202.35;54113;1745507870135552028;1745507870143849728;501009;11
200.17.202.35;54113;1745507870235551586;1745507870243790080;501010;11
200.17.202.35;54113;1745507870335551564;1745507870343689472;501011;11
200.17.202.35;54113;1745507870435559031;1745507870443637248;501012;11
200.17.202.35;54113;1745507870535556628;1745507870543675392;501013;11
200.17.202.35;54113;1745507870635555006;1745507870643908608;501014;11
200.17.202.35;54113;1745507870735553563;1745507870743745792;501015;11
200.17.202.35;54113;1745507870835552410;1745507870843677952;501016;11
200.17.202.35;54113;1745507870935552957;1745507870943682048;501017;11
200.17.202.35;54113;1745507871035549854;1745507871043593984;501018;11
200.17.202.35;54113;1745507871135554262;1745507871143660800;501019;11
200.17.202.35;54113;1745507871235554620;1745507871243547648;501020;11
200.17.202.35;54113;1745507871335555777;1745507871343644672;501021;11
200.17.202.35;54113;1745507871435565654;1745507871443693312;501022;11
200.17.202.35;54113;1745507871535565782;1745507871543587072;501023;11
200.17.202.35;54113;1745507871635559189;1745507871643693056;501024;11
200.17.202.35;54113;1745507871735553747;1745507871743737088;501025;11
200.17.202.35;54113;1745507871835548974;1745507871843657728;501026;11
200.17.202.35;54113;1745507871935551112;1745507871943711232;501027;11
200.17.202.35;54113;1745507872035551469;1745507872043664640;501028;11
200.17.202.35;54113;1745507872135551927;1745507872143620096;501029;11
200.17.202.35;54113;1745507872235556134;1745507872243757312;501030;11
